,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,LEO,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.00274366116038798,0.241954131589335,0,0,0,0,0.161871839488256,0,0,0.00681735199281144,0.128955519069728,-0.022218945392986,0,0.0883854442843067,0,0,0,-0.362928498204489,0
INNBCL,0,0,-2.22044604925031e-16,0,0,-46.5590539036746,23.2386419854853,-1.79793985634191,1.11022302462516e-16,12.7106586553519,1.95847961139815,-8.79079326837535,0,-5.10468250161007,17.1141854767925,0,0,0,0,0
ETH,0.745032390662745,0.00415135991802257,0,0,0.108942131655668,0,0,0,0.379753552570462,0.0346645472772722,0.0115968079635248,0,0,0,0,0,0.0270167724501976,0,0,0.00103134968847544
XRP,0,0.00172291811175752,0.12121925928762,0,0.184024365696313,0.165189899548615,0,0.0360068147592174,0,0,-0.0185552814501556,0.0337835479509129,-0.0407122160104903,0,0.0947153558025289,0,0,0,0,0
BCH,0,-0.000519694602176825,0.169163535114503,0,0,0.154432049519064,0,-0.107501553043489,0.345640919173811,0.274833959251867,0.0132435876550213,0.0954810770273099,-0.140512359574753,0,0,0,0.149484080295471,0,-0.407898156917218,0.0403656466067382
BSV,0,-0.00277272620062881,-0.237127063763497,0,0.0820986010776658,0,0.137176271589225,0.0715268802796672,0,0.405179128889811,0,0,0,0,0.75954886058764,0,0,0,0,0.0197528281737586
LTC,0,0.000986986868415737,-0.092409215890203,0,0.347191693761262,0.000194662959544824,0,0.284419576747717,0.0187910456243255,0.0174415415416864,0.0125450154256801,0,0.313618272705718,0,0.0710324591674968,0,0,0,0.593722407878063,0.0658111363311293
BNB,0.794978062726232,-0.00605020973728204,0,0.619915695168239,-0.639919243447233,0,0.586699234292024,0,0,0,0,0.177428314815643,-0.129611374451161,0,0,0,0.15078069044429,0,-0.340130746220723,0.0276163431695012
EOS,0,-0.00290907015332737,0.202166588023366,0.268092545048248,0,0,0.374748465520593,0.157188347569295,0,-0.145363942411155,0.0171287541934959,0,0.254085501113432,0,0.0609432942704663,-0.305033035951431,-0.0658525520904714,0,0,0
XTZ,0,0.00267455006393812,0.449304367066182,0,0.46340916364177,0.24789485437341,0,0.14473111664859,-0.273714998250767,0,0.00817146266110418,3.46944695195361e-18,0.091119482085857,0,-0.0243668633077045,0,0.0552681194894994,0,0.620326981183098,0.148271295371191
TAGZ5,0,-0.040912690668182,0,0,5.01936716917988,0,1.06573931587416,-4.5278196171068,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,-0.00550795496858833,0,0,0,0,0,0,0,0.878554638423079,-0.0359056772658469,0,0,0,0,0,0,0,0,0
XLM,0,0.00279982650314126,0,0,0,0.27188733426421,0,0.151015009194753,0,0.173312978813485,0,0,0,0,0.0476102593101404,0,0,0,0,0
LEO,-0.0530728810407724,0.00156771026936765,0.0720116221124236,0,0,0.0472937545825223,0,-0.0361491668424013,0.107586253156753,-0.156462502103529,-0.00950543400809972,0,0,0,0,-0.139448971969018,0,0,0.14272577992945,0.0465326776334952
XMR,0,0.0011719344049772,0.0726609324507252,0,0.38411843018867,0.14922951227558,0,0.132179929461993,0.293760440088282,0,0,-0.224370664567223,-0.0771566080081972,0,0,0,0,0,-0.00131824310514564,0
BV010082.Index,0.174774063570254,-0.00305701236976952,0.123974543301013,0,-0.336100974106283,0.110762415117381,0,0.0751091454449324,-0.0506058927937163,0,0.0156916685021636,0.00114771402415369,0.054084744643064,-0.384099330320704,-0.296522892855798,0,0,0,0,0.026103768752473
CVIX.Index,0,-0.0110643694914002,0,0,0.0521121726528186,-0.271264364298798,0.434367635039853,0,-0.284956417177738,0.109531001720922,-0.0343840464980797,-0.0944873354820169,0.22683250333082,0,0,-0.180335775205238,0,0,-0.594664127980963,-0.190206007633113
DXY.Curncy,0,0.000196311273234495,-0.0657056512479019,0,0.019458256569673,-0.044169305808122,0.0301678053803073,0.0258153260497344,0,-0.0352266974350847,0.00201294603157543,0.0290537097741685,0,0,0.102036795587016,0,0.0902475939182051,0,1.73472347597681e-18,0.0179388366191612
SPX.Index,-0.598247527765973,-0.00454172345060025,0,0,-0.270599542221141,-0.161864682218571,0.432841009884861,0,0.0888792439448941,0.211939985661476,0,0.118816235821353,0,0.453938615467965,0,-0.181400558417767,-0.274868372186817,0,0,-0.161823259664366
VIX.Index,0,-0.0155576917125046,0,0,0,0,0,0.159861500081548,0,0.354705183725657,0,-0.0507580313801623,0.832080929179449,0,-1.39754286260826,0,-1.08387785088243,0,-1.07803464360202,0
