,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.163033100744303,0,0.327895750023722,0,-0.0386554930886505,0,0,0.0191333377454029,0,0,0,0,0,-0.273781386817976
ETH,0,0,-0.0761829380616158,0,0,0.030512966326672,0,0,-0.0241070196956452,0,0.154475006338994,0,0,0,0,0,0,0.0514681945831043
XRP,0,-0.860943829972047,0,0,-0.329024463408263,0,0,-0.487422014371044,0.118733228514336,0,0.00189058366744216,0.133251086499839,1.02957779088145,0,0,0,0,0.255373789832663
XEM,0,0,0,0,0,0,0,0,-0.0503114323913318,0.233905990028172,0.0962194446255464,-0.0335505481189004,0,0,0,0,0,0
LTC,0.734530349907889,0,-0.0547538250173082,0.119553942114428,0,0,0,0.218925264982237,0.134413558525229,0.0612713174032522,0,0,0,0,0,0,0,0.0328580025825819
ETC,0,0.679570095870278,-0.054715820406517,0.223587879956697,0,0,0,0,0.0292390568641371,-0.0508848358404947,0,0,0,0,0,0,0,0
DASH,0.204978407595796,0.0618072045856009,0.0363018418725673,0,0.132905267122205,0.169419199596312,0,0.393011649950259,0.0545271861925845,-0.0757778511044657,0.353148828422619,-0.0028156041982255,-0.109500087567922,-0.633067086949685,0,0,0,0
XMR,-0.0263915188372954,-0.113535889616496,-0.122251445555382,0.0675951726411303,0.102542351622175,0,0.526742361623086,0,0.0390522880244661,0,-0.0900380627794797,0.00164473508008966,0.149292398266075,0,0.620838012032924,0,0,-0.0500229288034345
XLM,-0.936809044804824,0,0.558987979944974,-0.205264950618548,-0.257164487921066,0.621830131514263,0,1.22300555114095,0,0.116703499121166,-0.260519259220549,0.0744207900102526,0.363586977032004,0,0,0,0,0
DOGE,0,0,0,0.162068089148369,0.173764442813108,0.268060770444333,0,0,0.219132744550873,0,0.411061773419602,0.0358649331415625,0,0,0,0,0,0.204419460435099
ZEC,0,0.111769806775525,0,0,-0.145026164114622,0.064943960299754,0,0,0,0.170151079881726,0,0,0.193104625251999,0,0,0,0,0
DGB,0,0,2.77555756156289e-17,-0.485974162353204,-0.160199616591139,0,0,0,0,0.931101429662722,-0.450807337312938,0,0.346753170830073,0,0,0,0,0
NEO,0,0,0.0813063155572329,-0.342799745929626,0,0,0,0.738543324057975,-0.11598640685243,0.121478171160436,0.139428454906303,0.0250416342963837,0,0,0,0,0,0.363052268293932
BV010082.Index,0.0804386274496703,0.0257073233184037,0,-0.0239463493022662,0.0216073411229972,0.0778576088827544,-0.359238677152906,0.184174291332258,0.0401458238865083,-0.0409303333768913,0.119059172930781,0,0.0218680968613301,0,0.158788922539492,0,0,-0.0713065693382037
CVIX.Index,0,0,0,0.0326339957398419,-0.118169983671116,0,0,0.175242179244682,0,0,0.0184139198369853,0.0331563470597395,-0.00753903300840902,0,0,0,0,0.134370753350999
DXY.Curncy,-0.0125384349973488,0.00984449797819456,0,-0.000446219100674101,0.00054533537359395,0.0187820242357407,-0.00617046098098896,-0.000242732007269639,0.00392100475808951,-0.0122447281537296,0.0073698635368516,-0.00256837339236465,-0.0137167321400081,0.0720709231576644,-0.0325256084395092,0,0,0
SPX.Index,0,0.00244413636248157,0.00298504489687507,-0.00489315534718555,0,0,-0.005152290478907,0,0.00266367470424411,-0.00216461867674469,0.00774835863488303,0.0034980695352547,-0.00525699490828203,0.0334324238160218,0,0,0,-0.0311047543460634
VIX.Index,0,-0.183449552389678,0.0789777356728042,0,0,0.313280169486852,0.0624676560473905,-0.960746670720177,0.167011371673414,-0.0128147264114878,0.163087810123391,-0.10736636342684,0,0,0.23491797416038,0,0,0
