,BTC,ETH,BCH,XRP,DASH,BTG,LTC,MIOTA,XMR,ETC,ADA,NEO,XEM,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.106999726326343,0,-0.14245537765959,-0.0362513655923767,0.707593447038449,0.11116931324894,-0.154555871615183,0,0.108437788948374,0.0469407841258307,-0.266976960271512,0.0783150908420517,-0.277969132949773,0,0,0,0,-0.320359306546908
ETH,0,0,0,0,-0.160560919449484,0.0645875141953408,0,0,0.167460459189939,0,-0.0663871858401646,0.0336933777054024,0,0.136919067414496,0.160949894628421,0,0,0,0,0
BCH,0,0,0,0,0.663582154851365,0.279839576021213,-1.21860735358979,0,0,0.263738550866177,0,0.741442382230736,0,0.153217665008671,0,0,0,0,0,0
XRP,0,0.288620145986894,0.209961255376163,0,-0.0949672830206161,-0.113824117113471,0.297857636141649,0,0.123604077087081,0.134124811195371,0.0724199067614313,0,0,-0.0173602895380777,0,0,0,0,0,0
DASH,-1.35695583991942,0.654860736536664,0,0,0,-0.0247022836379095,0.296190794511146,0.544443349954105,0.481033890906369,-0.786645105614683,0.183016633292215,0,-1.11357337842538,0.254582860246621,-0.200298831140903,0,0,0,0,0
BTG,0,2.61010187640267,1.09369272590201,-5.67404777659618,-1.26149109825534,0,3.66447023253734,0.239382929551387,1.3927399659292,0,1.33988376188416,0.123627223888383,-2.46699276640518,-0.915577140809555,-0.897286061730633,14.5389300502413,0,0,0,1.54438261010282
LTC,0.14182670812022,0.252193022732517,-0.051849684490444,0,0,-0.0236386214854806,0,1.38777878078145e-17,0.132608959631874,0.142563472746538,-0.0972059557626252,0,0.273827668107588,-0.130904170217017,0.108570843485323,0,0,0,0,0.247972287072434
MIOTA,0.440492434990364,-0.707340236883223,-0.105842647705035,0,0.390259820887662,0.067813168450453,-0.983106424576385,0,0.329116001958837,0.566861383183216,0.116672797660516,0.137981755185455,0.906001248005483,0.0963378613756739,0,0,0,0,0,0.951629496764082
XMR,0,0,-0.026919228238027,0.308197668596724,0.180858587804404,0,0,0.0466161319246134,0,0.0565515389729273,0.0808886359019851,0.148376830713104,0.372473709277017,-0.045956880930708,0,0,0,0,0,-0.163505366520616
ETC,-0.173597282689502,0,0.225225527884383,2.77555756156289e-17,-0.562582454112119,0.0491403811770048,0.870467913488035,0.163022305992109,1.01486629157536,0,0.345327900312229,-0.160048602969424,-0.509819627476091,0.405687266890079,-0.555506677023982,0,0,0,0,-0.140780683873718
ADA,0,0,-0.0703989674460884,0.760240903457369,0,0.050152724908961,0,0.0737215159763555,1.38777878078145e-17,0,0,0,0.253665764281977,-0.0207097077949792,0.250194807282704,0,0,0,0,0
NEO,0.353348982323367,-0.1466051060817,0.355501620674767,-0.596650727891922,0,-0.119249538938903,0.908431625225001,-0.141925349943892,0.417154885759318,-2.77555756156289e-17,0.0861907707549939,0,0,0.300477071584516,0,0,0,0,0,0
XEM,-0.152720423261331,0.333604950547747,-0.00764864317253659,0,-0.0686313900512085,-0.0164032720589377,0.569079858319176,0.123453558943622,0,-0.108880915075941,0.140650771179338,0.0494860548050883,0,0.0561487574072512,-0.101318312809472,0,0,0,0,-0.215781095308988
EOS,0,0,-0.103735949729936,0,0,-0.00962861133044612,0,0,0,0,-8.67361737988404e-19,0.365895815488837,0,0,0.0341860166064137,0,0,0,0,0
XLM,0,0.0726347246862272,0,0.147235586968149,-0.0704472987548278,-0.0472710215796056,0.0761862185260621,0,0,0,0.342001708085829,0,0.364215963629236,0.473097994197121,0,0,0,0,0,0
BV010082.Index,0,-0.127056631884517,-0.0335924285674699,0,-0.00207629171699002,0.00794800463012475,0,0.0182421783921932,0.080011298832981,0.0298847420615271,-0.0546821167407314,0.0476876486969924,0,0,0,0,0,0,0,-0.0148618878039428
CVIX.Index,0,0,0,0.0525392140654147,-0.00847996295473272,-0.00772056697597222,0.0320915682960395,0.0289970983655075,0,-0.0604043438545824,-0.020739445712386,-0.0331465738725978,0,0.0345840478266998,0.0363878788177395,0,0,0,0,0.0972904018540114
DXY.Curncy,-0.0366383893638338,-0.0102802700201812,-0.027824305093735,-0.0301311526437749,0,0,-0.0311495581987154,-0.0113912870447451,0.0284470020125828,0.0257479455806966,0,0,0,0.000799003836979559,0,0,0,0,0,0.003379298158288
SPX.Index,0,0,0.00224176389034388,0,0,0,0,-0.00405972044099039,0,0,0,0,0,0,0.00951379076746252,0,0,0,0,-0.0288746683096598
VIX.Index,0,0,0.0998504389663799,0,0,0,0.262218801372177,0.127363370072517,-0.464934308019157,0.109922574010588,0.0328259085768869,-0.194670996596256,0,0.00515489084123176,0,0,0,0,0,0
