,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,XMR,EOS,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0738960191816232,0.179483825593064,0,0.197130482998599,0,-0.344186807334167,-0.0138893414523076,0.652526996529,1.38777878078145e-17,0.430278038822175,0.0692505531608196,0,-0.0503414438309481,0,0,0,0,-0.0728546993537648
ETH,0.056801736570956,0,0.0870552705390639,0.0820741508848392,0.0843668052339555,0,0.11006462609255,0.13393850824501,-0.00368931365835684,0,0.216650650065736,0,0,0,-0.0516531363102677,0,0,0,0,0.00732976786184883
XRP,0,1.1835009765111,0,0,0.0774514339159134,0,0.0266751683912397,0,0.109912282299161,0,-0.0663664611906999,0,-0.292546344801347,0.0863651335746905,0.0687118135296172,0,0,0,0,0
BCH,-0.0473337792791394,0,0,0,0.170134683877481,0,0,0.271818524415957,-0.215028325585964,0.560376139934543,-0.0447978505424934,0.255896369742423,-0.383805145256231,0.525608434088217,-0.152646596843498,0,0.49834119391095,0,0,0
LTC,0,0,0.275997959678552,0.363599482180094,0,0,0,0,0,0,0.0418089285501554,0,0,0,0.153744914046694,0,0,0,0,-0.0987443646109376
ADA,0.0615382107807619,0,0.253359627806283,0,0.0367721737829249,0,-0.0959425263609023,0.392719054292594,0.0875636244511384,0,4.33680868994202e-19,0,0.0933806964581594,0,-0.13717174393891,0,-0.716469707373964,0,0,-0.0654172757304055
NEO,0,0.735728376239022,0,0,0.0595680961409467,0,0,0,0,-0.134601804728325,-1.73472347597681e-18,0,0,0.0926770994303441,0.135902615057007,0,-0.600382061116455,0,0,-0.0663449796531602
XLM,-0.522731813841453,0.778341070811462,0.00988937455063055,0.684352057457601,-0.168321207385736,0.108621020657514,0.00892810035194214,0,0.352061333602432,0,0,0.274372333526713,0,-0.43296533474209,-0.00146868643633162,0,0,0,0,0
XMR,1.03882712333827,-0.812363742904371,0,0,0.178731086644663,0.0380477426492448,-0.177008208744171,0.400293414547972,0,0,0.645268270427812,0,0,0.0246790763734189,-0.115126893157024,0,0,0,0,0.170503590591259
EOS,0,0,0,0.0159519839496025,0.0592186455603303,0,0,0,0,0,0,0.501878793318126,0.105816185368126,0.0224713735038638,0.180889713610977,0,0,0,0,-0.0930236388726053
MIOTA,0,0.443249516318929,0.142757739671367,-0.227090745581441,0,0,0,-0.0184881750937484,0.148736824328668,0.688987734062208,0,0,0,0.321409483964086,0.00481345457284679,0,0,0,0,-0.101192595035174
DASH,0.0487228862030139,0,0,0.190565911432226,0,0,0,0.062701365243677,0.336038557107189,0,0.0190065846530633,0,0.350174268961952,-0.176417327569023,-0.00997621806214394,0,0.201131355029565,0,0,-0.0375454908667817
XEM,0,0,-0.226347169943519,0,0.139535303050172,0,0.187308586174701,0.221876434273951,0,0.350972128701922,0.0258899795117278,0,0,0.309377106749594,-0.0250150781171503,0,0,0,0,-0.0204990171632748
TRX,0,0,0,0.154898649650289,-0.0735032560580407,-0.0484176560886949,0,0,0,0.0963184811906777,0.3093149982084,0,0.48053516671716,0,0.0962847003792723,0,0,0,0,0.264904669511789
ETC,0,0,0.400976005104912,0,0,0,0.360648434575159,0,0,0,0,0,0,0,0,0,0,0,0,-0.0922480557278005
BV010082.Index,0,-0.299837753249067,0,0,0.0413758880314601,0,-0.00916611004967312,0.0562000322701594,0.0315933495164284,0.123822747686693,-0.138398313702143,0.10414853683877,0.133717361327523,0,0.00773009183070342,0,0,0,0,-0.115439081987498
CVIX.Index,0,0,0,0.1204764158398,0.0537172854735683,0,-0.12318854006483,0,-0.075767212465163,-0.145583670191507,0,0.208369055223312,0,-0.0683308284995054,-0.0465985514557317,0,0,0,0,0.0162940922430371
DXY.Curncy,-0.0170518294364013,0,0.0293429592375224,-0.0193559033958841,-0.027877065407599,-0.00921746046281735,0.0113912670554859,-0.033260761109197,0,-0.00151500380324047,0,0.0286669328601797,0.0571028776943675,-0.0387934285565388,0.00515385854175413,0,0,0,0,0.0163412508635047
SPX.Index,0,0,0,0,0,0,0.0407046759272016,0,0.0161154083151849,0,0,0,0,-0.0219117088715181,0,0,0,0,0,-0.061154922829445
VIX.Index,-0.0975352890547749,0,0,0,0,-0.972960897628411,0,0,0.955009333818518,0,-2.13765309800646,0,1.92644235221394,0.00194682733289079,0.545066827377991,-4.9697199603418,0.571274196081909,0,0,0
