,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0509676814150034,0.172784302696371,0.459210434739259,0,-0.114317446987995,0,0.00967827995924224,0.0607771603786735,-0.0608594492861115,0,0,0,0,0
ETH,0,0,-0.0432960935905945,0,0.0949279744211432,0.0199825348966833,0.144960053245255,0,0,0.0654725388525656,0.147044649085809,0.0140822237879491,0.00990388082753201,0,0,0,0,0.138054900235008
XRP,0,-0.44452066639574,0,-0.120908396934229,-0.00690254050742539,0,0.687956416467979,-0.0598115732357647,0.295442169339405,0,0,0.223106651061905,0,0,0,0,0,0.243175249823734
XEM,0,0.187680160618751,0,0,0,0.169768777429328,0.10570142977858,0.222967304576337,-0.0866979184674652,0.172966527954914,0,-0.0116334387662852,0.0556305772062022,0,0,0,0,1.31555475079649
ETC,0,0.303469876904902,-0.418442027403771,0.0630039649928608,0,-0.228757107471422,0.096258851808927,0,0.0126899483293112,-0.180698920540659,0,0.0896732107596552,0.410010773736284,0,0,0,0,0.295348173507592
LTC,0.448909377232083,0.124898810192227,-0.0205860652410925,-0.206864929696609,0,0,-0.321440372459047,0.818079076538451,-0.595215723663014,0.218818169122818,-0.23985143149272,0.0694960808620275,0.352447870075213,0,0,0,0,0.398457621008913
DASH,0.430357300609686,0.256603676700793,0,0.11409316278105,0.10640716773457,0.0427575182711948,0,0.186655221369196,0.135121281818143,-0.101942297595002,0.149878975022438,0,0,0,0,0,0,0.00721556556555071
XMR,-0.311536932423376,0.00353270095346853,-0.106392939782103,0.166434244745206,-0.210759851650264,0.243883080940132,0.771655170345667,0,0.129911123642703,0,0,0.0456574366313806,-0.167128425459891,0,0,0,0,0
XLM,-0.205188444846509,0.240550973976799,0.108391618147024,-0.262632259693493,0,-0.878610516831451,0.489169272691824,0.761019901962946,0,0.262740650393286,-0.53047577055984,0.124958326797445,0.279999413064501,0,0,0,0,0.324409424899854
DOGE,1.35401270643761,-0.178243926163402,0.0165408352235741,0.509424124812242,0,-0.00254079091855266,-0.287955081704802,-0.130651479857877,0.228834892984962,0,0.278602302678703,-0.0400971290471015,-4.33680868994202e-19,0,1.72684726039909,0,0,-0.596895446352921
ZEC,0,0.367673894475205,0.0869863780869461,-6.93889390390723e-18,0,0.018362570516057,0,0.191125677357859,0,0.126237407789224,0,0.0142573112342239,0.0883121908298494,0,0,0,0,0
DGB,0,0,0.280489632102485,0,0,0.315800621059179,0,0,0.348730315199311,0.715884946401313,-0.209325787778442,0,-0.108539141248693,0,0,0,0,-0.549778163668413
NEO,0,0,0.203526447014954,0.730361212522817,1.01952600645369,0.798570838706564,0.1083100021947,-0.736460285703249,0.506090425285103,-0.6206056511362,0.533973482809525,0,0,0,0,0,0,-0.908190098097269
BV010082.Index,0,-0.0315009533945137,-0.0284960990711501,-0.0257357327461517,0.0546832152315197,-0.151340902260706,0,0.0813773180055421,0,-0.00899750775141888,0,0.00883075178062187,0.0429294072594699,0,0.208826292273122,0,0,-0.0552162898648808
CVIX.Index,0.0972233262140102,0,0,0.0701362256041012,0.028486580052484,-0.139493351623802,0.00952380644898941,0.0513807708803176,0,-0.0127708061278881,0.00860299618926624,0.0335017752283223,0.0560047599632461,0,0,0,0,0.0835508425504617
DXY.Curncy,0,0.00322769157862016,0,-0.00210309251688161,0.0230852823992467,-0.000388667263754517,0,-0.0104410714283202,0.0135273912569886,-0.0117466958744859,0.00920962367412407,-0.00327932898369606,-0.00880650477447591,0,0,0,0,-0.00641729702549047
SPX.Index,0,0,0,-0.00366856710180831,0.00994566703955541,-0.00851891073284754,0,0.00331043985105115,0.0010731149468827,-0.00659759455069991,0.00441678202146791,0.00445924405047745,0,0,0,0,0,-0.0366206114319528
VIX.Index,0,0,0.12294637329972,0.213033527074191,0.0561818806405187,0.824678488761714,-0.0321839709056954,-0.621889816324696,0.389452178685674,-0.291053659394153,0.273284581306576,-0.143968219253567,-0.273493194031186,-1.09445504628615,2.06287657216125,0,0,0
