,BTC,ETH,XRP,BCH,LTC,EOS,XLM,ADA,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.167518423351588,-0.104817136932502,0.335526071222243,0,0.120551898910174,0.0566040713072463,0,0,0,0.299748860687948,0.127518659570814,0,-0.00599442230246649,0.0845179081406284,0,0,0,0,0.0206923217615834
ETH,0,0,0,0.0844726471816224,0.513218468320874,0.0854763774040424,-1.38777878078145e-17,0,0,0,0.0233979173726052,0,0.0529783357721675,0,0.11350770020145,0,0,0,0,-0.0301401372919913
XRP,0,0.327708682329501,0,0,-0.110378826714914,0,0,-0.315919279977655,1.06148376267792,-0.143856071641034,0,0,-0.0802473761306814,-0.0389735818989993,0.209391714582288,0,-0.0069646596425117,0,0,-0.231782192659816
BCH,0.602058534780528,0.68859637094044,0.1300625905096,0,0,0,0,-0.169417779458507,0,0.0220035369759882,-0.129188080230649,0,0,0.138337260938947,0.0211325200020401,0,0,0,0,0.0362863582774484
LTC,-0.206471610066811,0.979053583375106,0,0.247922689661857,0,0,-0.0767874158335139,-0.164590202924349,0.472623761537502,0,-0.35556947967382,0.314613104627719,-0.0759979623465322,0.00153607919306218,-0.0488927101133984,0,0,0,0,-3.46944695195361e-18
EOS,0.395559014258158,0.707309089049027,0,0,-0.186310190775339,0,-0.653780249788025,0.488529468043783,1.81298897686322,-0.668603882044879,-0.870007435041347,0,6.93889390390723e-18,0,0.00742120341155596,0,0,0,0,-0.226707147391583
XLM,0,0,0.425213328420729,0,0,0,0,0.0483571522312464,0.30681363157697,0,0,0,0.127738640288143,0.149185460906814,0,0,0,0,0,0.0174964729420443
ADA,0.0985206895816548,0,-0.367347664837779,-0.243568288443694,0.246797348222063,0.657538392960709,0.843440028774056,0,0,0,-0.17912263914202,0,0.0463418997169638,0,-0.205035028237579,0,0,0,-1.70616106638877,-0.176706159968614
NEO,0,0,0.123189788461396,0,0.0884944975557473,0.161827535075837,0.181511606065932,-3.46944695195361e-18,0,0.235457671479857,0.294967531575267,0,0,0.10564635558743,-0.120577832487703,0,0,0,0,0.103510360238823
MIOTA,0,0,0,0.577196128179755,0,-0.00356637627163667,0,0,0.294781979996147,0,0,0,0.226664290375051,0,-0.00936446575951164,0,0,0,0,0
XMR,0.296762945948904,0.362046140860025,0,0,-0.0549758689652661,-0.231471254666384,0,0,0.856292198468098,0,0,-0.0536417196944271,-0.0978570364070734,-0.0581509009920769,-0.0370146444005452,0,0,0,0,0
DASH,0,0,0.0317156478626286,1.38777878078145e-17,0.160629594628525,0,0.124331479627031,0,0.251011173022475,-0.0452911381967324,0,0,0.0616014771865779,0.0550375064866589,0.181660318458532,0,0.727780745975391,0,0,0.102794792786859
TRX,0,0,0,1.0343653301522,0,0.318905926335663,-0.525468667193775,0,0,0.562162012512798,-1.04218718450508,0.953875646049943,0,0.192221508042043,-0.315717408116061,0,0,0,0,0.420878573624521
XEM,0,0,0,-0.149791414228817,-0.323536426981801,-0.0998264230567582,0.67759805821488,0.265291615128815,0.0591701529646943,0,0,0,0.180172586387202,0,0.0414408295517137,0,-2.76183189153918,0,0,0.0621844099053928
BNB,0,0,0,0.27761856987511,0,0,0,0,0,0,0.449664238092997,0,0.000377946399990226,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0062759166490079,-0.0258535124922725,0.0538192554069302,0.077895808738017,0,0,-0.0329433011772429,0.136013080411974,0,-0.224192647025323,0,0,0,0,0,-0.0626397073821246
CVIX.Index,0,0,0,-0.0236574934412296,0,0,0.199601196977274,0,0,0,0,0,0.0590012480611459,-0.244727085733284,-0.0516603891875885,0,0,0,0,0.0252044910420688
DXY.Curncy,-0.00298489318374653,0.0400441860835813,0.0198092579795542,-0.052903179601589,0,0.00882990147939995,-0.0418160473816497,0,0,0.0406247392417188,-0.0324539560528058,0.0818862917521109,-0.0235371941976526,-0.00764004793265285,0,0.0794831285992197,0,0,0,-0.00193419538945082
SPX.Index,0.0354968678838517,-0.0746352379289623,-0.0401229324488001,0,0.118333860826528,0.0152997023794868,0.00918118062305349,0,0,0.045192042824106,-0.0539820589864911,0,-0.0426363293389163,0.0209672080800688,0,0,0,0,0,-0.0817317472616151
VIX.Index,0.090558761582259,-0.396864947488383,-0.700344160325297,0,0,0,0.505092117317108,0,0,0,0,0.333283204726409,0,0,0,0,0,0,-4.5610661914085,0
