,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,XLM,ADA,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.000526668252477567,0,0,0,-0.0949094683599599,0,0.3318029289686,0,0,0.0187603089647227,0.211668222713265,0.154100418783357,0.0936517502921381,0,0,0,0,-0.19782511406182,0
INNBCL,0,0,4.74771357199818,0,0,-44.2592492068571,34.089323455873,0,0,7.50324749529978,2.49966864285338,-5.89234950381733,0,-2.51941355694068,-19.6988490278136,-31.2149612024836,0,0,0,0
ETH,0,0.00572461963163268,0,0,0,0,0,0.180774682757633,0.48778934453532,0.178065494400306,0.012208995522947,0.0286824672914964,0,0,0,0,0,0,0,0.0301609181453498
XRP,0,0.00293324821366641,-8.67361737988404e-19,0,0.125126442791258,0.161779841721803,0,0.049275598180004,0.112060346678864,0.0414953056229982,-0.0189877364892847,-1.73472347597681e-18,0,0.148544647465839,0,0,-0.0266250868636486,0,0,-0.0274025502972241
BCH,0,0,0.100528332644221,0,0,0.15044646537274,0,0,0,0.384386166911289,0.0187549889076668,0,0,0.104064553195704,0,0,0,0,0,0.0869693026204785
BSV,0,-0.0134099875047697,0,0,0,0,0.441667419146242,0.31736975615839,0,0.368230618661706,1.35525271560688e-20,0,-0.0340801638547117,-0.0899639975443967,0.0415171107088011,-0.925830733149253,0,0,0,0.0142141274125893
LTC,0,0.0020952848245873,-0.0230234215957597,0,0,0.175986463277713,0,0.199463061512481,0.303753919813897,0,0.0188483821298194,0.0207197072861369,0.156526870179562,0,0,0,0.209626676793317,0,0.450352356525362,0.0394717506617219
BNB,0.662400442497267,-0.0102999103449555,0,0,-0.137506563353324,0.114981780000781,0.978556750627276,0,0,-0.0396060636922398,-0.134153847117155,0,-0.156564063135913,0,0,0,0,0,-0.393011368502451,-3.46944695195361e-18
EOS,0,-0.00107159219727835,0.445552327076629,0,0.0916972870759548,0.0951421033637995,0.285626718912163,0.135046240121277,0,-0.351690595310498,0.0137829842530812,0.0601879164912854,0.239294287727077,0,0,0,0,0,0,0
XTZ,0,0.00302697887610688,0.151895179084257,0,0.288587593274747,0.214157597863796,0,0,-0.0719112500426375,0,0.00227770966420066,0.061763677336481,0,0.524843944443682,0,0.217639760452251,0,0,0,0.0138970950969342
TAGZ5,0,-0.0425760715641237,0,0,4.09938430785176,0,1.19757115980205,-4.85581124916189,-5.55111512312578e-17,0,0,0.1532349380677,0.786895555831713,0,0,0,0,0,0,0
LINK,0,0,4.33680868994202e-19,0,0,0.526608233866418,0.943328972539827,-0.257088560240034,-0.306539154284684,0.65964079941335,-0.0539383748370853,0,-0.12291347646646,-0.244295980445499,0,0,0.0247299928433485,0,0,0.062564617453344
XLM,0,0.00414808070164888,-0.297759529456953,0,0,0.202227613390671,0,0,0.0777629241510552,0,0.002707463704848,0,0,0.849050825484919,-0.136100230902193,0,0,0,-0.102180333099958,-0.0075803872619104
ADA,0,-0.00283318287322049,0.362381684217436,0,0,0,0.0453469656283348,0.0868238116231518,0.00281298297520684,0.234734828706741,-1.0842021724855e-19,0,0.101440719804207,0,0,0,0,0,0,0
LEO,0,0.00420701265642839,0.0119906461546567,0,0,0.0104972505573252,0,-0.01410642364358,0.091033441296523,-0.159073858174939,-0.00968264685511398,0,0.0364504467826831,0.074733044336875,0,-0.181538317183314,0,0,0.170093278385412,0.0418212557148192
BV010082.Index,0,0.000455807248739314,0.0922476098465713,0,-0.323488623651092,0,0,0.024732763199072,-0.235933596164238,0.130616740936742,0,0.0513004555981111,0.124038763177622,0,-0.241109928184973,0,0,0,0,0.0437108460873918
CVIX.Index,0,-0.0105633397265404,0,-0.441123771646063,0.0197504535858066,-0.296993824443355,0.97857193067014,-0.164863639175824,0,0.168373104723561,-0.0570420407537658,-0.0358698826177763,0,-0.169462830582826,0,0,0,0,-1.10508428055962,-0.25821721794808
DXY.Curncy,0,-0.000741048969237255,0,0,0,-0.00940655611277497,0,0.0105285103972636,0,0,0,-0.0174163950639372,0.0165747840897779,0,0,0,0.0547190581323194,0,0,0.0249685144250632
SPX.Index,-0.376718443322281,-0.00465000863738105,0,-0.2021059094529,0,-0.189073335992919,0.400492527785735,-0.0494404448826885,0,0.230333386518025,-0.0260502564238257,0,0.00457690278364319,0.0578867141798378,0.449916549973649,0,-0.483392610961977,0,0,-0.197841506003449
VIX.Index,-1.41888425009494,-0.0203577313854822,0.52445481245008,-0.814254646382879,0,0,0,0,0,0.728407880029081,-0.0670387176092014,0.0455078531019678,0.389307302525962,-0.233326582774909,0,1.87016257634356,-1.28469626082822,0,-1.93508833849812,0
