,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,MIOTA,XEM,DASH,XMR,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.212350879762941,0,0,-0.0637289137777603,0.0776919721968289,0,0.0561599213656389,0,0,0.0670402041460425,0,0.334210703447372,0.0414488559023439,0.0571467660740174,0,0.238532839363163,0,0,-0.0283157128055811
ETH,0.281047992559139,0,0.0138480334740979,0.124183015497417,0,0,0.509604943774201,0.125421667094425,-0.270200067632035,0,-0.0546360005688904,0,0,0.0896171289005722,0.152154886633107,0,0,0,0,0.047289981871592
XRP,0,0,0,0.363653105352555,0.17271982031383,0,-0.0233702509994921,0,0,0,0.133080004638108,0,0,0.181608699745198,0,0,0,0,0,0.0478753343989016
BCH,0,0.161193838243023,0,0,0,0.223027997110961,-0.138385112993228,0.254278534612595,0,0,2.77555756156289e-17,0.755934303047034,0,-0.0717976406780062,0,0,0,0,0,-0.113768081662528
ADA,0,0,0.664424531087431,0,0,0,0,0.128662173317079,0,0,0.104942381026631,0,0,0,0,0,0,0,0,0.0144161511465534
LTC,0,0,0,0.100095106640039,0.271037202754543,0,0,0,0,0,0.00789372366482706,0,0,0.285229986683666,0,0,0,0,0,0.0868960497895814
XLM,0,0.0295671789027927,0,0,0.381405689331682,0,0,0,0,0,0,0,0,0.398069729034141,0.0971792491840949,0,0,0,0,0
NEO,1.42220427997246,0.141091942378946,-0.147293213881034,0.189759278211628,0,0,0,0,0.173259624770597,-0.47332307402956,0.00825319750061443,0,0.0136382152221479,0,-0.0258801784740686,0,0.53571515950008,0,0,0.0555349749501797
EOS,0,6.93889390390723e-18,0,0.00534658922971572,0,-0.230964396363639,0.409180417920344,0.0675463072604965,0,0,0.000889502828919024,0,0.390867352740583,0.338731522316241,1.73472347597681e-18,0,0,0,0,0.0489870660698117
MIOTA,0,0,0.173213127495459,-3.46944695195361e-18,3.46944695195361e-18,0.546089499937341,-0.0604617650981728,0,0,0,0.150187991840921,0,0,0.105208542722208,0.0353451912326176,0,0,0,0,0
XEM,0.708255125531524,-0.717119264260837,0.559769014426174,-0.0327842184018009,0,0.210505236971843,0,0.0245843800912967,0,0,0,0,-0.229976492622743,0.177124995108667,0.109047875354515,0,0,0,0,0
DASH,0,0.239320311234036,0.0415213249098004,0,0,0,0,0.00387422197081767,0,0.0752224280574323,0.00387034994152591,0,0.63050632099797,0.0281171825104669,-0.00566121619743566,0,-0.442310633090684,0,0,0.0355853568636622
XMR,0.441763779198012,-0.164786060692217,-0.0140266806380424,0.126653148069613,0.0915715826584839,0.0751507766471829,-0.0600794850738647,0.133070647954242,0.101052739776629,0,0,0.351106659397641,0,0,0,0,0,0,0,0.0241720706038002
ETC,0,0.333525369522648,0.0876586289291684,0.217826791020994,-0.22382047385193,0,0,0.00659649871067448,0.344260299344412,0.308514018403987,0,0,0.0708770278808612,0,0,0,-0.298284135496709,0,0,0.0217176554533667
TRX,0,0,-0.146819056381661,0.109209013547176,0,0,0.376105007803572,0,0,0.276323473152598,0.336140876134991,0,0,0.0399050716048312,0,0,0,0,0,0.0988035508955267
BV010082.Index,0,0,-0.0632294610425615,0,-0.0281900464499791,0,-0.0448480084414942,-0.039266000525887,0,0.0369939640413139,-0.0129698139541352,0.140125007421623,0,-0.00151089111509544,0,0,0,0,0,-0.0396300323608053
CVIX.Index,0,0,0.0250680913771051,-0.118864296444188,0,0,0,0,0.00451734130582897,0.131862868637915,0.0939892790330417,0,0,-0.0781341301378059,0,0,0,0,0,0.0159552252859289
DXY.Curncy,0,-0.00105950825866584,0.0389700304600534,0.0179805267015302,-0.0129591908454117,0,0.0338273571992122,-0.0108492577367334,-0.0953448554203766,0.0229035366638482,0,-0.0632103328731698,0.0646888006345443,0.00936231037934378,0.00328633990593737,0,-0.124482474780345,0,0,0.0160536247802197
SPX.Index,0,0,0,0.00602808308739384,0,0,0.0303966545169966,0.0584066793833846,-0.0739144873614174,-0.00457903308387145,0.0632626021662878,0,0,0,-0.082788300880894,0,0,0,0,-0.0708023858473227
VIX.Index,-0.45831133079495,2.16840434497101e-19,-0.211840499018782,-0.0206843219766336,0,0.300597360506818,-3.46944695195361e-18,0,0.142696259886682,0.293270567684705,0.41713676936763,1.38777878078145e-17,0,0,-0.366587980718204,-2.7213297695784,-0.583933803487801,0,-6.11047832530899,0
