,BTC,ETH,XRP,LTC,ETC,DASH,XMR,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00961689567057352,0.148306315074496,0.0194226964207838,-0.100074990313982,0,0,0,0,0.00479933430529928,-0.000167004662717181,0,0,0,0,0,0.0238112273628808
ETH,0,0,0,0.293461627476061,0.045101643421166,0.0678773114494077,0.292963684217832,0.158812054554927,0,0.239222823623178,0.00813948282438977,-0.0172362692802501,-0.0740856964242927,0.205562085358746,0,1.68716490509167,-4.04619358783898,0.00703055642835152
XRP,0,0.153488928092773,0,0.0931981269953514,-0.0964258370176762,0,0,-0.148758781017689,0,0.364318715571931,-0.14082713667066,-0.0615220780850691,-0.418748147733849,0,0,0,0,0
LTC,0.669769345063436,0,0,0,0.0550233047345514,0.107018912404796,-1.73472347597681e-18,0,0,-0.124464854857466,0,0.00178417408877358,0.0127704252025434,0,0.0385499535467052,0,0,-0.0183971772589782
ETC,0.929705764140162,-0.593467495306253,0.229277007687748,-0.0552969506816968,0,-0.433627151027779,0.666554232285308,0.517090048376761,0,0.16021189212656,0.00181200122968336,0,0.724586300524577,0,0,0,0,0.102897303540334
DASH,-0.26125267324343,0,0,0.0883537804881232,0,0,0.43938641041373,0.151237670200045,0,-0.515617223871615,-0.0467166126913901,-0.107485595576052,0.104854608163891,0,0,0,0,0
XMR,-0.567632643940994,0.452470512618818,0.393761885041286,-0.405650109439686,0.0230902470853573,0,0,-0.0439668036858519,0,-0.204265265267854,-2.16840434497101e-19,-0.0628339590041875,-0.102258483994625,-0.584601379137489,0,0,0,-0.42216906536538
XEM,0,0,0.396697882674316,0,0.159443026771509,0,0.170942009982782,0,0,0,0.0409908590883315,-0.0223668000202861,0,0,0,0,0,0.0066476917549292
DOGE,0,0,0.0366499118229133,0,0,0.0227382258600434,-0.125536109560428,0.0451625791705942,0,0,0,-0.0125626794534969,-0.0227090240351207,0,-0.035977650494802,0,0,0
XLM,-1.0140219335447,0.583153378594807,0.340957853322324,-1.43619736927923,0.151358409176085,-0.11531557438396,-0.297736987065857,0.0905925836708742,1.56176926212068,0,0,-0.0163197087407809,0.128214663061238,5.55111512312578e-17,0.696020813920296,0,0,-0.0738351839635195
NEO,0,5.1428611556611,-1.09634090472364,0,0,0,-1.39169230207174,0,0,0,0,0.257487298716997,-0.252163379533957,0,0,0,0,1.63467930532365
ZEC,0,0,0,0,0,-7.17557386249016,0,0,0,-0.211458776988596,-0.521583365615683,0,-0.909527128117437,0,0,0,0,-1.68533795251284
DGB,0,-0.886471148085316,-0.247835428971877,0,-0.192126872383557,0.213856257547577,0,0.348646972955644,0,0.570769078619688,0,-0.00975080434036905,0,0,0,0,0,0
BV010082.Index,0,0.065630445143795,-0.0707634078180601,0.130746920866798,0.0174424467513732,0.0844079731593334,0,0,-0.215792044214315,-0.0419811138886192,0.017144269386182,0.00409098057388099,0.00307888446256517,0,0.10157504105966,0,0,-0.176237569622181
CVIX.Index,0,0,-0.210103101236083,0.51035821693505,0,-0.150718775102753,0,0.133959956464948,0,0.20515238724613,-0.00803298905906496,-0.0181064955955418,-0.0561763527958694,0.539769096910922,0,0,0,0.0467251325131426
DXY.Curncy,0,0.0261798015739329,-0.00707504356175933,0,0.00160366367677986,-0.00534190203076936,0,0.00377054976935372,0,-0.00317546014601995,0,0.000695857159387562,0.00222309584897218,0.162851961910232,-0.030307217092215,0,0,-0.0295579572941953
SPX.Index,-0.0180417062175656,-0.0100529389605718,0,0,0,0.00659050680870841,-0.0260076295044506,0.0134051091660869,0,0.0128087723936143,0.00500566857851855,-0.000944509090855757,0,0,-0.0233266408447121,0,0,-0.0536030624739949
VIX.Index,0,0.51321590125628,0,0,0,0,-0.429116507252348,0.283123520477972,-1.05955648740981,-0.174748774444919,0.0102662570284043,-0.0210718654223657,-0.0897031568065873,-1.43512525362829,1.11873861854623,0,0,0
