,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.133552684747338,0.137434909423298,0.119641114645837,0,0,0.544590715345483,-0.004354408438255,0,0,0.0176307308669709,0,-0.119562039778363,0,0,0,0,0
ETH,0.0683258972830672,0,0.0770967363103424,0.147738579193796,-0.056623065587019,0.00970735852936145,0,0.187103958134625,0,0,0,0.260325277773163,-0.0197446114233652,0.0234550909819602,0,0,0,0,0,-0.00922124570166778
XRP,0.0915506636840105,0,0,-0.0514244502922072,0.234671880824123,0.220919729857127,0.289457680370225,0,0,-0.0337203176139625,0,0,0,0,0.0842522296780286,0,0,0,0,0
BCH,-0.0886493526163922,0,0,0,0.276340202319936,0.259220408925843,0.406175241108726,0,0.224650027998173,-0.273724094286495,0,-0.343557509992676,-0.184908789215795,0.665681931510803,0.0461577207201939,0,0.948637759771161,0,0,0
LTC,0,0,0.298837303326627,0.32215306955318,0,0,0,0,0,0,0,0.161781112651915,0,0,0.0447074173392456,0,0,0,0,-0.0157884258240083
NEO,0.201076303187613,0,-0.0833992270108614,0,0,0,0.226177379119829,0.0785282036944169,0,0.0361674274268928,0,0,-0.154619750817835,0.308962804419765,0.182458298465584,0,-0.93187308699314,0,0,-0.184798493646461
XLM,0,0,0.508510605859762,0.318265635356304,-0.413921550842893,-3.46944695195361e-18,0,0.083115808417037,0,0.148393061385084,0.150060962215241,0,0.177922971726206,0,0,0,0,0,0,-0.195311176663621
ADA,0,1.09173092272984,0,-0.0898708390646717,0,-0.357982928715131,-0.130855149334429,0,0,0,0.981672262157341,0,-0.1624930825798,-0.200870630175068,0,0,-1.17273614582221,0,0,0.0165442372224302
EOS,0.375034779697362,0,0,0.360631930512326,0,0,0,-0.166103911082444,0,-0.0364222270246441,-8.67361737988404e-19,0.489870543433479,0.119389749024804,-0.290077232187504,0.0907514148694307,0,0,0,0,0.063898468614838
XMR,0.902768105190088,0,0,-0.00269681566665641,0,0,0.385891743595298,0.461167590510871,0,0,0,0.0265109218658077,-0.303165730806177,0,0,0,0,0,0,0.325914783843749
DASH,0.213474951864873,0,0,0.0376736069080533,-0.0774772359398517,0,0,0.275817822855514,0,0.165538182269455,0,0,0.326997627634342,0,-6.93889390390723e-18,0,0.232708855983886,0,0,-0.0402357736830348
MIOTA,0,0.761124395243425,0.154216505349008,-0.0573839838749201,3.46944695195361e-18,0,0,0,0.261214219047286,0.136597155766322,0,0,0.149151610815483,0.0619641760412477,0.0605736700078351,-0.33403216996102,0,0,0,0
XEM,0,0,-0.181122090568021,-0.257502921145659,0,0,0,0.0348905648308971,0.35735832104305,-0.279920169079799,0.600404952428026,0.10824167374426,0,0.531004047470647,-0.169482747410768,1.05944718577865,0,0,0,0
TRX,0.104361104968494,0,-0.00423539213162122,0.48100476230704,-0.00642357739753775,0.125527268561898,0,0,0,0.166016392168669,0,0,0.314947774133542,0,0,0,0,0,0,0.385737446980734
ETC,0,0,0.826177215515993,-0.85315987737897,0.707700686845894,0.188131517355104,0,-0.25039073062473,0.561794820248218,-0.561569805980698,0,-0.249737242766472,0.0448874384692933,0.845613845575913,0,0.667696848450529,0,0,0,-0.359299788359592
BV010082.Index,0,0,0,0,0,0,0.102411539408105,0,0,0.0331388149026682,0,0,0.0813790525107382,-0.140734283166362,0,0,0,0,0,0
CVIX.Index,0,0,0,0.234726031587657,0.077448672243432,-0.0620037970138896,0,-1.73472347597681e-18,-0.105503922355064,-0.0426794052489616,0.286885668471062,-0.116952199653858,-0.0127531416157858,-0.124457955359589,-0.0632477319829901,0,0,0,0,0.0280482887096436
DXY.Curncy,0,0,0,-0.0170051578046795,-0.0364394725680552,0,-0.026180593494973,0.0401031679771375,0,-0.0148421653899243,0.0154921021036488,0.0218456111296124,0,-0.0158904528069583,0.00973029037029187,0,0,0,0,0.0161344323707386
SPX.Index,0.0109167449461128,0,0,0,0.0279826471480514,0.033611516826774,0.0334311560720104,0,0,0,0,0,0,-0.0739728187855125,0.0132342007688691,0,0,0,0,-0.0032042505982962
VIX.Index,0,0,0.466191115927549,0,-0.472744149563936,0.000813259500792111,-0.807860165999156,0,0.432640263615763,0.42309439955783,0,-0.868282368479568,0.106566126479738,0.644763379408651,-3.46944695195361e-18,0,-0.120541572435504,0,-2.90984804016618,0
