,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0152742590352317,0.187382617378332,0,0.503022602106091,0.0577360785726349,0.00277321927502055,0.0679269980950734,0.0485790834352339,0,-6.93889390390723e-18,-0.0208626764099993,-0.174833200772655,0.0266206884205108,0.148160776576436,0,0.759102104867231,0,0,-0.228060450183122
ETH,0.329208176320349,0,0.00431591190435945,0,0,0.333886671340465,0,-0.0609483434602867,0.0531755955910063,0.362630972303217,0.117288047091537,0,-0.0386845751227741,0.0384068064323797,0,0,0,0,0,-0.0215765210028764
XRP,-0.684276003764169,0,0,0,0,0.0572549627840614,-0.132187507313014,0.267395701619421,0.180105677141074,0.258228932522424,0,-0.136727230900502,0,0.0469131552777594,0,0,0,0,0,0.363900399186507
BCH,0,0,0,0,0,-0.519089262539602,0,0.232702783486707,0,0,0.111379044771502,0,0.0214602374842253,0.167567567805026,0.195916127260497,0,0,0,0,0
LTC,0.0577044163807022,0,0.0747027390217443,0,0,0.0469253846711088,0,0.240519469949416,0,0.107911938991158,0.327289370307407,-0.00239430080200272,-0.0171224948204167,0.016998420205492,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.115039933279405,0,0,0,0,0,0.151638291039963,0.101155144846913,0,0,0,0,0
XEM,0,0,-0.191979990645405,-0.209050200690066,0,0,0,0.00995610156877403,0.0347617551408332,0,0.710810820305098,0,0.0755700375101962,0.0842841802598439,-0.0146599685573517,0,0,0,0,0
NEO,-0.313346736009022,0,-0.221891254479533,0.243393813013999,1.23073934489424,0.0110523139125953,0,0,0.221010005899737,0,0.279304593835965,0.224550341021763,0.263147852418213,0.237018194021093,-0.222109983259451,0,0,0,0,0
MIOTA,-0.281944629207679,0,-0.150747523264469,-0.0649846566019551,-0.335246235543253,0,0.333931560005843,0.134094085055486,0,2.5565123413113,-1.04806094169256,0.225783313003061,-0.465314404744582,-0.0210901279914533,0.719710720534996,1.5908034233665,0,0,0,-0.0663012522942462
XMR,0,0.155517556456975,0.0370471390032242,0.0603258224240127,0.281812573257515,0,0,0,0.040344928188879,0,0.303751751423635,0.0939813747594575,0.128657185937359,0,-0.0963259517648723,0,0,0,0,0
ETC,0,0.238154739843012,-0.0845474139808266,0.180715177966921,0.39557707334402,0,0,-0.048091159176042,0,0.179319174872301,0,-0.0601547390580542,-0.0922344248218203,0.034032647113122,0.152726191817148,0,-0.180565225847368,0,0,0
ADA,1.75530332992384,0,0,0.529648202871784,0,0.0975256220918982,-0.408217201400903,0.190746165648851,0.80862244336674,-4.00955462402883,0,0,0.42836397490265,-0.0254629583370136,-0.396205273096919,0,0,0,0,1.84288923882322
ZEC,0,-0.718492935558061,-0.301195526232191,0,0,0.721671079277069,0.319712983758615,-0.0747916784667425,-0.373458712181152,1.39895898208484,0,0.0489197234819591,0,0.0607498773230607,0.57445296485855,0,0.968953113428362,0,0,-0.298988488047173
XLM,0,0.801018987073731,-0.238243279335371,-0.541756290019331,-0.561532114065341,0,0.0260869454305023,0.252618678339077,0,0,1.30917390872478,0.000966097080651469,0.156946755223407,0,-0.105034016613917,0,0,0,0,0
EOS,0,0.169838273372097,0.0901513814617404,0,0,0,0.0199476442037453,0,0,0,0,-0.0768584004284525,0.591887898919371,0,0,0.993304650672414,-1.0988288141225,0,0,0.699901662104896
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.11101377876944,0,-0.0329815676570314,0.0402562516455935,0.0357742147303773,0,0,0,0,0
CVIX.Index,0,0,0,0.135640923311903,0,-0.218675646194221,0,-0.0379623183305838,-0.0201776115404605,0,0,0.0406384935930948,0,0,-0.0233204568203843,0,0,0,0,0
DXY.Curncy,-0.00112905939805608,0,-0.0151637604829591,0.00710927590894175,-0.00565237627292656,-0.0113803060376422,0.00698195668712915,0,-0.024048748044028,0,0,-0.0244647828314292,-0.0109956842730536,0,0.0230311701084486,0.117948714787753,0,0,0,0.0250530314578874
SPX.Index,0.00500741627401751,0,-0.00638757187083777,0,0,-0.0227935347100784,-0.018356500971999,0,0.0106190048783044,0,4.33680868994202e-19,-0.0150085434420683,-0.0223203712473926,0.015291639739415,0.00580626098402848,0,0,0,0,-0.027956987992292
VIX.Index,0,-0.235970613200488,0.0358122811608679,0,0,0.032971632213326,0,0.0301164334917835,-0.23416964998863,0.925118312894518,-0.343701681369098,0.333685711756608,-0.251620907682941,0.0974551563462277,0.214959142352684,-2.77555756156289e-17,0,0,0,0
