,BTC,XRP,ETH,XLM,EOS,BCH,LTC,BSV,TRX,ADA,XMR,BNB,MIOTA,XEM,DASH,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.251175215400841,0,-0.0906308657865539,0,0.0156142911147421,0.110369043963683,0.330318623744896,0,0.12958706849682,0.000836919385211927,0.124559196572509,0,0,-0.0995917216082477,0,0,0
XRP,0,0,0.17897434296292,-0.0766861349830319,0.0912450665268559,-0.00933586167381546,0.129855367548203,-0.0209272268741245,0,0.161485724811413,0.108074480320312,0.0979264959805006,0.0745149880969638,0.0663448048457018,-0.103269203325907,0,0,0,0,0.0417930382392245
ETH,0,0,0,-0.0722721559851672,0.134450306957553,0,0.305926594501032,-0.0291566223039589,0,0,0.34278907804089,0.13535343785113,0.0392761081255677,-0.120531739075465,0,0,0,0,0,0
XLM,0.992180532038058,0,0.0123178201610032,0,0,0.167198906629772,0,-0.0522863844820945,0,0,0.0593873151615988,0,0.0791872446687187,0,0,0,0.108731910241254,0,0,0.0648171921929674
EOS,0,0.594010741437037,0.62375064329923,0,0,0.254829166748749,0.429890562118309,0,-0.238438721081794,0,0,0.028515434930167,0,-0.580198954171405,0.0823796382019066,0,0,0,0,0.111019448625344
BCH,-1.06558545834188,0,0.115359338443939,0.145590914442439,0.710869421393033,0,0,0.149669861394619,0,0.208296915296862,0,0,-0.0563655089929615,0.851989227763338,0.0767995275169282,0,0.145422296897498,0,0,-0.0917921267490877
LTC,0.374059354191625,0,0,0,0.302902686689609,-0.106201704822875,0,0.067521322944245,0,0.21114173935089,0,0.0222288655600359,0,0,0,0,0,0,0,-0.306303242588771
BSV,0,0,0,0,0,0.526633665402537,0,0,0,0,0,0,-0.139477065126322,-0.629385495304726,0,0,1.04914853796864,0,0,0.278793216239455
TRX,0.128360909980483,0,0,0,0,-0.356173969654812,0,0.0379663035121537,0,0.673203970116332,0,0.173363963867694,0,0.320610222296472,0,0,0,0,0,0.0467489930408829
ADA,0,0,0,0.193915993606771,0.309640358093098,0,0.139770783095578,-0.0521277629246895,0.411333740418304,0,0,-0.110884886778513,0,0,0,0,0,0,0,-0.0408712318592893
XMR,0,0,0.55624810334734,0.273575520159004,-0.0697683269027898,0,0,-0.0385079142126454,0,-0.138398658826845,0,0,-0.0151856665440875,0.205181992257908,0.242361771971095,0,-0.264839005141628,0,0,-0.0796321983235421
BNB,-0.286872598352434,1.16623884478599,0,0,0,0.48591359346034,0.65980255289654,-0.116640833237897,-0.0268002905706753,0,-0.502350549388361,0,-0.134760065650711,0,0,0,-0.423348732750051,0,0,0.314372579714091
MIOTA,0,0,-0.716283242481489,0.825654878906893,-0.366856151795859,0.707978482910489,0,0.025840626658947,0,0,0,0.409754369683897,0,0.452221693695543,0,0,1.08023493090164,0,0,0
XEM,0.331867636524348,0,0,0,-0.316867811046632,0.0405660663951249,0,0,-0.19284582221142,0,0.859977526183664,0.164921164985066,0.0805363735376971,0,-0.0203441875081648,0,0,0,0,0.267674487388458
DASH,0,0,0,0,0.491098189180059,-0.31475056308851,0,0.013166484153256,-0.00386099822227713,0,0.93029492985449,0.157377437589177,0,0,0,-0.569665266803522,0,0,0,0.117997164746148
BV010082.Index,0,0,0,-0.131929373412152,0,0,0.0362848732917368,0.0108172579127658,-0.0434371722616758,0,0.057920838822329,0.120746526013345,0.028582708139797,0.0586520849380326,-0.112168790837179,0,0,0,0,-0.0487914900713675
CVIX.Index,0,0,0.181201928259891,0.170430458156535,-0.179980184613311,0.155216978181026,-0.265617467501143,0.014344449374086,0,-0.115736073153783,0.0246246377897408,-0.182292886347544,0.079864893555066,0,0.0829220707781585,0,0,0,0,0.128036327330049
DXY.Curncy,0,0,0.00143643334716697,-0.0181470677916587,0.00824379638012864,0,0,0.00292918550299779,-0.0300775624442266,0,0.0254614700445242,0,-0.0058848688964,0,0,0,0,0,0,0
SPX.Index,0,0,0.0284317182134373,0,-0.0775866865686703,0.0547211057021181,0,0.00764956393092225,0,0,0,-0.00173015768578674,0.0171689463889337,-0.0401564281485381,0,0,0,0,0,-0.156696818748836
VIX.Index,0,0,0,0.532910275056757,0,-0.0482681016597753,-0.300221327388172,0.0316794024697405,0.021832945512381,0,-0.505827672790385,-0.0748156621128816,0.0288083366799901,-0.105788892116567,0.206076909694475,-0.427364783365056,0.236675683009138,0,-2.60336186278843,0
