,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,TRX,MIOTA,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.211712850145241,0,0,0.0174388576571473,0.0339091707070721,0,0,0.136020982186924,0.0930111719235975,0,0,-0.00035092798616715,0.117374166467304,0,0,0,0,0,-0.00478411468993562
ETH,0.605454460609958,0,0.0880639613192564,0,0,0.000786172283311944,0.223581725182869,0,0,0.126101038274997,0,-0.0157217532334023,-0.0931440106879195,0,0.161094120145686,0,0,0,0,0
XRP,0,0.216278988810962,0,0,0.0947011132792868,0.130261975639139,0,0.130757958306185,0,0.0451408829577914,0.0643885696400411,0.0141496641829358,0.267665660693882,0,0,0,0,0,0,0
BCH,0,0,0,0,0.00214764647309777,0,0,0.0550280151096536,-0.161531861254853,0.0778622679799666,0,0.605481573044938,0.114956807602246,0,0,0,0,0,0,0
EOS,0,0,0,0.84652717168305,0,0,0,0,-1.11947776404547,-0.389446595586418,1.31475717706402,0,0,-0.24313787856433,0,0,0,0,0,0
ADA,0,0,0.356024685987277,0,0,0,0,0.130899392147761,0.053264722994155,0.37365028465071,0.162267457124071,0,0,0,0,0,0,0,0,0.218136250780381
LTC,0,0.13763181384827,0.169418708827496,0,0,0.0193090490976716,0,0,0.101384270966145,1.38777878078145e-17,0.0613274541512645,0.0261552767803334,0,0.061937478290074,0.294497709445414,0,0,0,0,0.0899070628047223
XLM,0,0,0.380702565057702,0.129443512028726,-0.0667803783970284,0.165591803144463,0,0,0,-0.311621596500456,0.381792345535568,0.351605050932394,-0.0602329415211015,0.430760229745981,-0.387207952143047,0,0,0,0,-0.299265695795265
TRX,1.29894247484605,0.201498276351464,-0.0701570132224861,0.217601050485084,-0.166237909477125,-0.0739732781798397,0,-0.125296054120633,0,-1.52810538780553,0.271466975313369,0,0.100319489860996,0.915790526620608,0.706028279373351,-1.69189010228757,-0.702077598308293,0,-2.20862438368783,0.0418464000181423
MIOTA,0.323903822629329,0,0,0.136722871722299,-0.101085928563802,0.013709683623918,-0.195693897494326,0,-0.409053556971771,0,0.168574216877027,0,0,0.612951933471031,0.540977162198742,0,0,0,0,0.207787309273542
NEO,0,0,0,0,0.08426302601168,0.0852250516028806,0,0.365005350904143,0.219769505120555,0.070698512641761,0,0,0,0,0.24759191200498,0,0,0,0,0.277796494523357
DASH,0,0,-0.174969738887629,0.142119599734227,0,0,0.262431874482678,0.186825802429313,0.101842725396897,0.195180707823519,0,0,0.0977873486587266,0,0.227018006081228,0,0,0,0,0.0995635720733103
XMR,0,0,0.351616864594008,0.10787727035717,-0.0207718067354774,0.0858924302337335,0,0,0,0.0168350986724711,-0.0357392205331144,0.20590153476159,0,0.113148268457855,4.33680868994202e-19,0,0,0,0,0
XEM,0,0,0,0,-0.00486894383713751,0,0,0.195475059017546,0.0624048490586118,0.359364277582053,0.0735488273622421,0,0,0,0.0447708870732415,0,0,0,0,-0.0968276372032215
ETC,-0.135173311752529,0.434558017423877,-0.257801636185142,0.212761851842695,0.0733976615215262,0.0607600656781228,0.522660322022156,0,0,0,0,0.208678433064898,0,0.0686427343400325,0,0,0,0,0,-0.0673798246306033
BV010082.Index,0,0,0,0,0.0291878547806449,0,0,0,0,0,0,0,0,0,0.031223650462608,0,0,0,0,0
CVIX.Index,0.361922642427534,0.0334812721126841,0,0,-0.000812181956656601,-0.181897484162735,-0.0968260562368979,0,0,-0.0237140242834033,0.0236417444174885,0.112774613920536,-0.0852902396933133,0,0,0,0,0,0.0777586524005256,0.0545810966492633
DXY.Curncy,0,0.0761433935803994,0,0.00458215447010741,0,0,-0.0870667743617188,0.0124036513025218,0.0212156369251698,-0.031165550682139,-0.00594372932346674,0,0,0.0159777943835067,0.00969102430496897,0,0.0475425673083117,0,0,-0.00053230767710619
SPX.Index,0,0,0.0357410779270557,0.0330422757180283,-0.0249568674923552,0.00989764601990119,0,0.0259895559008823,0,-0.0911832387567856,0,0,0,0,0.0164844632494115,0,0.0314484768378747,0,0,-0.107104044630588
VIX.Index,-0.223970584768795,0,0.283995314928065,-0.00444838171632253,-0.0553505413720703,0.0826836402562937,0.246554481686344,-0.344408490025228,0,-0.336426794148069,0.238284209157203,0.482191678518632,0,-0.499281605499975,-0.0649736267198813,0,0.0708940551524676,0,-5.30258218413542,0
