,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0980342446479183,0,0.223593410820108,0,0,0.104482539677658,0,0.114411024194757,0.110569804038048,0,0,0.106527236095394,-0.00650266971103798,0,0,0,0,0,0
ETH,0,0,0,0,0,0.297908866795667,0.109676149416322,0.467576831105283,0,0,0,0,0,-0.108580883828486,0.173682042922422,0,0,0,0,0
XRP,0,-0.406735739230534,0,0,0.207345903485322,0,0,0.038225828494416,-0.079497235059888,0.0990685723510978,-0.112458581465598,0,-0.312650350530484,0.245223057776246,1.05546742161348,0,-0.0762054807729999,0,0,0.067865007942138
BCH,0,0.204921147279145,0,0,0.0432920803351838,0.125654428616691,0.0208934637414511,0,0,0.018286801098951,0.23960738946402,0,0.139515542533463,5.42101086242752e-20,0.252638350098091,0,0,0,0,0
ADA,0,0,0.241677792073626,0,0,0.632309798249257,0.177643636924123,0,0.116035582858017,0,0,0,0,0,0,0,0,0,0,0.011676264979002
LTC,0,0.307593387326859,0.0921285721235124,0.295466622416743,0.280068850564853,0,-0.0560131013974199,-0.185820225161132,0,0.0555010668932366,0,0,0,0.0328596893132198,0,0,0,0,0,0.0564193749217966
NEO,0,0.271833174575197,0.0897434467717109,0.230953643817441,0.103288140504297,0,0,0.0339056635034531,0.0614083669858863,0,0,0,0,0,0.0647880521343163,0,0,0,0,0
XLM,0,0.0226644082145346,0.0383298442652392,0,0.447862841071479,0,0,0,0.0235956163290841,-0.0675392802183554,0,0,0,0.289209197601618,0.235899121246192,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0756391379234368,0.441135316515468,0,0.0507430693440964,-0.0293418351843191,0,0,0.0274519831466007,0.301267071807163,0,0.722152841028037,0,0,-0.0833418333261347
XEM,0.289433148407692,-0.741850060654729,0.0941866156112482,0,0.332809059031769,0.560635061911641,0.136623910733109,-0.135630736277137,0.369883540236,0,0,0,0,0,0,0,-1.13560326550097,0,0,0.0719061699639865
MIOTA,0,0,0.00139240565310348,0.569335037549782,0,0.253000025502832,0.0300534671393585,-0.20724834905095,0,0.118562650202328,0,0.120127550978311,0,0.209461444470263,0,0,0,0,0,0.00753176996974738
DASH,0,0.232832377233737,0.0605503701314944,0,0.237085342374862,0,-0.0319069616201855,0,0.141408909017182,-0.0234785550973173,0.259354485654682,0,0,0.0503480170768776,0,0,0,0,0,0.122512823698448
XMR,0,0,0,0.0869221903500395,0.128817008688833,0,0,0,0,0.0280203471213282,0.27522573401453,0,0,0,0.246828149403324,0,0,0,0,0
TRX,0,0,0.0797121582959212,0,0,0,-0.170064781812281,0.384055275932149,0.164664687913301,0.375788789141768,0,0.0925473376186553,0,0,8.67361737988404e-19,0,0,0,0,0.243293085471695
ETC,0,0.422435359264269,0.162550498621357,0.276776382654773,-0.329594271846447,0,0,0.137859378640224,0.0467363534492295,0.0448112495597467,0,0,0.378189980209864,0.0734980623201607,0,0,0,0,0,0.0180937191659612
BV010082.Index,0,0.0512818988223167,0.0217260171009628,0.0434022838014019,-0.111807146993322,-0.0260570809602465,-0.00865835812426428,-0.0898182765541159,0,0.0536650096640408,-0.0536980311307337,0.133016127406451,-0.0512290452560603,0.0487792358429831,0,0,0,0,0,-0.00685917695024314
CVIX.Index,0,0,0,0,0,0,0,0,0.0487907354865754,0.092966989692506,-0.0442830131747959,0,0,-0.0690110714540746,0,0,0,0,0,0.0879751361896794
DXY.Curncy,0.0912083062753575,0.0366964236422472,0.00101601176248499,-0.00541790189151992,-0.0356069164287366,0.0304464436140977,-0.0112238509335545,-0.0389806964103905,0.00108701469171616,-0.0174435413403369,0.0085324048829778,-0.0530189401454391,0,0.0170285538190142,0,-0.252797339396215,0,0,0,0.00988598109414385
SPX.Index,0,0,0.035375194830867,0,0.0444408669745799,-0.0100588972274756,0.00197014102340846,-0.00829094791350846,-0.0172274724127586,0.0174281482931309,0,-0.0199127358626151,0,0.0281318106114258,-0.0548714358026549,0,0.0866551249656206,0,0,-0.110909299330142
VIX.Index,-1.15900267546534,-0.392616700227658,0,-0.276830357013716,0.718235865300917,0.450339336103348,0,0,-0.0104144581129576,-0.00185315731543095,0,0,0.371976649424159,0.126234319278617,0,0,0.290525751592555,0,0,0
