,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,ETC,TRX,XMR,NEO,DASH,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.441636645326954,-0.435037525090112,0,0,0.0710684310943589,0.463506979857518,0,0,-0.221527195620394,-0.0434512890991042,0.241666010935381,0,0.283019624253596,0.0290019190394461,0,0.0728913978774238,2.5961989614861,0,0.150169610356916
ETH,0.262820021709397,0,0,0,0.0610914236122056,-0.0979176584085255,0.283154758854524,0,-0.0671035279919195,0.0975073741273984,-0.00346306789597569,-0.223197384415932,0.481684796326004,0,0.0965697764517793,0,0.28463656110568,0,0,-0.0976153883443429
XRP,0,6.93889390390723e-18,0,0.0941657482618833,0,-0.00949198340019998,0,0.100098836877242,0.206856239755353,-0.108919236433404,-0.159135113568701,0.147155745019492,0.58814535538537,-0.445918337238084,-0.0341831033640762,0,-0.23009207991122,0,-1.20989737957675,-0.193430400702563
BCH,0.0977356405937204,0.197844219472908,0.0587463185031514,0,0,-0.0601510995749885,0.348348290677103,0.20024532076522,0.0353668111936148,0,0.0834067817344298,0,0,0,-0.241112270021076,0,-0.74631014438598,0,0,0
EOS,0,0,0,0,0,0,0,0.104309036673613,0,0,0.454655507009868,0.10148766354418,0,0,0.25385658959857,0,0,0,0,-0.152955563409794
XLM,0.0782946618192339,0,0,0,0,0,0,0.329564640006259,0.0341479666495287,0,0,0.594671924910639,0,0,0,0,0,0,0,0
LTC,0.210574181593444,0.438232310224532,0,0.0850038868150111,0,-0.0177183895241969,0,0,0.16967950659585,0.0216855870044686,0,0.133394899102077,0,0,-0.116698905759655,0,0,0,0,0.0252705020548078
ADA,0,0,0,0,0,0.276956785031013,0,0,6.93889390390723e-18,0.260745711850269,0.445566592326114,0,0,0.0511479002417281,-0.0283702094311046,0,0,0,0,0
MIOTA,0,0,1.06582104986377,0,-0.522435760043976,0.403328840133522,0.0227702335099046,-0.623329636881992,0,0,0.364135099775774,0,0.300124043048623,0.511852778813066,0,0,0,0,0,0.273425134046071
ETC,0,0.674666852374953,0,0,0,0.0683523439200394,0,0.157598346111659,0,0,0,-0.105000668125239,0,0,0.139325406975388,0,0,0,0,0.00808920325994123
TRX,0,0,0,0,0.377427936561961,-1.73472347597681e-18,0,0.170740953723067,0,-0.034813252304994,0,0,0.356384826938177,0,-4.33680868994202e-19,0,0,0,0,0.0700894219952176
XMR,0.624070338400353,-0.425095872561453,0,0.870254765011056,0.359364385322405,0.0150226781267826,0,-0.207520347461505,-0.1113397830362,-0.156559705814319,-0.413469740785522,0,0.448178075474448,0,0.17700434752131,-0.319265249280636,0,0,0,-0.291174506690988
NEO,0,0.198151442871323,0.457341109192178,0,0,-0.044406748114412,-0.0312333351501152,-0.0568847474605628,0,5.42101086242752e-20,0.148437281319677,0.10893932278062,0,0.465427651212874,0.00544968889482712,0,-0.141758899815449,0,0,0.0565092355438217
DASH,0,0.14811849487303,0,0,0,-0.0876458081041679,0.164744469991421,0.187134382403866,0.0365112505879635,0.022735983548602,0,-6.93889390390723e-18,0.528094274176811,0,-0.113154060550504,0,0,0,0,0
BNB,-0.443496420240003,0,0,0,0.93782273135642,0.0311607734691462,0,0.342809330660094,0.222036225151238,-0.0389486231743006,-0.438499743828509,0,0,-0.615488910418767,0,0,-0.920171035973332,0,0,0.318487029739353
BV010082.Index,0,0,0,0.072022862997827,0,0.0585305828228576,0,0.0240431865418817,-0.0415989216676974,0,0.0183653419544973,0,0,0,0,0,0,0,0,-0.0264273539839796
CVIX.Index,0.179353602486888,0,0,-0.284771490064284,0,0,0,0.0709878142210152,-0.00564012455730654,0,0.0734754025630493,-0.0370594241111483,-0.15243035492738,0,-0.122741489515596,0,0,0,0,0.0593051841408136
DXY.Curncy,0.0220930295525196,-0.0651115250099522,0,0,0,0,0.00616302108576018,0.0402100644845733,-0.000487378903091171,0.0192698945625752,0,0.00882494527652162,0,-0.0256060130518199,0.0234882530539298,0,0.230906583358462,0,0,-0.0225004480757757
SPX.Index,-0.0519269059255204,0,0,0,0,0,0,0.0155282969497378,0,0.00953143250849383,0,-0.00473066388841321,0,0,-0.0262219654958471,0,0,0,0,-0.052941405088328
VIX.Index,1.5554277633044,0,0,0,-0.573902330816343,-0.183029520469689,0,0,-0.139189249881337,0,0.220441063017761,-0.7658205677422,0.360950269977658,-0.620189878575867,0.257972823671288,0,0,0,0,0
