,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,TRX,DASH,ETC,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.151588400779328,0,0.0906343667678072,0,0.102331281133268,0,0.0425543660793919,3.46944695195361e-18,0.0811409186946515,0.0510310384913761,-0.0241436291276524,-0.137872595310521,0,0.0266620457883222,0,0,0
ETH,0,0,-0.0815982708072839,0.199298969657469,0.227369787707734,-0.0883998976986626,0,0,0.0669537931344535,-0.138630295629067,0,-0.0221917765277847,0.375481160671252,0.172359199226561,0.0891875997363661,-0.35985765387689,0,0,0,0.0301493840615193
XRP,0,0,0,0,0.124313655528337,0,0.133665320089441,0.074078074262689,0,-0.114761352823138,0,0,0.544147411704079,0.248954326702948,0,0,0.0495210881145547,0,0,0.100339935673237
BCH,0.146136788938377,0.357430180234706,0.287015993833008,0,0.0296658508138323,-0.125347616175714,0.435699874508937,0.152382518400758,-0.0618894828462888,0,-0.0359535412176954,0.0246780683975689,-0.0610687554432485,0,0,0,0,0,0,-0.0410216694037435
EOS,0,0.606310377706218,0.332452155346349,5.55111512312578e-17,0,0.185628024255405,0,0.457850097737781,0,0.112949726510518,0.075134916249585,0.135393076223098,-0.327801812372285,0.0171324467625086,-0.474855439964973,0,0,0,0,-0.111225335516062
XLM,0,0,0.0828628398627788,0,0,0,0,0,0.092053648758867,0,0,0.201873782060833,0,0,0,0,0,0,0,0
LTC,0,0,-0.0960404631958476,0.414861486909409,0,0.40092732954301,0,0.213800768567869,0.0106308920091528,0.0205789961484697,0,-0.0209118072396561,0.0891241803735599,0,0.00786179240973659,0,-0.108486438370462,0,0,0.104677991841853
ADA,0,0,0,0.507292849790009,0.0422159446580399,0.246246178771162,0,0,3.46944695195361e-18,0.10955932012407,0,0.00342340177940175,0,0,0.370063603782814,0,0.0470113127237938,0,0,-0.0153479107966541
MIOTA,0,0,0.210180612751691,-0.656064018764551,-0.500433936432295,0,0,0.7894390255872,0,-0.182483676166342,0.907580169238729,0,0.133372648918831,0.328488947014379,0.0616023710357545,0,-0.31096663168746,0,0,0.141119504054292
XMR,0,0,0,0,0,-0.0393656524874052,0,0.168328974898159,0.139047933696136,0,0,0.305594109488276,0,0,0,0,0.308066157099719,0,0,0
TRX,0,0.634915748207226,-0.115567625544447,0,0.0387784741367334,0,-0.274170160960939,0,6.93889390390723e-18,0.0621036190153592,0,-0.173682564507556,0,0.553354489175246,0.244929689776186,0,0.385989863474878,0,0,-0.266303761973648
DASH,0.246874103387987,0.208639291343092,-0.291233688607837,0,0.336796817969301,0,0,0,0,0,0.389353104343331,0,0,0,0.266413690809389,0,0,0,0,0.0943126174537704
ETC,0,0.569065348766965,0,-0.218891538649898,0,0,0.518505349491458,0,0.283974351115731,-0.294273971641872,0.0569806741863222,0,0,-0.230616274193173,0,0,-0.0808167403107623,0,0,0
NEO,0,0,0.817795442225366,0,0,0,0,0,0.0947723557317893,0.155692406742741,0,0.26989998811025,-0.403837870602886,0,0.358491111352014,0,0,0,0,0.0293592662341647
BNB,-0.444429771867439,0.271787466648324,-0.115368565351498,0,-0.329478772630599,-0.139672102715635,0,1.03070108139373,0.0691150537924238,0.148139373078143,-0.100079684416147,0.0690222385591414,0.0610451044129039,0.178449739022152,0,0,0,0,0,0.0506477638421362
BV010082.Index,-0.113391797710216,0,0,0,0.152606756074879,-0.00559678065862706,-0.254976155365454,0,0.034878585117294,-0.107125980321122,0,0.0809160929664249,0.0880083169328068,-0.0700923898493461,0,0,-0.0262959734302351,0,0,-3.46944695195361e-18
CVIX.Index,0.827184008207751,-0.51591287427459,0.14116740666415,0,0,0,0,0.0220372543956512,-0.153936005271889,-0.157193716867665,0.232714351484103,0.03705974175218,0,-0.0454402304262197,0.213997472596818,0,0,1.76507213250285,0,0.255305355029325
DXY.Curncy,0,0.057710155091315,0,0,0.00835998440585116,0.0122999378672069,-0.0737065134052598,0,0.0236818849116521,0.0321498711626218,-0.068910661882781,-0.00973352585466235,0,0.0326117643833475,-0.0270065805036482,-0.0256747712441453,0.179327034491715,0,0,-0.0197827129807881
SPX.Index,-0.0680181458817596,0,0.0107353388341635,0.0245416932343084,0.0160800269452971,-0.00974204526347759,0,0,0.0130909044804976,0,0.047236118086957,0.0281229268759644,-0.0132604727291184,-0.0579774463040177,-0.0476106192194054,0,0,0,0,-0.041427029018629
VIX.Index,-0.884206569909171,0,-0.582625902124079,0,0.593645029635853,-0.95225635343451,1.32204171973383,-0.607670518011743,0.384298239904476,-0.329535161626582,-0.388365318913162,0,-0.551050705573463,0.287830542763625,-0.00039788561446486,0,2.0394413476429,0,0,0
