,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,BTG,XLM,EOS,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0255289160968948,-0.168455102433613,0,0.0266188523451464,0,0,0,0,0.236551942270224,0,0,0,0,0,0,0,0
ETH,0.0367310263120374,0,0,0.0484791065712371,0.33113902665802,-0.0429396191390648,-0.00153705600521889,0.300899830160459,-0.0445646732851268,0.187560820552296,0.0239427765266319,-0.129209616963334,0.100706547947063,0.088634659096368,0.16755931709351,0,0,0,0,0
BCH,0,0,0,0.279163117823463,0.0634887390006806,0,0,0.00591036962750069,0.0956202357005563,0.143037479835763,0.417963322724789,0,-0.145393374649994,0.136736251348664,-0.248403210287893,0,0,0,0,0
XRP,0,0,0.432663000594031,0,0,0.0728552663897664,0.0624422427396744,0,0.112030896649272,0.103210973554381,0,0,0.343544866595046,0,0.0230185039244933,0,0,0,0,0
LTC,0,0,0,-0.143356566416653,0,-0.0408611687208722,0,0,0,0,0,0,0,0.1209952135386,0.421551364827912,0,0,0,0,0
ADA,0,0,0,0.262812846648262,0,0,0,0,0,0,0,0.19750466002249,0,0.309009984023581,0.207252849535251,0,0,0,0,0
MIOTA,-0.432386225280556,0,0,0,-0.0646699889616171,-0.296406644680115,0,0,0.196891874061555,0.485810167227387,-0.582053614231706,0.662831530636171,-0.350091772245082,0,0.495186591330924,0,0,0,0,0
DASH,0,0,0,-0.0617342878601634,0.148622985090549,0.0432592156724918,-0.138837962157877,0,0.0362746847051826,0.299436974937324,0.244167218171018,0,-0.137617885774745,0.221876142143311,0,0,0,0,0,-0.117524736877695
XEM,0.278641697486602,0,0,0,-0.574675330185279,0,0.102817397303546,0.11704574544464,0,0.608494991042471,0.387845745286672,0,0.282525925277233,0.292519306920483,0.534516584840908,0,0,0,0,0
XMR,0.184576525686809,0.307575544407527,0,0.023090974029376,0,0.0421499510652885,0.0905983035614375,0,-0.0127910916956737,0,0,0.219302097703198,0,0.188173479474737,0,0,0,0,0,0
BTG,-0.027894284905775,0,0.636600098823056,0,1.38777878078145e-17,-0.0061912278896442,0,0.0942118100862069,0.00472373839582644,0,0,0,0.0875191632434439,0.0537939276911822,0,0,0,0,0,0
XLM,-0.185283314684233,0,0,-0.220528645017139,0.191246866341268,0.299739862942346,0.0535565612665191,0,0,0.690375319812754,0,0,0.172698686682525,0,0,0,0,0,0,0
EOS,-0.175529751576035,1.87330850336511,-0.177799562976455,0.155648568524897,-0.495805315521566,-0.0521596691566958,-0.028324555089124,0.118646205583915,0.154059123336685,-0.621428530898908,0,0.89864237268659,0,-0.418267608914292,-0.54995612908586,0,0,0,0,0
NEO,0,0.199811604741937,0.501418627963649,0,0,-0.0189527702360816,-0.0604988160932051,0,-0.0169471382495043,0,0.233025176209721,0,0,0,0.191349153638135,0,0,0,0,0
ETC,-0.110859055149619,0.407486045411996,0,0,0.141034952730596,0.312082196504967,0.113684261471501,-0.547126806581205,0.0889046473863886,0.0723116640220123,-0.0524506378869385,0,0,0,0,0,0,0,0,0
BV010082.Index,-0.0363008002906469,0,0,-0.0294499544121655,0.0152306099221911,0,0.0119089808842515,0,0.00183494072049177,0,0,0,0,0,0,0,0,0,0,0
CVIX.Index,0,-0.0198758070550525,0.026412087197867,0,0,0.0283410259828695,0.0209422628477194,0,0.0220764969179693,0.0612084993935541,0,0,-0.00264113383937568,-0.0071042514511549,-0.125471086111579,0,0,0,0,-0.0488298427118246
DXY.Curncy,0.00483693620569752,0.0127578987435895,-0.0115210127782266,-0.00333664681912496,0,0.00409777281010905,0.00508568014166098,0.00652670390479693,0.00298003276092126,0,-0.00555187342476028,9.5632102452118e-05,-0.00623135129985564,-0.00525797480784864,-0.0139279369981911,0.0333120080749203,0,0,0,-0.0226415553954602
SPX.Index,0,0,0,0.000140835206413233,0,0.00511586504311973,0.00221770835716462,0.016017291968314,0.000152378727858475,0,0,-0.0109788840986888,0.00293060241935876,0,0,0,0,0,0,-0.0329719803813608
VIX.Index,-0.219106226086772,0,-0.21860137901246,0.00452604818149197,-0.447572006410664,-0.420594948881221,-0.136821740263508,0.364185034570855,-0.0838764323970216,-0.0844485638449568,0.579763737515415,0.255683864672667,0.0225618686234631,-3.46944695195361e-18,0.68060409541969,-0.36158405800441,0,0,0,0
