,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0433823238834119,0.0373477601320679,0.128425092812953,0.150939874954907,0.0329157437437273,0.0762986391024309,0,0.217348286338488,-0.0340252586882775,0.105352106536537,0,-0.181777677907814,0,-0.767394055074585,-0.0139395483550939
ETH,0,0,0.144021739823894,-0.48874781674515,0.472566398363224,-0.180715324277728,0.129809937788063,0.307141522066582,1.03180673514843,-0.397181004102099,0,0,-0.966603492660182,0,0,0.324555700264578
XRP,0,-0.0929689256511274,0,0,0.114179084493548,-0.813962955159467,-0.227678868167005,-0.367124685130981,0,0.638706977640664,0.935808349582717,-0.795269896819086,0,0,0,0.00818488081913287
LTC,0,0,0,0,-0.157638937311994,0.493897348626031,0,0,0,0,0,0,0,0,0,0.0331035765207068
XMR,0.847281617859713,0.839490015978718,0,0,0,0.672666908974974,0,-0.00563247085621403,-1.28467099531492,0.0884818359547407,-0.43916612922614,0,0,0,0,-0.162289543675908
ETC,0.713579044552251,-0.0490194909647469,-0.00748406351210615,0.169650685264648,0.0800804966385616,0,0.0866583697036186,0.151377767268221,0.423583404375141,-0.032348679150591,0,-0.690073523403536,0,0,0,0.158402116976225
DASH,0,0,0,0,0.0898927172213916,0,0,-0.146240752406144,-0.247899207513237,0,0,0,0,0,0,0
XEM,0,0.111128049955686,0,0,0,-0.241954123632948,0,0,0,0,0.432016562673501,0.35299169863121,0.131042422328902,0,0,-0.202136397636829
DOGE,0,0.209606878483862,0,0,-0.276829178147898,0.53426128738927,-0.205428764282655,0,0,-0.0848972531355881,0.261405300726342,-0.13289148424845,0,0,0,-0.0189411876057717
XLM,-0.666702845217547,-0.0893643766537915,0.685597512279854,-0.658229952810996,0.0782605111879207,0.848592889159879,0.098486938174761,0.418988940018169,0,0,-0.247288044522287,1.35271618990703,0.355188373252463,0,0,-0.0249743729970175
DGB,0.921851756630997,0.087450909550228,0.219744473908262,0,-0.198936786442275,-0.169082680194718,-0.267748755012976,0.476806136436425,-0.259379250341935,-0.0521712698435727,0,-0.703091805551534,-0.567764088902192,0,0,0.0591283083693107
BV010082.Index,0,0.0981510005975716,-0.0561746785691496,0,-0.0200742740807808,-0.306548680393414,0.0550733889433012,0.0619194794091643,0,0.0189057944940196,0,0,-0.0256105186013701,1.3282669542241,0,0.0570485179148483
CVIX.Index,0,0,0.107290959662396,0,-0.0503607318169272,-0.101017467915311,0,0,0,0,0,0,0,0,0,0.115026458492258
DXY.Curncy,0,-0.0103621394564196,0.0463723840290909,0.016226851551664,0,1.73472347597681e-18,0,-0.0363799790630449,0,-0.0292399917737953,-0.0402958552246877,0.287143917356318,0,0,0,0
SPX.Index,0,0.0227834157223391,0.024605041265349,0,0,-0.0521049577534735,0.0137795544962744,0.0208620591747178,0.0638277065000058,-0.025076353772767,-0.0217119388453559,0,-0.0657830388269328,-0.0464140258305143,0,-0.0606775528343096
VIX.Index,0,-0.0158163844926654,-0.485558601684046,0,0,-0.325660504532599,-0.567229505939328,0.0667885311854934,0,0,1.12631009538383,0,2.73361920660931,0,-4.18727296976594,0
