,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,INNBCL,XTZ,LINK,LEO,XLM,XMR,ADA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0828223918259797,0.0818632206476026,0,0.113265673602539,0,0.141380946846095,0,-0.00584716366294444,0,0.0251789216631327,0,0.239494119845725,0,0,0.293720355055628,0,0,0.065654093549907,0
ETH,0.181304263128526,0,0.0446756871158552,0.239929568668313,0.0983374188413576,0,0,0.199942506951925,-0.000325895351584291,0,0,0,0.0912500287223576,0,0,0,0,0,1.73472347597681e-18,0.0369247997197389
XRP,0,0,0,0,0,0,0.345952291514559,0,-0.000699244709978331,0.110952736134546,0,0,0,0.119757076990692,0.395373725221656,0,-0.0706933289194084,0,0,0
BCH,0,0.162192334973868,0.454872595946116,0,0.157592421322437,0,-0.270982468903141,0,-0.00140724056249215,0.329157884673799,-0.0972516283558136,0,-0.138374129411013,0,0.381491430852056,0,-0.0327151004668638,0,0,0
BSV,0,0,0,0.201220928906331,0,0,0.223404969411825,0,-0.0171966310961463,0.253589021876235,0,0,0.23987562840741,0.00618698160204392,0,0,0.133564607080775,0,0,-0.0988416575931943
LTC,0.0120753691510589,-0.212933164039668,0,0.0221512436919265,0.130317363598136,0,-0.063842971644396,0.302531152314254,-0.000327694621746881,0,-0.0430487948721577,0,0.14274710142336,0,0.566577552127173,-0.162043386036954,0.0288717136385297,0,0,-0.00596485135655389
BNB,0.0791432581169063,-2.16840434497101e-19,0,0,0,0,0,0,-0.002140738890542,0.0054619670230271,0,0,0.445281272061341,0.0697076603369271,0.346973635368348,0,-0.0763360837593212,0,0,-0.042175884346375
EOS,0,0.275411555346365,0,0,0.230829904437483,0,-0.0521806831074849,0,-0.00545739153441517,0,-0.0499951874397674,0,0.297817597826148,0,0,-0.0218025153317259,0,0,-0.0544606802418347,-0.0301598823900231
INNBCL,-37.6571478244991,50.7421096691376,0,-6.24225314362754,0,4.44089209850063e-16,-10.1927631176219,-34.3172914736944,0,0,-5.31820128693218,-75.9241846583575,4.76504464001833,13.5201399264716,0,0,-2.7794429830853,0,2.86216804048833,-5.84893081085972
XTZ,0.147296714014934,0,-0.209346231174509,0.489493143259773,0.00844268574195683,0,0.312778208029943,0.26007246768771,0.00698748899003933,0,0.282757510743766,0,0,0,0,0,-0.0332605385954127,0,0,0.0552206375010684
LINK,0,0,0.0906099515101571,0,0,0,0.0863475529726246,0,-0.00459655698373378,0.527883394520919,0,0,0,0,0,0,-0.00904755679796763,0,0,0
LEO,0,0,0,0,0.119908249076054,0,0,0,-0.00467112539869726,-0.14015572811685,0.0125891117361643,0,0,0,0,-0.0529370342990408,0,0,0.0919042460647444,0.0212754683362219
XLM,0,0.412428983253441,0.205784549462007,0,0,0.104869403065732,0.102786274146058,0.231604871031319,0.00345044604742014,-1.73472347597681e-18,0,0,0,0.0428778961203236,0,-0.126914904912774,-0.0892710762124056,0,0.187545103642517,0
XMR,0.587098797345299,0.148899172111455,0,-0.214070813994192,0.168557794557372,-0.0289787886900616,0,0,-0.00161923116287031,-0.0426576291728907,-0.102281256994659,-0.499402821108541,0.0534392948196492,0,0.418530149060114,-0.772242655919558,-0.0967805252064632,0.612886647822481,0,-0.0811070449640523
ADA,0,0,0,0,0.0674068269998086,0.038756043780716,0.105190045089772,0,-0.00281672931731219,0.280736501544843,0,0,0,0.23947867315078,0,0,0.0126554940492288,0,0,0
BV010082.Index,0.489974830165104,0.252943873215078,-0.414327596949028,0,-0.0718964508081741,0,0,0,0,0,0.195236723298092,0,0,-0.425005839501251,0,0,0,0,0.0891003330738021,-0.0315303585261315
CVIX.Index,0,0,-0.998072511935708,0,-0.498786401296109,1.99668498942831,0,0,0.0398838244978722,0,0,0,0,0,0,0,0,0,-1.16515778477725,-0.707060876191151
DXY.Curncy,0,0,-0.197519314194024,0.0383319428451609,-0.0459618901664005,0,0.113696894699588,0,0.000869544865391832,0.0670927305333879,0,0,0.0206912074150467,0,0,0.01139555127564,-0.00626224380870121,0,-0.0063882316208113,-0.0460473884368574
SPX.Index,0,0,0,-0.453339531819776,0,0,0,0,0.00410234131995834,0,0.136666273021541,0,0.300755063999591,0,0,0,-0.151894774474439,0,0,-0.178768670195895
VIX.Index,-0.354301087186921,4.33680868994202e-19,0,0,0,0.469285219360914,0.202466206638447,-0.226594895887049,0.0192128858682729,1.01628935588722,-0.853159165914154,0,0.356416200099376,-1.42941099477917,0.746947146709548,0,-0.352148887699675,-4.8979216147304,-0.409804256507416,0
