,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.105502889451478,0.160449286444069,0.360475377758227,-0.174147592193322,0.0782016121016196,0,-8.67361737988404e-19,-0.0745863732507036,0.163079443733483,0.0291174221371568,0.350107452883005,-0.590323498656005,-1.15877698352434,0,0.0534980025472978
ETH,0.471948678308573,0,0.288432212492604,0,0,0.00103277134902497,0.283694823881642,0.308367274920842,0.204692579111644,-0.00215573841280348,0,-0.489577113820705,0.714503928372462,1.68103986529039,0,-0.154065073236922
XRP,0.159318261681616,0,0,-0.74336543704218,0.00542193485969918,-0.0772645755540548,0.116174889761453,0.197727006274166,0.0212581952840564,0.12734855096172,-0.0291748276036377,0,0,0,0,0.0701735739008552
LTC,0,0.295965122879264,-0.179412501803676,0,-0.0298841109906421,0.00446930823462097,-0.0342778735951604,0,0.0123757147346553,0,-0.0305999617319701,0.0800194872635946,-0.419697924348251,0,0,-0.00992166425177393
ETC,-1.89470978236445,-0.185719747275754,0,0,0,0.537524740975924,-0.222269213741631,0,-0.94815375957889,0,0.178119075420869,0.932586564620729,0,0,0,-0.972068205629187
DASH,0,0,0,0,0.0653981942997361,0,0.595182395755283,-0.676718855722347,0,0.397598750464513,-0.014480780849485,0,0,0,0,0
XEM,0,0.466610326399784,0.150368734366118,0,0,0.448236548270731,0,-0.0283971485497636,-0.0873642467781664,0,0.164057345452025,-0.551591540317495,0,0,0,-0.39742677717201
XMR,0.365479401473667,0.244250671629116,-0.203008060159129,0,-0.0419448987720728,0,-0.0909235235427758,0,0,0,0.316060983152408,0,0,0,0,-0.277430926450942
DOGE,0,-0.595334723240845,0.717118295031826,0,-0.159802817951689,0.590523283170109,0,0.245428118659532,0,0.305021231044746,-0.00844181996150288,0,0,0,0,0
XLM,0,0.189879093677409,0.233439455742591,0,0.123062098554934,0,-0.0274766286692686,0.290460253916516,0.0715686718785401,0,0.0102700204091012,0,0,0,0,0.200532965240781
DGB,0,0.303875198595946,0,0,0,0.613537621478545,0.168428058962134,0.450488755263746,-0.728904984094277,0.577952299338518,0,0,0,0,0,1.26325316959349
BV010082.Index,-0.124583139997998,0.0801878253117968,0,0,0.0209418243954371,-0.0464171939788693,-0.0310375718832354,0.004367355010287,0.0195499278350623,-0.133554715194113,0,0,0.185610313890436,1.21074081245534,0,0.0667921058217544
CVIX.Index,0,0.104681557442443,-0.0623265490162589,-0.152496289800495,-0.0148152911427768,0,0,0,-0.00109252692579635,0.00679205303584216,0,0.177790546259525,0,0,0,0.281572100583672
DXY.Curncy,0,-0.00772278171613716,0,0,0.00667482280176005,0.0364500338665558,-0.00884413603764775,0,0,0.0495425202061429,-0.0268333949303003,0.146925581576292,0,0,0,0.00498925204643213
SPX.Index,0,-0.00226173834055148,-0.015527740058247,0,-0.00238644479540437,0.00408526958300252,0,-0.00598525147334821,5.41033930515148e-05,0.00468095284562817,-0.00256992297557965,0.0646518786367885,0,0.0460904230291224,0,-0.0684811548543519
VIX.Index,0,0.165038265023016,0,0,0.0530877176070763,-0.0185362287306263,-0.335614998624803,0.0563422224179873,-0.0973505477580204,0.0529909607352853,0.00313449690389547,0.417751580837981,0.77301622086673,0,-7.93109903220492,0
