,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,BSV,DASH,MIOTA,ATOM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0975567482120413,0,0,0,0,0,-0.170787808217508,0.276151992610364,0.179574271193654,0,0.0551072155806513,0.0258089593694049,0.304072590718109,0,0,0,0.0305411334796919
ETH,0.241289842791037,0,0.257908113031651,0,0,0.0439425832552451,0.123091149253233,0,0.233301358019838,0,0.171929472663154,-0.120786080930808,0,0.0796463278312367,0,0,-0.301664913097737,0,0,0.0320784666188231
XRP,0,0.155734765099612,0,0,-0.20073935422903,0.598078221240387,0,0.0953629217585171,0,0,0,0,0,0.0665938649053729,-0.0267487129125386,0,0.0358935224697715,0,0,0.0184992533862345
BCH,0.22566307528025,-0.657581319418953,0.293025928393157,0,0.706567918478013,1.38777878078145e-17,-0.192781016039221,0.27415940345651,0.475617419729039,0,0.362198557396506,-0.229762298418478,0,-0.282184403101789,0.0424504647497858,0,-0.370777502230728,0,0,0.0935724898700842
LTC,0,-0.377559515910225,0,0.324037506495307,0,1.40680127982182,0.185569631562339,-1.02393987607398,0.00298220688357981,0,0.194553575200597,0,0.57066956965679,-0.321162190122876,-0.120443930133495,0,0.0132158599151907,0,0,-0.0463159021471166
EOS,0.21172351144459,0.195520019881806,0.306359941330665,0,0.212023620552417,0,0,0.41773878816589,0,0.13660278664013,-0.138694871503015,0.0854588604946036,-0.16027378486542,-0.0515589236545836,0.0548052087458725,0,0.0112122812103002,0,0,0
BNB,-0.266446921424317,0,0,0,0,0,0,0,0.383090935445704,0,0,0,0,0.258535831133661,0.231874887359476,0,0,0,0,-0.0400132341199671
XLM,0,0,0.429925154070139,0.112298478849338,-0.42775299618225,0.851450497601746,0.122709111554423,0,0,-0.206184315270911,0.110055535269579,-0.155171441260837,0.285598279136515,0.107550312847724,-0.0767853448592902,-0.343651752055118,0,0,0,-0.00671059657477801
ADA,0,0,0,0.0460225614881108,0.188931328011822,0,0.136948513614591,0.144589433910226,0,0.738969368582275,-0.0362836789553685,3.46944695195361e-18,0.406180010002019,-0.211414302512696,-0.166237839240752,0,-0.252931313678162,0,0,-0.0269629552296315
TRX,0,0,0,0,0.200508717274462,0,0.000759979467831157,0,0.402541846810631,0,0,0.234330298988831,0,0.19125757187448,0.068870152925721,0,0.312637941818445,0,0,0.0454052306333057
XMR,0.369305321492231,0.44988533105385,0,0,0.332576207225906,-0.452865140809391,8.67361737988404e-19,0,-0.335048458474693,-0.0614479910240932,0,0.226151476654695,1.04277020754497,0,-0.028354762342623,-0.277726545624793,0,0,0,0
BSV,0,0.00710675559347236,0,0.0523324784139804,0,0.276029813794421,0.0908921338887026,0,0.0666973612356141,0.0928379163785332,0.10809896903646,0,0,0.0890658497026156,0,0,0,0,0,0
DASH,-0.215322939326827,0,-0.305342398151235,-0.0188294853545045,0,0,-0.0945009091022781,0.0670167608168274,0.445984828483118,0,0.26581913391903,0.129172573812473,0,0.146184301578879,0.0933299264963599,0.58773187885001,0,0,0,-0.0361057719917796
MIOTA,0,-0.621082068212577,0.559813974288202,-0.320468770898702,-0.113249429027091,0,0.202809763530234,0.275736064350631,0,0.111364163524912,0.294545606442835,0.369035531493585,0,0,-0.0290855652875633,0,-0.499110885680743,0,0,-0.0643013144981485
ATOM,0,0,0,0,0.424507718009648,1.08229038832383,0.825161085996794,0,-2.67821035022026,0.877324556915592,0,0,2.43871327159446,-0.890491386990125,0,0,0,0,0,-0.0283052214446506
BV010082.Index,0.293091429378201,0,0.732397221497993,0,-0.103743022208396,0,0.141136987076946,-0.479535919749111,0,0.061244168011654,-0.110371713336667,-0.290050490279137,0.229548814672217,0,-0.0489336284589631,0,0.022027049110628,0,-0.909444054498381,-0.0622104098203954
CVIX.Index,0,0,0,0,0,0,-0.0032797575519891,0,-0.501396334620738,0,0,0,0,-0.35099142689086,0.0202211458327577,0,0,0,0,0.183943108532594
DXY.Curncy,0,0,0,-0.0223438866859186,0.0255398944249309,0,0.0207725034009403,0,0.00477845531999516,0,-0.0484523722077947,0,0,0,-0.00258448706778336,0,0.00220167267526993,0,0,0.00675641466442739
SPX.Index,-0.0353873060112019,0,0,-0.00302901954161329,-0.00606252250545937,0,0,0,0,0,0,-0.00760165798177591,0,0,0,0,0.0114903556832794,0,0,-0.0624898679879856
VIX.Index,0,0,0,-0.142454736578072,0,0,-0.0849274934480929,0,0.186719612668161,0.498665735806568,-0.714780547729236,0,0,-0.0336455152831226,0,0,0,0,-7.69570222095835,0
