,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,XMR,MIOTA,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.360337597508617,-0.0663227260433317,0.0353591388026453,-0.0734451343422223,0,0,0.104986393005381,0,0.212946300121335,1.73472347597681e-18,0,0.195011038631342,0,-0.16906682031381,0,0,0.0487919347447742
ETH,0,0,0.327866429070196,0.0364489511650636,0.510264526503795,0.0907241045504585,0,0.043559275732783,-0.818985755248312,0.22529346045811,0.12404781756278,0.285037457588218,0,0.150051831901435,0.0430631070990945,0,0.17208880618829,0,0,0.0106739707273971
XRP,0.218405598903457,0.117269817866823,0,0.15244441535403,0,0,0,0.0176289895082022,0.404589607656095,0,0,0,-0.121961852256459,-0.000124947048245265,0,0,-0.43066794275,0,0,-0.189256061200584
BCH,0.68046013201098,0.25401482877944,0,0,0,0.36456820959354,-0.415053323795942,0.653165095408615,-1.09380404866213,0,0.518702321249604,-0.254595233554501,0.0599833790171497,0,0.314915966496016,0,-0.514638319741667,0,0,0.0933455331197202
LTC,0,0.677820449527835,0,0.215373853507106,0,0.0336756896816821,-0.254084645415771,-0.0308344879060942,0.275329276845806,-0.262303049378064,0,0.440236146996882,-0.0807121048826858,0,0.178739610858646,0,0.0178991724237743,0,0,0
EOS,0,0,0,0,0.0968698362310786,0,0.496445667884592,-0.385499329503139,0.303791468179802,-1.73472347597681e-18,0,-0.00438240883039157,-0.0280474413908168,-0.131105079024146,0.367142664279113,0,-1.03286391572014,0,0,-0.125025779353387
ADA,0,0,0,-0.509314343797789,0.173528902164794,0.473747675070604,0,1.0718436326065,0,-0.671513789815351,2.77555756156289e-17,0.167223541497288,5.42101086242752e-20,0.10642524653688,0.0950667443825139,0,0,0,0,0
XLM,0,0,0.477780448737227,0,0,0,0.0346474518843945,0,0.239658499583005,0,0,0,0.124719499723742,0.149818942913957,0,0,0,0,0,0.00777363618469667
NEO,0,-0.339474435447654,0,-0.134483597163139,0.21788903581572,0.13864320613676,0.0923227867872064,0.179935092232456,0,0.254664319699353,0.247174435155218,0,-0.0187855950796736,0.0707339650130966,0.205088277830615,0,0,0,0,0.107352800890541
XMR,0,0,0,0.0626221439452331,0.3328095258919,-0.0202981186620342,-0.122739237597753,0.0861153256316053,0.305866027807506,0,0,0.42693441693031,0,-0.0487498572344992,0,0,0,0,0,-0.0595571386026303
MIOTA,0,0,0,0.537183075581717,0,-0.0143344444983605,0,0,0.240291644755534,0,0,0,0.216026590499364,0,0.0891480782207733,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.420218340176116,0,0,0.13652845854947,0,0.0743202924176795,0.0300125547025029,0,0,0,0,0,0.13740156713171
TRX,0,-0.805821658640083,0,0.221264914520181,1.29460397740665,0,0.821134045218284,-1.55859947536276,0.078824502708376,0,1.08467973504255,0,0,0.158367815605225,0.112973162207356,0,0,0,0,0.403086888505684
XEM,0,0.330936789477667,-0.258818246223083,-0.308539628337141,-0.250806240460235,-0.373390806954635,0.360833885641567,0.332424000496965,0,-0.104383982060572,0.0510889273429193,0,0.135108012629846,0,0.808493247916059,0,-3.34301773625333,0,0,0.07439930928101
ETC,0,0,0,0,0,0.165056491279596,0.0903325851944639,0.129247883951936,0.309647712382609,0,0.236946384844513,0,0,0.0195792518888615,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0.106503241668016,0,0,0,0,0.0402889832189175,-0.0261025337071007,-0.218155332911823,0,0,0,0,0,-0.020827711356283
CVIX.Index,0,0.0281127708147029,0,-0.124302443464178,0,-0.100300372957461,0.0904742872466654,0.0386823157212266,0,0,0,0,0.0551386425912714,-0.277830276743752,0.225750405136081,0,0,0,0,0.0174631392400863
DXY.Curncy,0,0.00992503757349505,0.0287781592002752,-0.0266937131687845,0,0.00269845151331139,0,-0.0345594631857734,0,-0.0534881183084752,0.0259023375901554,0.11859284770098,-0.0259696301161605,-0.0136804806659205,0,0.0413309294458676,0,0,0,-0.00904875889635155
SPX.Index,0.0420636799854086,-0.073355283093146,-0.0270995941024338,0,0.108349066155322,0.0142638752933357,0,0,0,-0.0534611304175844,0.0440421201760908,0,-0.0446800544305352,0.0236632760022562,0,0,0,0,0,-0.0823097144572111
VIX.Index,0.0335739849621527,-0.482225106502892,-0.853769264667572,0,0,0,0,0.491663929757105,0,0,-0.0432038730968952,0.722476594444331,0,0.197011306218427,0,0,0,0,-3.81093441050049,0
