,BTC,ETH,XRP,LTC,DASH,ETC,XMR,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.115746592175915,-0.0269811100222003,0.0426258253171343,-0.252598411853995,0.103143337512915,0.103725272349345,-0.035465612690631,-0.0817833138223514,1.73472347597681e-18,0,0.00392584008485024,-0.147391736633745,0,0.243448569891684,0,0,0.0596533950805717
ETH,-0.600459883867097,0,-0.133389848133133,0.115026043805073,-0.135989953722797,0.29255106786046,0.772140645521542,-0.0507951620712365,-0.430812528161608,-0.247977873094902,0.490606943691154,-0.105710714521657,0,0.909411615299354,-0.256152643800228,0,0,0.402132394815478
XRP,0,0.352529914404607,0,0,-0.71333718467052,0,0,-0.0317263651057108,0,0,1.2204751068861,-0.465216397751805,0,0,0,0,0,0
LTC,0,0,0.0357163427661594,0,0.0567123141791372,0,0,0,0,0.416518383679388,0.00104114016868746,0.172148109749852,0,0,0,0,0,0
DASH,-2.46927145683011,0,-0.0789651083982384,0.158290143958086,0,0.159330188097776,-0.077297724993468,0.0361952974078417,-0.219460322672296,0.0860629048358607,-0.195504992789212,0,-0.388250467265403,0,0.817662743411325,0,0,0.196171280977296
ETC,0,0,0,0.066561122971818,0.253212849449713,0,0,-0.127889776747764,0,-0.0566847916308284,-0.0089191238930732,-0.0525684474813749,0.202130263227219,0,0,0,0,0
XMR,1.0648043971823,0.487018941791926,0.0200758510434957,-0.0821248016319634,0,-0.0723788688332383,0,0.193908648833239,0.204986516493098,-0.0659215822451303,0,0.0755868365071709,0,0,0,0,0,0
XEM,0,0,-0.0192157573280908,0,0,0,0,0,1.09743462636534,0,0,0.278674137387718,0,0,0,0,0,0
ZEC,0,0,3.46944695195361e-18,-0.0103840095222285,0,0,0.325214005386475,0.176312983997408,0,0.0258177054294931,0.0826645117069232,-0.0359956814718344,0,0,0,0,0,0
DOGE,0,0,0,0.590314889271229,-0.611174751244627,0,0.387869947174274,0.200539173506489,0,0,0.421540214105064,0.110963903233596,0,0,0,0,0,0.337430268054263
XLM,0,0.0356032027434403,0.405155732351692,0.317144392819905,0,0,-0.27648187902631,0.0656217862310937,0.478493534044115,0.10686545184729,0,8.67361737988404e-19,0.289755190721226,0,0,0,0,0
DGB,0,0,-0.177136030728428,-0.25190308470939,0,0.0849987053384125,0,-0.075790164261323,-0.273592561426745,0.546258063764898,-6.93889390390723e-18,0,0.669283064523426,0,0,0,0,-1.27928841726404
NEO,0,-0.149627612729603,-0.155957716717497,0.0700620991669693,-0.237269855653989,-0.275656737601597,-0.138672819876358,0,0,2.77555756156289e-17,0.228256640978698,-0.169694147648248,0,0.0101468264715964,1.46093287396582,0,0,0.037422651097915
BV010082.Index,0,0,0,0.0102262077229994,0,-0.185083730062131,0,-0.0128457636561158,0,-0.0139222648891685,0,0.013858255833251,0,0,0,0,0,-0.11055875184415
CVIX.Index,0,0,0,-0.050735772015595,0.141795464800311,0,0,-0.0274070631928755,0.0949479662401302,0,0.0172422469825903,0.0383435474967398,0.0821560325936102,0,0,0,0,0
DXY.Curncy,0,0.0175880693639359,0.00548808688366467,0,0,-0.0302499513420859,0.0189534843114485,-0.00954968757285807,0,0.00377856539110175,-0.0158751142638139,-0.00438866843907794,-0.00467410797572988,0.11114536534535,0,0,0,-0.00902286515993573
SPX.Index,0,0.0131769243471926,0.00286279634831255,0.00167870451545235,0,0,0,0,-0.0273904273376762,0,0,0.0111186533628531,0,0,0,0,0,0
VIX.Index,1.46599662342763,0.154006754418766,-1.73472347597681e-18,-0.25084521445762,0.470306911458114,-0.326883932515651,-0.178918639343772,0,0.0833412335903166,0.427490416540539,-0.203108109471982,-0.254171068663111,0.523953755986152,0,0.538194067113957,0,0,0
