,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.426589591474591,0.255435932631216,0,0.202351985778144,0,0.0335083549086164,0.0439601919200774,0.114917359130423,0,0,0,0,-0.166077186009119
XRP,0,0,0.154431303661564,0.0814772378023782,0,0.284524410591578,0.0655360282766585,0.0185907365734512,0.140756312381178,0.0589975064449881,0,-1.20423323883385,0,0,-0.0494149460326912
LTC,0.190360364990623,0.193240715271051,0,0.269779054280858,1.22118565455842,-0.418764472491701,0.401652885068257,0,-0.158941987824774,0.0390858926779573,0.21326216108961,0.955658355723908,-3.7023903726878,0,0.05034118813112
ETH,0.337121887997282,1.5191891410216,0,0,-0.753938996236959,0,0.00847226457477311,0,0.357712957776224,0,0,0,0,0,0.41113449948759
DOGE,0.120375502533503,0.0495054455863298,0.465817330825232,-0.219756538484273,0,0.239807656292904,-0.234843395550059,-0.120941595424662,0.173752333164896,-0.0719690439215771,0,0,1.14488777778859,-2.06018718923871,-0.286358067791952
DASH,1.18289062219909,1.01284134708046,-1.22594919777147,-0.0189646928847009,0.391884582854276,0,-0.477187426989956,-0.213139023048401,-0.159196064764487,0.0924696367613158,0,0.767469077362174,0,0,-0.0473641416101557
XLM,0.786999666891422,0,0.174936963980601,-0.198556480721773,-0.834439677001998,6.93889390390723e-18,0,-0.27678433461497,0,-0.0975643691767267,-1.45352843290728,-0.0716021748791934,0,0,-0.230517208039759
XMR,0.179849243375354,1.99056983887449,-0.470729954908313,-0.105277266840324,-0.060244777046744,-0.355547300270482,0,0,-0.184698016651405,-0.137879406242846,0,0.681495204881208,0,0,0
DGB,0,0.0106299534469691,-0.502687650681895,-0.200217783860479,1.84101207711368,0.0062106782809532,0.799303056267196,0.70541452301682,0,0.285288552229811,0,-1.21570321254417,-4.10789376621548,0,0.198959167324759
XEM,-2.77555756156289e-17,0,1.28465961528043,-0.799540411460859,0,1.70451250171647,-0.943074309221852,-0.0390390514531671,-0.456607777696808,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0123566103579898,0,0.0603418070380288,0,0.0457523794633499,0,0,0,0,0,0,-0.0248979946541197
CVIX.Index,-0.131741173670803,-0.378408795001106,0.180501596909601,0,0,0.111601150161509,0.0368875350322551,0.169541723665196,0.0812484466455026,0.00283164240749816,0,0,0,0,0.025948918243493
DXY.Curncy,0,-0.0100540986279053,0,0,0,4.33680868994202e-19,0,0,0,-0.00386014864334543,0,0.0853854035306133,0,0,-0.0242683456774412
SPX.Index,0,-0.0699162547771013,0.0542127677572251,-0.00659916322324546,-0.100608305090556,0.0392980236578674,0,-0.00241929152975336,0.0280974847455176,-0.00556008087280305,0,0,0,0,-0.0886313876759744
VIX.Index,0.0417910247698861,-1.20301017330223,0.809141926025656,-0.0688566385309146,-1.2883985559853,0.520227667289036,-0.278406889235094,0,0.433932073458639,0.0530735176337491,0,-0.691393354935269,0,-5.90793552505987,0
