,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0637666384467776,-0.239806883327582,0.240359248734176,-0.127062160880406,-0.00497673337343543,0,0.137576661930944,0.377800623054463,0.0969344664222251,0.200441863147818,0.138703751649739,0.0199684584209148,0,0.0415194200043702,0,0,0,0,0
ETH,0,0,0,1.73472347597681e-18,0,0.199974416425334,0.0723965960091578,0.0272900535079516,0.00900688088170748,0.0638094679955652,0.182661782515937,0.0773408161600676,0.0447476965849724,0,0.165375301148512,0,0,0,0,0
XRP,-0.179242606966321,0,0,0.0799933575216592,0,0.0507125740988495,0.109088696301022,0.423635391079152,-0.0631259491167581,-0.078675111507473,0,0,-0.106495910303061,0.273668655581237,0.22209352822437,0,0,0,0,0.048301095755314
BCH,6.93889390390723e-18,0,-0.039066976489363,0,0,-0.064623332964256,0.135352067841815,0.0220188897708342,0.0826558582843159,0,0,0.911186966633642,-0.147160369325035,0,0.00945813668048603,0.146416530922406,0,0,0,0.129938386929487
LTC,0,0,0,0,0,0,-0.128285084978199,-0.218097491532488,0,0.0912227394241228,0.371831104825628,0.693275742735051,0.055111024571281,-0.253384402281813,0.09416873051133,0,0,0,0,-1.73472347597681e-18
ADA,0,1.20043338788586,0,0,0,0,-0.325315802049178,0,0.496288078841493,0.111250984235572,-0.0193686184205153,0.494027404234958,0.0199743376948363,-0.446349593313016,-0.262281059405286,0,-0.485236915032054,0,0,-0.0110876449964225
NEO,0,0.641489608346266,-0.131763007714442,0,0,1.38777878078145e-17,0,0,-0.0413228418893207,0,0.200788046948934,0,-0.0159421006637877,0,0.253212300543602,0,-0.526174452948029,0,0,-0.150370774773152
XLM,0,0,0.423024519827356,0.0358145798872913,0,0,0.226557983778927,0,0,0.025152700714298,0.0562985126462289,0,0.177247642149026,0,0,0,0,0,0,-0.104697661838004
EOS,0.460185991414323,0,0,0.000913508797005615,0,0,0.0131416371346867,0,0,0.286808093293389,0,0.151891238120587,0.148774805957153,0,0.173902445200407,0,0,0,0,-0.11806217374822
MIOTA,0,0,0,0,0,0,0.110526181544095,0,0.329904791072733,0,0.289683505591079,0.0394520374837332,0.0741734444607649,0.0901914685098894,0.167611774276042,0,0,0,0,0
XMR,0.331808278461786,0,0.156127890128454,-0.250037531757959,0.376088265405808,0.0877494329203192,0,0.663958209056795,0,-0.0659982546535632,0,0,-0.49993489917938,0.677583015902015,-0.249712099903559,-0.0680649866438615,-0.8573257625777,0,0,0.048881689357996
DASH,0,0.162708434417848,0.0769408579040119,0.237797445602176,0,0.185218724386089,0,0.169566950148777,0,-0.00305063843021611,0.0163064077601521,0,0,0.191218674014827,0.112735978432116,0,0.245725621917591,0,0,0
XEM,0,0,-0.23503354771737,-0.639110017022158,0.537479348233413,0.025263846784392,0.0591737632289812,1.40561198511222,0.0645246473208489,-0.188834218910422,-1.39608536071886,0.316301930765882,0,1.20577483905011,0.0149808624812794,-0.672563410353038,-0.984802113575265,0,0,0.182914640692286
TRX,0,0,0,0.383323626254507,0,-0.074114166154802,0.140043345482373,-0.442954134500237,0,0.219941289064974,0.19386573998697,0.332214340226026,0.150753089808426,0,0,-0.455800114007511,0,0,0,0.0109809499987813
ETC,0,0,0.778783683558299,0.144809497677635,0,0,0.164091281855008,0,0,0,-0.400548534949836,0,0.0301683766559523,0.187496520201384,0,0,0,0,0,-0.0388669241242616
BV010082.Index,0,0,-0.015448978052856,0.116914777173217,-0.0676135126255057,0,0.000956479495919063,0,0,0.0303442953384546,-0.00821841561104245,0,-0.00143717297402339,-0.121242192195343,0,0,0,0,0,-0.0529541512455929
CVIX.Index,0,0.383650328727927,-0.177593133259487,-0.459221863270814,0,0,-0.291825021251188,0.114510980122331,-0.146384135858067,0,0,0.579344450130951,-0.217596095249374,0,0.130813609023212,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,0,0,-0.0177873167505123,0,0.0221942777952319,-0.00990050689027945,0.000979026246413151,-1.0842021724855e-19,0,0.0168913796354902,0,0.00935303024267361,0,0,0
SPX.Index,0,0,0,0,0,0,0.0234283997735105,0,0,0.0331828222845797,-0.00895942693864517,0,0.00541882562048174,-0.0370291660455869,0,0,-0.0571862872437863,0,0,-0.0501521249700773
VIX.Index,0,0,0,0.643884914165699,-0.845748857229109,0,0,-0.750131197943464,0.169147554891939,-0.390472510521403,0.776892138899425,-0.604061369117601,0.438442125445153,0.16200428991323,0,0,-0.23374180334436,0,-4.4899950492398,0
