,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0441337198934524,-0.0392928038166646,0.824356637929667,-0.00968860424457397,-0.253251504779494,0.0569500000424458,0.119354069055331,0,0.0462715374426508,-0.0148323435847567,0,0,0,-0.121227646694014,0,0,0.0337651400249671
ETH,0.376282035611964,0,-0.0747158411382038,0,0.0680389867738635,0.462564540206413,0,0.0947579727864431,0,0.351314134368261,0.015156798296692,0,-0.0996594123079158,0,0,0,0,0.254817762205155
XRP,0.243049734104679,0.0779654260237667,0,0,-0.0683800377037374,0,0,-0.0760366453423676,0,0.37709317559491,-0.14420359808287,-0.0473076151800874,-0.371032543618007,0,0,0,0,0
LTC,0.739800001111609,0,0,0,0,-0.0191740534618434,0.117996634302209,0,0,-0.072377994171543,-0.00139421772341928,0.00161669117645651,0.0153751104665318,0,0,0,0,-0.0326642073674582
ETC,0,-0.474274640559731,0.267446470717292,0,0,0.10266105845364,8.67361737988404e-19,0.586985377167127,0,0.0943698220931332,0,0.0129147678473577,0.697098445644332,0,0,0,0,0.100876881294352
XMR,-1.03776890658188,0.399171349350224,0.373571461734692,0,0.0203326631050306,0,0,0,0,-0.172600083350826,-0.0124956142001272,-0.0572034751970068,-0.0764594189098671,-0.555597364620256,0,0,0,-0.328087382443519
DASH,0,0,0,0,0.0217909210653269,0.32231822983235,0,0.0492696786607297,0,-0.305360105603494,-0.0677898577492884,-0.115444113435534,0.0641732138640172,0,0,0,0,0
XEM,0,0,0.473164897713262,-0.0103176552959185,0.171690527498753,0.163267057380407,0,0,0,0,0.0694652998831493,-0.0167563276406437,0.0344697937904499,0,0,0,0,0
DOGE,0,0,0.0175312212363671,0,0,-0.0925804255199663,0,0.0331776855170041,0,0,0,-0.0108054773044376,-0.0274490387153006,0,0,0,0,0
XLM,0.873730651541207,0.574654898617078,0,-1.78615825934857,0.14785998727008,-0.103692137416256,0,0,0,0,0.0307582547428904,-0.00706957131282235,0.0424517318333372,-1.90335303279173,0.608080021466479,0,1.84302019072874,-0.20375497686738
NEO,0,5.12584933721641,-1.15500950643676,0,0,-1.35092864853238,0,0,0,0,0,0.244410156570902,-0.270841733017885,0,0,0,0,1.61918611172346
ZEC,0,0,0,0,0,0,-7.45851663521514,0,0,0,-0.556136662092691,0,-0.637487164473179,0,0,0,0,-1.51711545467389
DGB,0,-1.29241187429396,-0.266964805241208,0,-0.183700029045891,0.320168075989192,0.150177571104057,0.274532067525519,0,0.574360413663276,-0.0084871803228838,-0.0920802206222724,0,0,0,0,0,0
BV010082.Index,0,0,-0.0821177181782375,0,0.0525121075412196,0.0982618734871743,0.0989133922065309,0,0,-0.0693511948184877,0.0203925112743183,0.0134434460654223,0.0529005922248326,0,0.131219509029218,0,0,-0.123673025595723
CVIX.Index,0,0,-0.268313108959319,0,0,0,0,0,0,0.152867011548427,0,-0.0160703871201683,-0.116019500185378,0,0,0,0,-0.0592319901509636
DXY.Curncy,0,0.0386489225677665,-0.00909170101910073,0,0.000910156199837378,-0.01292731192209,0,0.0143704374938568,0,-0.0121492402246626,-0.000500198903916795,0.000536044293931236,0,0.094355418453693,-0.0141836391765318,0,0,-0.0506613766860272
SPX.Index,0,0,0,0,0,-0.0113780261911821,0,0,0,0,0.00751731111757371,-0.000277288460998356,0,0,0,0,0,-0.053341059043075
VIX.Index,0,0.00465331043136649,0,-1.04592817669383,0.019455349381862,-0.499292323094706,0.223255175882567,0.0462010841079307,0,-0.240744852214972,0.0379453299456317,-0.0366704469757403,-0.15608055189364,-1.73463635037975,0.418361356900774,0,-5.505569365303,0
