,BTC,ETH,BCH,XRP,MIOTA,XEM,LTC,DASH,NEO,ETC,XMR,ZEC,EOS,BNB,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0627693159392544,0,0.135449908625952,-0.159565163299169,0,0.331602953685019,-0.0211135914494992,0,0,-0.297240519706194,0,0.0666994463675097,0,0,0,0,0,0
ETH,0.25673928849852,0,0.0270890983854917,0.955879714049564,-6.93889390390723e-18,-0.0203572448369974,0,0,-0.0131033025321844,0,0,0.181350726790794,0,-0.0157049292469536,0.113100599991766,0,0,0,0,0
BCH,0,0.291496353271553,0,0,-1.30729556614036,0,0,1.96335670421623,0,0,0,0,0,0.480723272405334,0,0,0,0,0,0
XRP,0,0.161600329027803,0.000412780398677078,0,0.0921281453733145,0,0.304550839483378,-0.139791670549933,-0.0163383326586362,0,0.203891015036657,0,0,0,0.129839538944192,0,0,0,0,-0.0590306025332205
MIOTA,1.06118518666519,0,-0.217889227483535,0,0,0.0849648803910533,-1.27252533702245,0,-0.218584007980251,0,1.06744751665593,-0.521835252171741,0,0.155455106883236,0.0986098058162367,0,0,0,0,0.145458649637415
XEM,-0.31219345254446,0,0,0.307140919783417,0,0,0,0.0438160853613768,0.109677148372154,0,0.320397450931634,0,0,-0.0835242381435412,0.0809056555210865,0,0.0198942580245795,0,0,0.106190582039703
LTC,0.174630868831973,0.406440467098747,-0.00745875386739189,-1.38777878078145e-17,-0.150230381723994,-0.0147337611412411,0,0,-0.0401550107341567,0.364552332239537,0,0.033315820159561,0.0299941016368576,0.0711209021392247,-0.0701772589802762,0,0,0,0,0.0433227793275174
DASH,0.0617794301062952,0,0.0206552083630292,0,0,-0.057880155930686,0,0,-0.0289457452942748,0,0,0.141247631704247,0.281565386931876,-0.0405281766254716,0.0979574131023004,0,0,0,0,0
NEO,0,0,-0.0874990859073187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0.1964131705483,0,0.227783918201552,-0.0425492866592225,-0.0274232291480075,0.212759160999664,0.106366868104019,0.0189530206127889,0,0,0.00228753468565346,0.0844456558304586,0.00416255968099638,0.0169291390301432,0,0,0,0,0
XMR,0,0,0.0547834488099423,0,0.113042676956722,0,0,0.0931093041777473,0.0359977724452244,0,0,0.260665416383746,0.0620896113676962,-0.0433493246889005,-0.0190860062283701,0,0,0,0,0.0494417805012906
ZEC,-0.215643567007453,0.28055055063028,-0.0123805103687822,0,0,0.0465647653432789,0,0.295876476190529,-0.0242472911273072,0,0.428902178232363,0,0,-0.0438718271614128,0.000394966937932537,0,-0.193610000945745,0,0,0
EOS,0,-0.170537602594015,-0.102950182684842,0.509075527334299,0,-0.0630633006208566,-1.38777878078145e-17,0,0.0667729321489734,0.533431891894238,0.38723216235428,0,0,0.0494855050141229,0,0,0,0,0,0
BNB,0.597845988426878,-0.873840159720803,0.145657754412796,2.89519689933355,0.788734618357034,-6.93889390390723e-18,0,0,0.604733989934419,-0.990087653375957,-2.30935856915356,1.77469624371675,0,0,-0.921820682265392,0,0,0,0,0.504649574389019
BAT,-0.652317224354458,0,-0.0336756623271145,0.190354391710122,0.3190017913437,0.035749185878629,0,0.355010301386571,0.501673607741295,2.17751908752302,0,-0.300187128366022,0,0,0,0,0,0,0,0
BV010082.Index,0,0.115074398579914,-0.00591897796674409,-0.0187749541261272,0.0108243126334207,0.0308268925295318,-0.0485713079643952,0.0526707248792969,0,0.100172759711776,0.0436560716477608,-0.0894897437086216,-0.0384479374053838,-0.00793676579635712,2.16840434497101e-19,0,-0.417399980418655,0,0,0.014436764516296
CVIX.Index,-0.0322992919458142,0,-0.0236655447533205,-0.152320643158576,0.0456086081967086,0.0789382422268738,0.0613232848326412,-0.00583741375663678,0.0140223120140528,0.260670931086402,0.241004853157278,-0.16543991658206,-0.147472226523032,0.0198465549801893,0.0414905171299548,-0.990211769659351,0,-0.949533609446069,0,0.0378908028449631
DXY.Curncy,0.0118314375463181,-0.0074066740081784,-0.00325091562781709,-0.00348962087889173,-0.00862358133311495,0.0152471170844705,0,0,0.00310989415379298,-0.00780327099768438,0,0,0,0.00147734355956369,-0.00294127560800654,0,-0.0872881455696794,0,0,0.00692816579498802
SPX.Index,0.0138413886766546,0,0.00250122685316734,0,0.00529969043211485,2.16840434497101e-19,-0.0138614378428848,-0.0154935936147761,0,0,-0.0290544392020316,0.0172307606762067,0.0135403844158509,-0.00197291051424716,0.00434391577942288,0,0,0,0,-0.0423779968148569
VIX.Index,-0.223607911003292,-0.0717277969648604,0,0,1.73472347597681e-18,0.268970147384112,0.666537336286663,-0.184895692416292,-0.0439278316054126,0,0.267568055866319,0,0,0.151089927939109,-0.00296732552843555,0,1.84295356257621,0,0,0
