Datetime,btc,eth,bnb,usdt,ada,dot,xrp,ltc,link,bch,xlm,usdc,uni,doge,wbtc,okb,xem,atom,aave,sol,cro,xmr,eos,bsv,trx,ht,miota,theta,snx,neo,vet,luna,xtz,ftt,dash,grt,dai,busd,AVAX,cdai,ksm,sushi,mkr,ceth,egld,cel,fil,leo,ftm,comp,dcr,cusdc,cake,vgx,rvn,zec,zil,etc,uma,yfi,nexo,rune,hbtc,near,zrx,waves,icx,xsushi,ren,amp,stx,hbar,matic,mdx,btt,renbtc,chsb,algo,dgb,pax,iost,ont,nano,bat,zks,lrc,husd,omg,bnt,ust,zen,qtum,hot,npxs,xvs,enj,btmx,crv,sc,btg
2020-05-07,9144.687040,200.254795,16.512093,0.999176,0.049849,,0.213169,45.512929,3.577926,242.034407,0.070191,0.990259,,0.002516,9176.290961,5.127784,0.041026,2.643803,,0.619400,0.064310,58.279418,2.696824,202.373629,0.015740,4.104868,0.177519,0.151876,0.839381,9.165992,0.004383,0.214364,2.635367,3.019743,77.477571,,1.002803,0.985158,,0.020488,5.621454,,327.423688,4.004879,,0.124237,,1.045243,0.004053,,15.041511,0.020960,,0.030676,0.021708,42.962403,0.007068,6.971822,1.208539,,0.111407,0.109802,,,0.208129,1.023132,0.261639,,0.068546,,0.098858,0.038645,0.017047,,0.000285,,0.019121,0.197388,0.023144,0.988813,0.003585,0.461827,0.620509,0.178784,,0.033560,1.003699,0.689321,0.194981,,5.457673,1.516670,0.000511,0.000117,,0.142503,0.038413,,0.002279,9.620097
2020-05-08,9959.166416,212.292476,16.973508,1.001081,0.051670,,0.219357,47.468704,3.748406,253.016067,0.072229,0.999685,,0.002680,9971.813133,5.415753,0.041316,2.723268,,0.608940,0.066312,64.563051,2.756270,207.644907,0.016048,4.225298,0.184369,0.162774,0.880768,9.902528,0.004587,0.194800,2.718652,3.181200,78.790982,,1.003085,0.999067,,0.020432,5.917017,,344.066850,4.240273,,0.129205,,1.066696,0.004042,,15.236042,0.020934,,0.028850,0.021729,44.235095,0.007083,7.107496,1.306712,,0.110408,0.112063,,,0.302027,1.044793,0.279273,,0.067500,,0.097671,0.039582,0.017427,,0.000295,,0.021697,0.202935,0.024381,0.997058,0.003682,0.478291,0.637903,0.183491,,0.033329,0.993108,0.708171,0.204016,,5.603592,1.588709,0.000544,0.000127,,0.141774,0.038848,,0.002285,9.939207
2020-05-09,9821.811315,211.689048,17.174296,0.998404,0.051290,,0.218171,47.669692,3.796459,260.829562,0.072393,0.995866,,0.002611,9832.349946,5.389206,0.041880,2.807799,,0.608940,0.068567,63.225103,2.756419,210.846973,0.016213,4.196390,0.204083,0.162591,0.893630,11.334564,0.004587,0.194163,2.748291,3.125521,81.508964,,0.998716,1.001707,,0.020496,5.908423,,338.729323,4.228657,,0.133827,,1.063889,0.004203,,15.023229,0.020990,,0.030403,0.021985,46.720823,0.007092,7.187743,1.319548,,0.107967,0.112944,,,0.394405,1.052668,0.302645,,0.069961,,0.111552,0.039384,0.017881,,0.000293,,0.026046,0.216273,0.021996,1.001502,0.003826,0.512372,0.700964,0.229168,,0.034782,0.996261,0.766863,0.207456,,5.534471,1.648381,0.000541,0.000124,,0.143372,0.039025,,0.002219,9.960633
2020-05-10,9566.777187,210.431818,16.831058,1.000306,0.051111,,0.216237,47.043586,4.021831,265.162700,0.071651,0.998052,,0.002580,9466.976759,5.311746,0.039307,2.753669,,0.601792,0.063641,63.100816,2.754599,199.567323,0.016097,3.958392,0.183925,0.148721,0.908338,11.016740,0.004608,0.186963,2.816854,2.977427,79.716260,,1.003151,0.938718,,0.020430,6.109337,,338.849806,4.203745,,0.121229,,1.102794,0.003669,,14.376563,0.020995,,0.030007,0.019853,44.938745,0.006644,6.537440,1.379935,,0.104952,0.111199,,,0.426702,1.039833,0.283089,,0.069777,,0.109541,0.039000,0.017263,,0.000273,,0.022838,0.212737,0.021437,1.006933,0.003518,0.492811,0.656652,0.217125,,0.034699,0.996932,0.699578,0.196740,,5.291446,1.597488,0.000525,0.000126,,0.144750,0.035437,,0.002225,9.324893
2020-05-11,8752.617088,188.137226,15.319104,1.001243,0.047632,,0.200870,42.193489,3.765424,233.195379,0.064254,1.000952,,0.002431,8749.475117,4.859765,0.037633,2.515755,,0.541778,0.064795,58.881708,2.450372,185.318935,0.014379,3.848011,0.185138,0.142430,0.796486,9.741696,0.004173,0.179541,2.557168,2.749469,72.384746,,1.005729,1.001799,,0.020545,6.800360,,329.135659,3.762144,,0.117120,,1.091149,0.003615,,13.271810,0.021046,,0.027584,0.019197,41.010802,0.006913,6.265851,1.162992,,0.095720,0.102454,,,0.396153,0.961283,0.264831,,0.073033,,0.094756,0.034345,0.015371,,0.000258,,0.021008,0.192533,0.018767,1.001849,0.003404,0.465805,0.606301,0.197531,,0.031020,1.002867,0.679350,0.188413,,5.243425,1.450404,0.000477,0.000113,,0.142481,0.035540,,0.001930,8.950572
2020-05-12,8604.751591,185.674718,15.079061,0.999563,0.047784,,0.193888,41.571072,3.583348,234.159194,0.062570,0.996859,,0.002414,8569.985577,4.887659,0.037299,2.385020,,0.513923,0.064800,59.406269,2.402107,188.688419,0.013964,3.772533,0.177635,0.145626,0.775432,9.637186,0.004115,0.178915,2.429213,2.721934,69.793257,,1.006506,0.996612,,0.020547,5.876865,,319.365675,3.728722,,0.114760,,1.080901,0.003985,,12.821125,0.020959,,0.027021,0.018440,39.634931,0.006982,6.028327,0.913579,,0.097974,0.100594,,,0.347870,0.936244,0.252877,,0.068780,,0.092302,0.033767,0.015036,,0.000256,,0.021252,0.186455,0.017505,0.999510,0.003285,0.450060,0.594333,0.185786,,0.031232,0.995542,0.666906,0.185902,,5.569805,1.405993,0.000489,0.000113,,0.147924,0.034592,,0.001883,8.724942
2020-05-13,8788.466749,189.305782,15.737908,1.001612,0.049860,,0.197123,42.114736,3.694684,232.676456,0.069852,0.998483,,0.002464,8874.485288,4.962067,0.038411,2.483506,,0.533343,0.065868,61.465536,2.435096,187.148844,0.014488,3.877389,0.185431,0.176578,0.778710,9.984393,0.004223,0.185206,2.502788,2.823138,73.137207,,1.005437,0.998793,,0.020567,6.235833,,320.147708,3.814915,,0.112422,,1.080284,0.003946,,13.151407,0.020961,,0.028178,0.019352,42.045360,0.007623,6.074226,1.183215,,0.107331,0.102350,,,0.357945,1.070993,0.263723,,0.078107,,0.097566,0.035328,0.016908,,0.000265,,0.026314,0.195864,0.020820,0.998726,0.003388,0.460782,0.625548,0.204232,,0.032809,0.998296,0.723717,0.189075,,5.397356,1.465570,0.000497,0.000117,,0.160997,0.038126,,0.001930,8.885833
2020-05-14,9283.086013,199.369373,16.178745,1.000356,0.051907,,0.201803,43.197738,3.760051,239.384980,0.069845,0.999244,,0.002552,9391.026468,5.126895,0.038981,2.546436,,0.553319,0.067318,64.927925,2.523705,191.128964,0.015049,3.947665,0.194083,0.173978,0.763281,10.299725,0.004475,0.189022,2.567798,2.932939,73.815731,,1.008883,0.998656,,0.020565,7.486249,,327.928068,3.998905,,0.123822,,1.082424,0.004662,,13.336709,0.021011,,0.028268,0.019477,43.005225,0.009191,6.228606,1.274462,,0.117143,0.102077,,,0.348524,1.061116,0.271417,,0.079362,,0.108066,0.035582,0.019223,,0.000273,,0.028402,0.196998,0.022023,0.998412,0.003543,0.466388,0.698106,0.200408,,0.034734,0.998388,0.766931,0.195616,,5.521813,1.491342,0.000526,0.000120,,0.161342,0.039891,,0.002052,9.197682
2020-05-15,9796.494527,203.211247,16.354338,1.002363,0.052329,,0.203391,43.911708,3.804620,242.543307,0.069125,0.998133,,0.002608,9734.214820,5.336788,0.039743,2.520384,,0.574281,0.064427,65.198868,2.621334,192.599963,0.015323,4.085581,0.207413,0.170760,0.817219,10.187038,0.004613,0.187263,2.547400,2.992521,74.495197,,1.003927,0.998085,,0.020527,7.795196,,328.176963,4.071856,,0.128494,,1.071453,0.005486,,13.875693,0.020988,,0.028345,0.019128,43.085862,0.010364,6.260924,1.234173,,0.114266,0.101866,,,0.345089,1.047522,0.266938,,0.076520,,0.108127,0.037904,0.019043,,0.000271,,0.028592,0.197470,0.021742,0.997088,0.003544,0.476827,0.699046,0.202216,,0.036987,0.996071,0.967371,0.200638,,5.528234,1.533349,0.000524,0.000122,,0.161680,0.040587,,0.002122,9.174289
2020-05-16,9309.295359,194.273098,15.665540,0.999778,0.049656,,0.198477,42.650106,3.653438,235.126784,0.067010,1.000514,,0.002473,9268.965008,5.133538,0.038689,2.467020,,0.556434,0.063595,62.624869,2.581196,186.538868,0.014867,4.003769,0.196612,0.191204,0.823833,9.997086,0.004311,0.184573,2.482919,2.867712,72.153235,,1.005173,1.001473,,0.020598,6.903288,,322.731003,3.892462,,0.119168,,1.077189,0.005119,,13.184155,0.021025,,0.028336,0.018460,41.890181,0.010026,6.486920,1.205021,,0.111101,0.108779,,,0.381891,1.026845,0.267159,,0.076304,,0.105319,0.035793,0.018084,,0.000265,,0.027013,0.192002,0.021063,1.003772,0.003464,0.466366,0.721099,0.198793,,0.036420,1.002276,0.937616,0.194104,,5.196659,1.498679,0.000525,0.000116,,0.162793,0.039592,,0.002043,8.873955
