Datetime,btc,eth,usdt,ada,dot,xrp,bnb,ltc,link,bch,xlm,usdc,doge,wbtc,uni,aave,atom,bsv,eos,xmr,trx,snx,miota,xtz,xem,theta,vet,neo,AVAX,grt,dash,luna,egld,sol,ceth,fil,okb,mkr,ht,sushi,dai,cel,cro,comp,cdai,ftt,zec,etc,busd,ksm,zil,cusdc,uma,dcr,leo,amp,yfi,zrx,near,waves,algo,hbtc,dgb,icx,nexo,hbar,rune,ont,lrc,renbtc,omg,chsb,nano,bat,vgx,ren,cake,btt,pax,qtum,crv,stx,rvn,iost,zen,sc,qnt,rsr,husd,matic,btg,ewt,enj,1inch,lsk,bal,nxm,flow,ampl,ftm
2021-01-01,543761604597.06,84118160937.71,21110320743.59,5614249417.63,8379282229.14,10708282755.83,5591016068.93,8428864015.24,4610961990.50,6452254946.97,2926257980.37,4023804414.35,629674189.28,3300932944.21,1069080054.72,1055762033.83,1433225123.32,3052824648.37,2498198579.34,2845368630.11,1935222698.22,1048142503.85,830977792.98,1539251836.96,2000131707.01,2045371114.85,1270368995.12,1026412602.05,251624111.38,443153971.00,995956447.57,313162836.58,389607810.07,75811722.34,814588608.96,1037132932.24,2445473794.57,536973639.21,1142019645.52,376857491.30,1188092346.57,2103160012.13,1318350834.47,594952635.32,1157931091.98,527681717.53,704840183.02,668765144.96,1045756629.59,630392299.61,975025204.88,726497495.94,443350065.55,506858980.46,1350333216.13,0.00,669036106.34,270404537.48,344283442.22,615685549.01,298776300.70,260025137.64,350457933.23,267645611.09,325052314.30,220271761.83,293893606.24,361752514.08,218192498.54,386424035.03,359983076.64,247004498.36,137274604.62,303220365.75,35271568.15,290543110.03,54995894.48,192128434.07,337458900.55,232221906.80,112040772.79,384800099.22,99984770.64,105082957.67,135272091.90,149632769.38,137641430.28,207825643.85,146792736.40,86841511.43,148697181.98,208189320.50,124331226.76,91620397.37,165839510.15,151886996.79,189709487.39,,280139741.94,43455514.35
2021-01-02,554708985064.53,83925474053.07,21228591045.55,5457085907.78,8138271370.23,10462461317.17,5558939762.48,8344116717.93,4701516884.73,6401916043.75,2869481554.80,4120765371.11,918208590.08,3368588425.89,1016809810.76,1040316492.36,1335696303.39,3037813015.63,2487058387.74,2411430299.69,1929590528.78,1139676703.84,802956752.38,1515773428.06,1887902424.47,2116604543.32,1249149453.64,1020106058.45,275646483.76,433900084.20,874975814.78,307702200.29,387289708.01,83562886.86,823325511.69,993208128.17,2435232476.70,531494528.20,1175589479.30,407548683.42,1218337375.46,2139822673.75,1416626144.12,590145382.65,1156871371.83,531302649.04,626268524.13,663106016.14,1124807123.63,611461895.83,903882238.47,834964669.06,447112829.87,544463773.09,1348125173.92,0.00,655324083.81,280693694.91,331035031.71,573998988.81,336489738.56,264077784.46,368577215.36,258455378.11,327386920.17,222210617.66,284157705.75,379109544.62,218008444.83,396268080.51,361498096.75,226958691.69,137578148.18,303567047.30,34261721.51,275420872.84,54892433.65,197707561.01,348030778.01,231852841.67,105351104.29,417828172.96,100434613.47,104213322.23,123767305.51,161998385.38,138143256.24,252980617.02,165477325.63,88299474.60,148343520.46,211508154.50,122959249.71,85923957.53,165996516.65,152187308.61,188733598.89,,282112323.13,42482679.60
2021-01-03,626572654238.13,94215771254.89,21418051297.37,5679705254.81,8818424899.05,10106902296.86,5715229192.48,9768088107.11,4974315840.64,7297050532.59,2835870110.75,4189042464.80,1404486314.19,3661621861.62,1082462976.80,1026861583.21,1312720339.36,3128123825.74,2557951518.11,2478419810.50,1951562347.77,1145462936.85,799007115.76,1521248395.50,1809884080.03,2264256631.17,1361265624.34,1041393390.21,277267279.37,380031673.75,867664480.74,316371697.76,393724519.80,93327309.66,916254105.81,956127426.40,2201607797.68,594674108.36,1139573365.84,401483610.63,1191798021.32,2389737254.04,1350425635.29,578183741.29,631024189.30,601250993.64,627475329.45,736034154.58,1158707496.60,626439970.00,821315352.19,1418987820.22,458240013.62,594037836.26,1354587954.28,0.00,641005039.56,281579330.14,359795170.56,537996775.27,333580451.28,297624239.50,433907066.00,257948319.29,362612064.00,222077584.09,297811537.24,381706940.90,240170150.44,438304684.86,363899592.60,223286901.37,142832589.33,303645770.69,32501429.61,279270338.87,56235903.60,212206090.10,384640234.60,236913576.07,110123014.71,437968822.51,106255729.66,103765034.43,146393295.98,225973242.16,148838956.06,306832168.63,195394634.85,93956592.70,150923683.50,210872108.61,121843894.21,82867607.29,165921633.40,165721356.62,212057989.50,,293883575.96,42031535.98
2021-01-04,593358270699.39,116205071815.48,21353850822.31,6683922003.21,9062615709.76,10570584845.65,5925527759.95,10348223880.53,5473417093.93,7598382036.25,3151770051.01,4291392502.68,1234903462.88,3464650577.68,1163392476.05,1226299831.06,1381828934.34,3139186469.31,2664876628.49,2448401028.50,2138172090.36,1345803671.15,859538510.84,1649218684.62,1839653577.58,2005457163.43,1556446311.80,1134992995.16,267213822.68,376385683.10,877295045.08,320758819.15,425202721.73,104422210.44,1113986251.71,958825107.46,2033819946.81,618486463.73,1143352331.89,463627876.93,1293963150.64,2366561675.79,1447525174.88,607630731.31,978245381.84,650156012.57,641428562.14,795319586.92,1091387354.19,617831659.76,812321505.48,817963374.69,489799544.40,571909114.21,1316058034.72,0.00,707866418.24,288934608.70,336734478.08,535373021.62,327564404.07,281440783.05,392997031.68,283649371.61,343120241.71,221462220.00,323082121.83,389615290.43,374443380.71,401445145.65,438077183.99,257658064.06,206983757.09,319128522.90,34233015.42,290747430.05,55025579.37,206168252.54,377303522.08,256634048.18,117347007.77,439674423.59,105537368.19,104865331.77,135854969.64,197245082.48,136130249.19,304422394.90,197169187.75,101874730.90,154095418.01,218323058.33,129098733.84,83566788.29,173143407.44,168849718.25,258125751.84,,319164714.75,47749518.91
2021-01-05,588102696972.69,119610813753.46,21846339858.73,7170753192.51,9071764620.86,10460467736.06,5934415545.93,10180845168.52,5645133344.75,7610931976.23,3702143995.84,4364876145.59,1220346531.78,3459300071.59,1222482002.22,1365077359.96,1438314805.89,3090877621.93,2665797366.19,2349956530.35,2032129465.75,1624489071.85,980743137.31,1738139745.86,1820343025.50,2106547735.84,1659305987.38,1149225663.38,309072856.59,371797028.02,874329311.60,342948763.35,546801821.86,105781185.91,1071897389.97,955068152.55,1991109553.83,630595581.05,1123500043.39,449718053.70,1326232119.08,2250638222.14,1445088167.07,642713241.54,1032421107.49,694229476.70,643676092.99,814848691.23,1060713359.26,597075630.56,802835603.98,786770849.42,489742924.14,572665446.60,1311258036.73,0.00,699807441.12,306141267.40,346980651.83,539790333.61,361666656.54,280248482.44,389427563.29,300998183.58,348881533.35,248345913.54,346272481.27,395039299.59,579085542.31,399956120.70,487111172.84,257194331.15,200505331.94,338671247.34,34212272.02,296691715.98,55461297.59,199217859.72,364718551.46,261101614.21,121120940.05,457082171.50,116826591.57,104693788.02,141546438.16,189380252.38,142361142.80,294804350.02,190384924.03,118325596.33,157848527.32,245729350.22,129755771.30,85828911.48,170593807.40,172650155.91,265253614.07,,296993046.94,51687243.65
2021-01-06,646022574149.37,128573072403.74,22206267004.31,8929571814.32,9385887252.53,10433106511.95,6133634239.18,10787900446.85,5974664001.53,8033774377.40,6079291333.24,4298904097.02,1294591496.07,3809876344.11,1350401273.14,1408702919.81,1504887013.57,3279226482.70,2926353796.66,2437783241.56,2110340906.13,1722919713.45,1055776057.63,1897958242.07,2162203688.23,2200224887.21,1928196832.67,1230341300.86,349573726.74,443185824.69,912460393.31,347355512.59,618240801.16,96039646.76,1160718588.20,973410618.58,2022316675.08,737787687.57,1142802386.84,491177066.88,1321035807.28,2302581779.58,1558480449.39,695783584.35,1016444624.72,792117444.21,662392094.97,856486189.10,1085866856.79,621482603.50,918282142.72,809820530.67,511203042.90,627764998.16,1313371880.20,0.00,716617876.56,350086726.34,368543398.18,577048338.01,391421221.40,308153334.85,393050913.82,348940699.80,343574881.07,254878866.64,335708620.54,428010338.21,553254627.25,435617764.54,506344307.71,268893688.52,217694909.37,360990506.97,40123397.40,309231685.23,59869477.20,205186850.81,389893754.78,283162551.12,130256606.54,476982204.62,121002348.51,109266294.35,159509155.69,188389543.24,149970134.23,388506092.47,211398936.17,135169431.50,163071027.62,260645060.96,138598175.90,102982306.73,180685114.17,186439287.14,287158390.48,,317431028.01,52922477.87
2021-01-07,697219916149.18,138106436118.32,22935864428.43,10225273522.45,9502682851.89,13813377867.32,6417100312.85,11238457256.96,6653745706.32,8457984433.75,7527927398.62,4464433007.11,1290898435.32,4116677473.47,1353293718.57,1423364236.16,1583755381.41,3365075274.24,3165720657.82,2571055927.55,2265550154.69,1669271858.64,1077206761.06,1997095699.06,2318069294.59,2103160003.82,1949209974.11,1405630052.82,355081650.58,449237705.14,978762416.38,417663908.59,661594394.41,559799203.24,1233598961.93,998563363.18,2049397365.06,974051010.43,1166960030.53,484611758.63,1333207435.69,2285333887.40,1735059429.21,739548141.19,1038576398.62,866294717.56,739082622.04,869132377.16,1106729908.23,651726795.14,937075367.89,816782570.28,562321274.72,685970920.92,1296513203.55,0.00,922405078.87,354504632.41,375012429.60,605765251.32,398866465.81,422906693.79,439195539.96,353027756.19,361022202.28,266211047.46,331079321.78,462067219.06,526479524.15,470644471.64,525084586.47,301774585.93,502655182.68,391657749.83,51461668.36,355881250.58,58546951.90,219956261.92,448809307.04,313176154.53,132255720.46,496217654.75,126541692.52,116346266.12,164585761.02,224801447.02,152232478.80,375459284.36,275662864.88,168708809.79,185503701.54,269329269.82,155095546.30,116378036.04,197284592.44,194652220.00,310959013.90,,332525638.59,65611793.91
2021-01-08,735876776451.71,137948260944.19,23473964736.01,9304615964.96,8872157709.31,14431217578.87,6289159368.41,11151218155.31,6188431795.62,8110563778.63,6629703125.04,4574471814.67,1213244559.17,4360331288.45,1294403130.22,1351174175.86,1440411268.46,3205125341.03,2948583157.83,2568455515.04,2175926342.71,1637877098.63,1014456254.01,1830000467.64,2118286920.76,1922089486.02,1773772829.42,1420397039.95,382611869.73,411478079.07,962191372.21,409600230.45,640248913.11,759309914.38,1199154830.95,970179482.16,1926357335.52,959012247.37,1126099694.88,518636082.53,1369856594.99,2112836499.28,1783381738.48,696209969.74,1060441268.72,837860558.51,729901439.96,806991190.54,1103064562.15,618441558.05,855931106.64,816229055.96,532661839.93,734271902.98,1294917961.93,0.00,997276879.84,329895872.97,371283215.24,567853326.63,364082320.99,523536056.28,425656625.40,341745271.09,343167894.03,366532925.16,305864208.57,441959068.35,449073854.57,490137848.24,478309444.39,303284272.17,511657219.68,379724568.07,91532123.27,330844927.26,54978972.05,215957916.40,475124359.53,292155874.43,125899451.40,472995381.02,121129437.03,120649878.25,152517763.27,223741113.67,176994480.49,374525223.57,296637980.04,155510536.17,198373552.99,239017327.00,204229614.40,100428071.16,184691307.30,194394132.89,306928261.55,,323886361.90,62833862.50
2021-01-09,753449057780.15,139372453250.31,23693397962.81,9657588196.44,8893779959.42,14680826448.47,6297030919.07,11285049805.80,6311800674.31,8337636218.48,6606770307.88,4650111482.18,1295471753.64,4478220896.04,1306338837.45,1359281308.49,1534788292.49,4112177088.74,3080564140.41,2556291979.77,2289189849.49,1617972087.55,1223032770.60,1916817621.39,2090887990.64,2028727242.17,1792418858.35,1437555212.57,505674024.58,426492393.94,984518194.08,399363337.46,629358672.71,833149779.10,1212769366.38,974594275.15,1946055339.44,1002282101.49,986308065.96,585823920.94,1396791803.36,2088497286.31,1847184715.83,704869000.89,1163860847.92,835077151.88,759963989.62,817588549.69,1136186406.94,613470565.79,851428174.48,845202113.88,532032485.37,769384021.52,1294418995.55,0.00,1132588952.51,351997806.12,428514743.85,574810139.66,378561410.93,680604035.54,425465778.84,378844071.22,346523315.49,351858069.54,323041578.37,491206191.06,497471069.74,503589581.50,497514037.89,291714012.17,506190077.26,390534770.37,137319083.38,350775224.99,54526014.66,269845188.81,476078801.92,308844201.54,135674036.20,457091132.87,135891545.76,204900761.40,165092953.24,228965315.06,190111562.89,399637009.80,298241036.78,154673330.97,201861138.58,233700210.79,185856868.89,95883192.25,199710013.66,199281653.75,311598780.27,,301849612.58,67612905.83
2021-01-10,747706192119.55,149341507937.65,23926543538.32,10160537292.15,9048307335.72,15082630557.95,6436762386.81,11646912725.85,6919407729.91,10973598954.43,6793336005.03,4797319132.14,1313321206.10,4433367950.56,1318282881.21,1484861864.09,1579911747.31,4885116287.97,3374015952.65,2815525984.84,2443074488.28,1885894908.55,1204193702.06,2010395616.98,2179975761.04,1983606646.25,1864524302.01,1569478947.54,537673228.96,424773079.28,1408666905.97,405034143.77,624055751.80,892444973.17,1257848926.61,1035485176.10,1983346753.67,1536382036.25,1060758322.95,586178310.39,1424464614.44,2032557918.23,1876030165.96,787406532.15,1160161511.24,865468264.62,924153765.37,1000754175.23,1180911278.61,625506873.48,894725190.51,871524030.85,545417945.30,746304823.71,1299878692.38,0.00,1087384871.05,397290865.20,429376837.91,633071491.86,384081777.21,718677221.70,433756213.95,382755851.91,350323021.63,337689950.72,328799938.39,509118480.70,474874289.37,506989720.73,528415965.64,278920052.87,472519866.27,408174077.87,110084143.94,372737977.41,54225965.85,268454060.48,497513678.83,344306664.80,142844400.44,457632806.43,136354071.02,203590827.16,176086514.91,232917553.29,207562579.68,436065014.73,311744188.75,152340112.72,252413575.40,235498834.36,177507422.51,100845313.69,208764593.69,218104831.41,332193043.60,,300362065.32,69940460.47
