Coin,Risk
XLM,0.502709
DOT,0.253723
LTC,0.157567
MATIC,0.134949
BCH,0.131768
XRP,0.108247
LINK,0.106525
DOGE,0.095329
ETH,0.090817
ETC,0.081507
