,BTC,ETH,XRP,XMR,LTC,ETC,DASH,XEM,DOGE,ZEC,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.110001751079424,0,0.13128773261044,0.367575804530786,0,0.21592160821295,0,0,0.049741282595945,0,0,0,0,0,0,0,0
ETH,0,0,0.0759531719536239,0.221423411609502,0.165891639708178,-0.0835880227578636,0,0.0819016117759236,-0.242386361457658,0.00623800874629512,0.265398789339524,0.299986576343433,1.73472347597681e-18,-0.350750498484893,-0.2078004498888,0,0,-0.0694941858846752
XRP,0.151471203377516,0.0647184389428193,0,0.0171722614972341,0,0.0702739282919288,0,0,0,-0.0613096799778107,0.106878607245234,0,0.154840617413021,-0.221221741333562,0.0176944851428872,0,0,-0.021168392823896
XMR,0,0.355498427386804,-0.177950646158862,0,-0.0689023992618711,-0.1504418026997,0.354356598162149,0.450338698956784,0,0.0259396884667087,-0.0387696009314892,0.244426349462978,-0.431292025130233,0.118550640896912,0,0,0,0.349676080986405
LTC,0.516544307023181,0.180728817583485,0,0,0,-0.127935999910696,0,0.258553666535924,0,0.0625606527578146,0,0.0786292307901388,-0.170187525498781,0,0,0,0,0
ETC,1.01086426025812,0,-0.507237018210043,-0.0970506147861658,-0.412516004467523,0,0,0.319333542192686,0,0.0160937125724577,-0.00662323205654779,0.010401471766405,0.498229926813859,0,0.132363845957897,0,0,-0.277861564835075
DASH,0.216332397658826,0,0,0.0975763509188272,0.158023885784333,0.448103612260833,0,0.17683334270377,0,0,0.01797362175517,-0.0377293737049111,-0.223627992687676,0,0,0,0,0
XEM,-0.765119866016773,0.173995385803627,0.0313589216849887,-0.0529396154063708,0.213586646336906,0.00094580323550089,0.530049896479476,0,0,0,-0.0867989855700049,-0.450960884632021,0.0124520525381387,0.333078346315142,0,0,0,-0.0647526535012269
DOGE,0,0.103449736793893,0,0,0.0740984086568609,-0.0344081959028575,0.0770670015543722,0.0208287652830153,0,0.0103014494945104,0,0.123741693132159,-0.020356321805187,0,0.212063643880839,0,0,0
ZEC,1.42350563145786,1.81102351618698,-2.23653296637754,0.282525626267212,0,0.783217571798138,-1.76102232981931,0.0399928239612171,-0.387326453128505,0,0,-0.0349013005905444,0,0,-0.84458848538938,0,0,-0.110450905580386
XLM,-0.657953799134943,0.0153394541749173,0,0.251694875062686,0.188365484482272,-0.167780849909643,0.616426404257788,0.201716733179841,-0.223802945892586,0,0,0.344583943008997,0.571642197063816,0,-0.468282291132968,0,-2.78697326230339,0
NEO,-0.151747967496122,0.0628201793682492,0.669670950446017,0.00929786137587326,-0.424387612271291,-0.322701031905972,0.355377595807368,-0.485512806590335,0.300156779912099,0.0519888858150104,-0.0729786283004177,0,0.14690368240143,0,0.441615919532768,0,0,-0.104591852530719
DGB,0.537763441876912,0.149181642551745,0.100275148167778,0.0661281164789073,0,0.351406891936493,-0.498882032818899,0.0919018676383858,0.444434283644584,-0.0699445569597814,0.038308964257814,0,0,0,0.126914648973953,0,0,0
BV010082.Index,0,0,0,0.0755694877156567,0,0.00759104702406833,0,-0.066192818556259,0,-0.0367529534302295,0,0.00569719512405698,0,0,-0.418781407959496,0,0,0
CVIX.Index,0,0.118726791945608,0,0.0749959682781035,0.204655808278951,0.0541246856176469,0,-0.0478047624140269,0,-0.0375981629038687,0.00473406820563996,0.0433395910519346,-0.0563509539783613,0,0,0,0,0.240098707686878
DXY.Curncy,0,2.16840434497101e-19,0,-0.000599884261324647,0.0211830486771289,-0.00787245718148884,0.0183977798949743,0.025361030821115,0,-0.00108808406418817,-0.0143460543999116,0,0,0.0687598917912555,0,0,0,-0.024924772008204
SPX.Index,0,0,0,0.00975664112839097,0,0,0.0103306093442537,0,0,0.000575902034875941,-0.00673367318934991,0.0192963011242958,-0.00342900246600332,0,0,0,0,-0.0460530797820385
VIX.Index,-0.023350281650224,0,0,0.136738263709607,0,0.287980579247027,0,-0.798143276373128,0.0740042758019211,0,-0.00973611597985204,0,0.016336266525645,-1.1909366509225,0.981830057603674,0,-0.883708324110564,0
