,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0695511642621923,0,0.17360450854171,0.0104596759732316,0,0,0,0.19259637818656,0.0641649695898867,0,0.0410406171100379,0,0.0518571449909686,0,0,0,0,0,0.0728335301539888
ETH,0.066312667214714,0,0.194321830209018,0.185244401257164,0.262416098757325,0.00339899178118832,0.0786571065022682,-0.0642996327948046,0,0,0,0.105848900447124,0.0467579605538254,0.0870678637884688,-0.128418925769334,0,0,0,0,0
XRP,0,0.167229777041995,0,0,0,0.177444854277149,0,0.192211159396279,0,0.142879349867001,0.067280388592901,0.141113624688031,0,-0.104148560888169,0.0242669023656498,0,0,0,0,-0.105764727619158
BCH,0,0.427558934538502,0,0,0.264372512616633,0,0,0.243528960328024,0,0,0.0421711239519939,0,0,0.111794608496641,0,0,0,0,0,0
LTC,0,0.203922637644409,0,0.197415518148657,0,0,0,0,0.214308638594145,0.0620793839083112,0,0.0610648041647184,0.105321784479973,0.00512511322262006,0,0,0,0,0,0.00772525060876
EOS,0.344604580515842,0,0.044254162129464,0.127188917181163,0,0,-0.196175510867339,-0.20840774537972,-0.0458554857008082,0.285423554269945,0.132012251292083,0.0254320697008149,0.126399543153708,0,0.199157960243803,0,0,0,0,-0.1461851577521
ADA,0,0.536815600798723,-0.0000000000000000277555756156289,-0.226753005946761,0,0.142287486302908,0,0,0.265366705386518,0.105015406071051,0.131410674267138,0.176038642724126,0.00776492507914116,-0.0540352133591516,0.049853492787248,0,0,0,0,-0.023229313834622
XLM,0,0,0,0.209181043787509,0,0,0.209998621965898,0,0.207178810204199,0.170105724476686,0,0.127169363489763,0,0.0594882888152735,0,0,0,0,0,-0.0146162957835036
MIOTA,0.108449267808974,0,0,0,0,0.0957762472243151,0.0456827294148943,0,0,0.359921793438965,0.0583007582801032,0.122194255725615,0,0.0899828171072902,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0936468232963013,0,0.106645631096281,0,0.191886138512963,-0.0148794796557485,0,-0.0000000000000000138777878078145,0.388924534449784,0,-0.293128111558085,0,0,0
XMR,1.07319622312223,0.107917211242854,0,0,0.0474019606483996,0,0.00000000000000000173472347597681,0.0993844328316383,0.0775979832299815,0,0,-0.220063362655817,0,0.116974637148178,0,0,0,0,0,0.0237817367671182
XEM,0,0.465340417128355,-0.0968540322744155,-0.440803295793618,0,-0.0919536539267054,0.307762299212909,0.338928377163218,-0.0329391342146728,0.111169094070807,0,0,0,0.244638590586977,0.113842509886181,0,0,0,0,0.0223490838611308
DASH,0.380392066676567,0.154331749257909,0,0.045248075803463,0,0,0.0857418192825767,0,0.096780440438749,0,0.036156640541657,0.0392193844755511,0,0.0643249622477278,0,0,0,0,0,0.0690744328130219
TRX,0,0,0,0.101828450856737,0,0.108745856219273,-0.833837832180835,-0.612532770800575,0.353980233303882,0.0308418783656944,0.329566439438219,0.255629659367363,1.18000422939212,0,0,0,0,0,0,-0.274026052115729
ETC,0,0,0.750084487076844,0,0,0.0499074600885491,0.0104052751377396,0,0,0.195134434457999,-0.199951397956915,0.0770991896962647,0,0.148185937217966,0,0,0,0,0,-0.0971174391790945
BV010082.INDEX,0,0,-0.000000000000000000433680868994202,-0.0113844685145994,0.0278904730600575,0,0,0.111246070000998,0,0,-0.036226526024563,-0.0753804022359991,0.0868614514991507,-0.00545725249613508,-0.0186182564867187,0,0.068354755591015,0,0.04502306951294,-0.0553754531796717
CVIX.INDEX,0,-0.080276362478299,0,-0.0865216831978297,0,-0.0818879765936738,0.103270483104301,0.152347152372902,0,-0.0576237673779392,-0.0959895954741397,-0.252864492647522,0.277030694483963,0.0541857790061332,0,0,0,0,0,-0.0114454020886329
DXY.INDEX,0,0,0.0110365063341879,-0.0258451363416954,0.00000000000000000010842021724855,-0.00746896621393093,0,-0.0422405708004404,0.000211119813651953,0.017901519604989,0,0,0.0543508768897532,-0.0075201507286663,0,0.0665132968200155,0,0,0,-0.000871207853829115
SPX.INDEX,-0.00659041561931292,-0.0439117090923206,0,0,0.0550088366116935,0.0293025961784451,-0.0230330887436108,-0.0144783310014592,0,0,0,0,0,-0.0199487322097941,0.00743561716792753,0,0,0,0,-0.102729754940856
VIX.INDEX,0,-0.42839250716422,0.0619658585028345,0.218157459711454,0,0.0354185814451731,0.246159627439667,-0.451356610623718,-0.0710930020251995,0.0978964935457746,0,0.0526340933448916,0.158385671093242,0.156912746131672,-0.000000000000000000867361737988404,-0.627871230429982,0,0,-3.96490464306449,0
