,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0517856553535204,0,0.193676457924875,0.0358439652167108,0,0.0910003187989764,0.00889236108066246,0.143747815705679,0.0853100771070127,0.0271526602305413,0,0.0464288010415872,0,0,0,0,0,0,0
ETH,0.321857829765096,0,0,0.118291972143898,0.145155432733919,0.155223446895929,0,0.225637863879172,0,0,0,0,0,-0.0535437827040967,0.110233784902938,0,0,0,0,0
XRP,0,0,0,0,0.0150270473188852,0,0,0.0213155651690779,-0.0943459332801829,0.258476066075159,0.1059666077862,0.0768260397317344,0.10371111545437,0.299208127074007,0.192686006509631,0,-0.304235319809038,0,0,0
BCH,0,0,0,0,0.176951343127278,0,0.281437866386317,0,0.0276001468693752,0,0,0.386724429277164,0.0546930672570247,0.0364355841550134,0.0998443355451811,0,0,0,0,-0.11026686592936
LTC,0.129385900842409,0.0482306482861012,0.0660781641548562,0.152973767596499,0,0.00000000000000000346944695195361,0,0,0.155015193793642,0.0211230277420375,0,0,0,0,0.140892273160632,0,0,0,0,-0.0175896536357172
ADA,0,0.255222156325562,0.143589729378725,0,0.0783664814781017,0,0.109495481522281,0,0.220200395823102,0.0588686000431655,0.0253883029168871,0.0950510125817396,0.0644763472468859,0,0,0,0,0,0,0.0119540819811969
NEO,0,0.681682867121251,0,0.0584050745129859,0,0,0,0,0,0,0.0499959754953035,0,0,-0.0282369238231693,0.317660235367872,0,0,0,0,-0.0749307535336031
XLM,0,0.123200655675224,0.184022087832969,0,0,0,0.0806053513594002,0,0.106188886100722,0.130008679531549,0,0.192954503226755,0.00000000000000000173472347597681,0.140538575579415,0,0,0,0,0,0
EOS,0.0460697735411523,0,0,0.026621265361258,0.310296508264738,0,-0.142199167205208,0,0,0,-0.0000000000000000000271050543121376,0.0490286970855143,0.195203079246104,0.227584603816714,0,0,0,0,0,-0.109192743888739
MIOTA,0,0,0.0504174013155433,0.289541900132322,0.160396008892124,0,0,0,0.0120833060247964,0,0.180121418319918,0,0.156267405324676,0,0.0211076270036342,0,0,0,0,0
XMR,0.266450367265632,0,0,0,0.0487037513854876,0.47117827604784,0.114213672783528,0,0,0.280710378444457,0,0,-0.241098532215168,0.0586148900368574,0,0,0,0,0,0
DASH,0,0.29062249802767,0,0.131730149171874,0,0.194078459646085,0,0,0,0.0100325040265803,0.0791342111684754,0,0,0.120736423864437,0,0,0,0,0,0.0367334984660962
XEM,0,-0.19834531177244,0.108124925339196,0,0.0807376560581431,0.540910162681103,0,0,0,0,0,0,0,0.074776838526763,0.122647017138075,0,-0.525547967168094,0,0,0.0822551568561645
TRX,0,-0.234890780533468,0,0.115358568930297,0.155497802440813,0,-0.228153239845046,0.296907275013557,0.136594596797714,0.327515495839199,0.00814543872541052,0.0364185452401451,0.22291638249982,0,0.168570556757569,0,0,0,0,0.153485912224682
ETC,-0.0783533450431113,0,0.24879899592865,0.418160608526032,0,0,0.0976150790855203,0.266106749015748,0.196076912482438,0,-0.179772119512517,0,0,0,0,0,0,0,0,0.117718502164782
BV010082.INDEX,0.0594370953471905,-0.150281201262583,0.0185333123975906,0.0903797762286311,0,0,-0.0147953368700909,0.0130600906381093,0.000683812646079949,0.0315215052612621,0,0.0498345125283569,0.029191321984568,-0.113472929013993,0.0208435144757709,0,0,0,0,-0.0316445866335381
CVIX.INDEX,0,-0.130215936440661,0.0199201865903749,-0.114207571847364,0.0960377604315663,0.150660264063078,0.0212676030766643,0.0915170195815516,0.050107101780537,0,0.00000000000000000346944695195361,0.165541765587267,-0.245933740122089,-0.0990638881328304,0,0,0,0,0,0.078137958697874
DXY.INDEX,0,0.0199062991152524,0.0226385075279704,0,0.0104935696472555,0,-0.0111570753308017,-0.0343748436475023,-0.0339743203660193,0,-0.00142416582016137,-0.00068203870939331,-0.00286216354925361,-0.00657304834164357,0.0233593080311675,0,-0.0139914809940097,0,0,0.00497042008222401
SPX.INDEX,0,0,0,0.00912923740248779,0.0269680039934564,0,-0.0147757109621931,0,0,0,0.0186796358727489,0,0.0329970429102626,-0.088762916758346,0,0,-0.0454053342252578,0,0,-0.0586733558675035
VIX.INDEX,-1.43492949361069,0,-0.00561324892626692,0,0,0,0.466613773717711,0,0.104587789594363,-0.153988394513154,0,0,0.123244297697766,0.492783254352744,0,-0.172431533618848,0,0,-4.53228583771018,0
