,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XEM,XLM,MIOTA,EOS,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.105329210928779,0,0,0.117436817291053,-0.0219578812056399,0.0763249059664689,0.060015111331106,0.129866563942477,0,0.256028248061391,-0.0193735745346401,0,0,0,0,0,-0.114956297315396
ETH,-0.201119777757172,0,0,0,0.0117628459489067,0.254211022937725,0.164405827663799,-0.0101384397924569,0,0.0527921878696273,0.0427793343093375,0.00793358433819097,0,0.0772109958160104,0.153060376521734,0,0,0,0,0.0176212978992715
XRP,0,0,0,0,8.67361737988404e-19,0,0,0.119854809360087,0.318055935234978,0,0.360806506595925,0.213959393890754,0,0.0161182489549272,0.0910613715672756,0,0,0,0,0
BCH,0,0,-0.0376092648792762,0,0,-0.184718268765052,0.243906523878018,0,6.92352225280236e-05,0.0704595636033444,0,0.412879378822689,0.116963681001434,4.33680868994202e-19,0.191892119156421,0,0,0,0,-0.204370519633148
ADA,0,0,0.174134999934497,0,0,0,0.114814258057789,0.152103170268019,0.125974060813925,0,0,0,0.0301784736689624,0.0647693220250173,0,0,0,0,0,0
LTC,0.0929096292265665,0.130987524653045,0,0,0.0186617883085995,0,0,0,0,0.19927603755209,0,0,0,0.077534818983311,0,0,0,0,0,0
NEO,0.0133376122977511,0.622806463957525,0,0,0.00747629585084951,0.121840866215385,0,0,0.0983193197107248,0,0,0,0,0.0573609041986675,-0.0750178027820704,0,0,0,0,0
XEM,0.0534439954038796,0,0.194113910808765,0,0.104528363326619,0,0.156875023804056,0,8.67361737988404e-19,0.202151009991781,0.0520016109948589,0.107290370589304,0,-0.0221496153815296,0.186944924556088,0,0,0,0,0
XLM,0.171519752163434,0.0892845840088835,0.155216095717253,0,0.348104260987523,0.106597156420724,0.05024042137846,0.0259956945752886,0,0.0476628073403878,0,0,0.272690702383105,-0.198456470888403,0,0,0,0,0,0
MIOTA,0.566849211109021,0,-0.10558667962422,0,0,0,0.0860048380797701,0,0.04147210458903,0,0.303849110113882,0.0490590000868358,0.335697053069649,-0.0953481254361397,0.0648617143338958,0,0,0,0,0
EOS,0,0.0379797562109538,0.00177079050968278,0.0382128057860893,-0.0467421775488618,0.2331497669467,0,0.0819968122745668,0.288858826845085,0,0,0,0,0.128582155357152,0.231200218361032,0,0,0,0,0
DASH,-0.0290630014345417,0.0197378436485986,0.0448271861625429,0.0552107702261137,0.0175239078737754,0.235935896951761,0,0.0031677117603032,0,0.0559469405097454,0.112547974045728,0,0.0829706742779369,-0.0293164248655624,0.113409682909082,0,0,0,0,0
XMR,0.117147732635616,0,4.33680868994202e-19,0.029051641958233,0,0.0737186410683198,0.250292975560708,0,0.102113734683183,0.0808899209180693,0,0,0,0.0691686752526923,0.21043012516724,0,0,0,0,0
TRX,1.51371755202925,0.760028214858166,1.73472347597681e-18,0.132275552849353,0.422971133469142,-0.58425101453638,-0.541309787285721,-0.494543560000992,-0.00213497157928861,-0.188147644478094,0.011368718520909,0.343869124049669,0,0,0.00383123383329979,0,0,0,0,0
BTG,0,0,0.0110064990524419,0.319445621253613,0.0082975204564376,0,0.0786273054408138,0.074504466838023,0,0.117823896059441,0.319834356938026,-0.115938743739407,0,0,0,0,0,0,0,0
BV010082.Index,-0.0207515968326308,0,-0.0122421223092854,-0.0393456455306765,-0.00828757788042275,0.018826639643545,0.00536336491039319,0.0069781751107336,0.0126955637086879,0.0115034999131143,0,0,0.0150456913837619,-0.00474089117662129,0,0,0,0,0,0
CVIX.Index,0,0,0.0219631055622138,-0.00858783475305583,0.000945110398682245,-0.0727137176250221,-0.0543351566494357,0.0259661204441791,0.0142493326652145,0,1.0842021724855e-19,0,0,-0.0187984808720549,0,0,0,0,0,0
DXY.Curncy,-0.00685010728105642,0,-0.00473752254817658,0,0,0,-0.00653669507739806,0.00895645283143958,-0.0128072752382031,-0.00342464278486921,0,-0.0120845011986706,0.0311262178924479,0.00874061686678083,-0.013837957898644,0,0,0,0,0
SPX.Index,0,0.00980106338930672,0.00141420048491014,0,0.00222155486953897,0,0.00460450065268123,0.00142237317792832,-0.00286776334507946,0,0.00113808000891902,0,0.00159312053412263,-0.00167570262758272,0,0,0,0,0,-0.0310565909707971
VIX.Index,0.0785592321136622,0,0,0,0.0238252973532838,-0.0439205709904527,-0.155167377175822,-0.0459865030616687,-0.0534792591574011,0.190508639031424,0.0502349164031251,0,-0.141073239715676,-0.0587428578700496,0,0,0,0,0,0
