,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.168828038346679,0,0.0336798340457982,0.0506397708118209,0.0778616278267627,0.0220893992374606,0.0739789483502401,0.0220563572423021,0,0,0,0.0805449513842375,0.0159621164273944,0,0,0,0,0,0
ETH,0,0,0,0.225681398891571,0.109193587910533,0.245362125073841,0,0.153095141066843,0.0395070219505584,0,0.027657202860823,0,0.176963759014769,0,0,0,0,0,0,0
XRP,0,0.131363686911505,0,0.120589400576805,0.092334639862561,0.0582894995652405,0,0.0418296467087834,0.0430216463303246,0.11319613215593,0,0,0,0,0,0,0.0419767481980175,0,0,-0.00709774815658678
LTC,0,0.336034914256714,0,0,0.231982166210626,0,0.0918495799518985,0,0.274639236163243,0.15738612261795,0,0,0.281468814791245,-0.203532234209934,-0.223687650409555,0,0,0,0,0.0137006816580402
EOS,0,0,-0.0577321133461323,0.306977798775054,0,0.306309020293896,0,0,-0.0476790290934588,0,-0.0579459139677443,0,0.246355413345671,0.193059022662788,0.233346198408496,0,0,0,0,0
BCH,0,0.128784081772003,0.360698218592559,0,0.284762835283962,0,0,0.13450367622166,0,0.0189921939179188,0.169570079019441,0,0.112309372998484,0,-0.0902591121806042,0,0,0,0,0.0241133977117764
BNB,0,0,-0.352135837004183,0.147008581731246,0.0281048778818495,0,0,0.347204329251664,0.245287176795791,0.218273054714776,0,0.654750172621468,-0.165430243838745,0,0.0455796647000646,0,-0.0000000000000000138777878078145,0,0,0
XLM,0,0,0.270959141675353,0.17695014807811,0,0.0871286742748244,0.0797255292526729,0,0.0562216251178027,0,0.0595319194053381,0,0.216488099790106,0,0,0,0,0,0,-0.0911303377535945
ADA,0,0,0,0.255215220890852,0.0969017360235631,0.151921791447298,-0.00894449579319278,0,0,0.0893352986207911,0.12227873009756,0,0.166129090315137,0,0,0,0,0,0,0
TRX,0,0,0,-0.00815592696317362,0,0.383143629736908,-0.0511141930944763,0.0596952156150028,0,0,0.142889164155124,0,0,0,0.120652410488209,0.251578884974517,0,0,0,0.133419672007911
BSV,0,0.110395421001454,0.588337130150065,0,0,0.198563505764121,-0.00000000000000000173472347597681,0,0,0.0626315592095838,0,0,0,0.102598433463103,0.155538460443145,0,0.211456049956642,0,0,-0.0955289209417243
XMR,0,0,0,0,0,0.158428518560296,0,0.0960493030399516,0.0721180734745559,0.109441327068623,0.171949195722019,0,0,0,0.167765703404336,-0.0522003931997669,0.0409893604527191,0,0,-0.0376428467422997
MIOTA,0,0.30325109582387,0,0.0708823046314502,0,0,0,0.0645346966982483,0.185902117571952,0.0763088774471607,0,0.000235942249520015,0,0.0141420024808269,0.0473934704314336,0,-0.0980049117689117,0,0,-0.045755071124117
DASH,0,0.204364474585463,0,0.00000000000000000346944695195361,0.00656075697614486,-0.000000000000000000216840434497101,0.0616621857797778,0.18529224562859,0.156929191113824,0,0,0,0,0,0.00644233007296856,0,0,0,0,0
MKR,0,0,-0.633566985519675,0,0.152243273412334,0.514203637971767,-0.0017963841269773,-0.362220646037433,-0.0203807112691669,-0.122827830934215,0.587263466144538,0.229269611731074,0,0,0,0,0,0,0,-0.0317427589673158
BV010082.INDEX,0,0,0.283988727123171,-0.10702041815846,0,0,0,0,-0.317105177429372,0.0620419413301516,0,0.247205593851688,-0.102069089293001,0.113478475973619,0.13055054900711,0,0,0,0,0.0419967888499449
CVIX.INDEX,0,0.155156004624112,0.146842655974725,0,0.112121227256412,-0.406747010579248,0,0.135862688879914,-0.00305549760544844,0,-0.0160697334705417,0,0,-0.237759551938376,-0.0263467034611836,0,0,0,0,-0.199508209064304
DXY.INDEX,0,0,0.0285801430325453,-0.00471250703044624,0,0,0.0107844007036509,0.00743037625333411,0,-0.051669469127381,0.0124611953459631,0.0226491444026038,-0.0184872637361666,0.0190391512759737,0.00230312182619148,0.0548100667906825,0.0142470669820236,0,0,0.0256248570362151
SPX.INDEX,-0.0111821359869488,0,0,-0.0238134813410865,0.0117227870373577,0,0.00988458424476023,0,-0.0196948560374212,0,0,0.037339834299968,0,0,0.00828142066504276,0,0,0,0,-0.0737475242252104
VIX.INDEX,0,0,0,0,-0.0879095511851792,0.215397556874358,0,0,0.0200435916208498,0.0734716516491045,0,0,0,-0.053921662267542,-0.0492544990528258,-0.383170170255434,0,0,-3.8223741364218,0
