,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,LINK,ADA,XLM,TRX,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.0960895793027687,0.00771762688562358,0.184134852476753,0.0710892194687058,0,0.0365479251550718,0.00007786430053075,0.0202057649196241,0.078918418977806,0,0,0,-0.0669322771810199,0.00877224058544862,0,0,0.0179861005004824
ETH,0,0,0.304926356518077,0.0769412435544476,0,0.172202986583283,0.107323964134722,0,0.0488104447589446,0,0,0,0.172195789098695,0,0.166773544632726,0,0,0,0,-0.0041452297665674
XRP,0,0.193966960855378,0,0.047772497556132,0.0148898643672841,0.208734766835433,0,0.0316530021823843,0.0630152386338203,-0.0271710105923935,0,0.0866470640448621,0.167069397924233,0,0,-0.0717434383809606,0,0,0,-0.0067173636780062
BCH,0,0,0,0,0.239894847480518,0.293211420434991,0,0.240722965793939,0,0,0,0.104169026095252,0.0707526172957874,0,0,0,0,0,0,0.0654052518291649
BSV,0,0.747198562421028,0,0.880428998807424,0,0.0775658612600539,0.903140404169257,0,0,0.600775256956111,0,-1.34432812980563,0,0,-1.27547923769796,0,0,0,0,-0.026105518965926
LTC,0,0.183125487525697,0,0.0653940197260418,0.022840432876955,0,0.338078895381592,0,-0.0153278183535184,0,0.239929883833305,0,0.175483116591861,-0.0154078741893134,0,0,0,0,0,0.00000000000000000010842021724855
EOS,0.151882410246471,0.18331484416492,0.249702419374137,0.253388050202409,0.0726976799390977,0,0,0,-0.14072405509825,-0.111105393021333,0,-0.118897662968602,0.329196764624748,0.156958067554498,0.126183501068933,-0.216134041539264,0.0364004659511046,0,0,-0.083101210498006
BNB,0,0.0560936816704445,0,0.293019835291223,-0.0470174383071834,0.196912084075868,0.0758828440374356,0,0.130400541508627,0,0,0.00819285683830348,0,0,0.194074386641145,0,0,0,0,0
XTZ,0,0.198720689309752,0,0,-0.00261428548666705,0,0,0.111415335295185,0,0.370952357044921,-0.331906977346111,0,0.444765277919686,0,0,-0.325959886677548,-0.0498119805369003,0,0,-0.0732293886736118
LINK,0,0,0,0,0.027880886010017,0.0520210831717263,0,0.250776020963381,0.155433454157865,0,0,0,0.275055156364517,0,0,-0.105538730185057,0,0,0,-0.0695818459269657
ADA,0,0,0,0,-0.032081301321833,0.311765191588482,0.223270175722685,0.218515391118644,0.0502321347025474,0.0268905821591305,0,0,0.0925826030693886,0.0516432967895937,0,0,0.0714164674629443,0,0,0
XLM,0,0.0789681012626975,0.400434027911178,0,-0.00000000000000000346944695195361,0,0,0.215412297057808,0,0,0,0,0,0,0.00601469003435948,0,0,0,0,0
TRX,0,0.0271519713641586,0.297941068903706,0.0318809918207164,0.018767299009564,0.219675833062998,0.120515658469621,0,0.0379556152053796,0,0.259916930048911,0,0,0,0,0,-0.0107337908097865,0,0,0
LEO,0,0,0,0.0108357294816026,0,-0.163485556893534,0,0.340782341534808,-0.0520920529513869,0,0.166210942833723,0.148984795262431,0,0,0,-0.10863176828277,0,0,0,0
XMR,0,0,0,0,-0.0205106680481263,0.223984421640801,0.0914717882133861,0,0.0202569003774419,0.0355123958907758,0.354062166972926,0.265162537489375,0,0,0,-0.0925140231220424,0,0,0,0.0454749240382062
BV010082.INDEX,-1.48451786415407,1.25183735470393,0,0,0.0719440783568356,0,0,-0.705749429854238,-0.851151494575049,0.604663941906945,0,0.0503238616570398,0,0,0.172080683858322,0,0.151646853938026,3.09955080365693,0,-0.115848769834352
CVIX.INDEX,0,0,0,0,0.047742768832767,0,0,0,-0.0800595323932832,0,0.322402763122995,0,-0.401206247087518,0,0,0.104747960024085,0,0,0,0
DXY.INDEX,0,0,-0.0417022498989246,0.000000000000000000433680868994202,0.00318988910507493,-0.0212725426804916,0,0,0,0,0,0.0380108787902247,0.0260965863839231,0,0,0.0414412074179018,-0.0317279664966146,0,0,-0.002751653078886
SPX.INDEX,0,0,-0.0607837397216469,0,0,0.0312240780203527,0,0.0182441380485128,-0.0452758989644283,0,0.0820555154207423,0,0,0,0,0.0750752090298751,-0.149592291083276,0,0,-0.128772973499943
VIX.INDEX,0,0.388796180037346,0,-0.395371821661631,0.0192110834794236,0,0.139685677995622,0.319863042566689,0.0827931443313354,0,0,-0.625542778471257,0,0,0,-0.118471617862408,0.0563976465304903,0,-3.45003707223402,0
