,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.30535169410474,-0.113793031697038,-0.0625926257270757,-0.00566507315145272,0.204940620560087,0,0.373081428926061,0.0615499822137066,0,0,0.0120630465349629,0,0,-0.237283530981565,0,0,-0.256472245518479
ETH,0,0,-0.0074354737489907,-0.168363754985044,-0.0675415263765773,0.193932877041149,-0.0329323219855675,0.251168691671533,0.0380868055580854,0,0,-0.0340599862071689,0,0,0,0,0,-0.165392154721319
XRP,-1.61655908285882,-0.453814985472084,0,-0.762450686476862,0,0.0887487156204644,-0.771080693296265,1.44834146143953,0.700593301008641,-0.297197269240637,0.492557479260704,-0.666812285926469,0.40278061139528,0,0.192394796867924,0,0,-0.141990605294268
XEM,0,-0.256869148195537,-0.0676975069878499,0,-0.061759985391061,0,-0.298705474819194,0.632163424096764,0.180513276983813,-0.150533547024334,0.377693631492636,-0.0262442897630526,0.0898282108949263,0,0,0,0,-0.41386025026218
LTC,0.451905773601571,-0.449850908964669,0,0.0133234871101508,0,0,0.57489766262748,0.0378727068187566,0.0279596285153754,0.40276262679155,-0.222941479464947,-0.121911581038745,0.159097398245139,0,0,0,0,0
ETC,0,0.376085696501526,-0.0500069457760689,0.0915577250618658,0.101359083890971,0,0.161643416750397,0,-0.000289873645988856,0,0.0199874425198487,-0.024407708063841,-0.0882977417314193,0,0,0,0,0.0902259374082305
DASH,-0.035708337510907,0.317786176785913,-0.0311408806617668,0.10933310652434,0.06218609454016,0,0,0,0,-0.149808951259508,0.42149829753317,0.0338771072177839,0,0,0,0,0,0
XMR,0.155265353738726,0.237884685357283,-0.0621465123322282,0.0116572179883103,-0.104202347322757,-0.0978395798622042,0,0,0.113093541336464,-0.0430635053220593,0.121185553083324,-0.0253179639289834,0.0741947633854855,0,0,0,0,0.112072950878175
XLM,-0.476992671718902,0,0.382890656113557,-0.0991178623853178,0.164299219758275,0.518386225724395,0,0.958718137700515,0,0.239388836157722,-0.0527211360989924,0.197098082247734,0,0,0,0,0,0
DOGE,0.0650898864143408,0.177691806506248,0,0.0977175284573539,0.299629792867162,0.0487304672989661,0,0,0.242936414679024,0,0.327312977986111,0.042333096689773,-0.0000000000000000138777878078145,0,0,0,0,0.239781312908818
ZEC,0,0.150995893891623,0.0589059006847206,0.104659897255093,-0.205383931080847,-0.0677127142360388,0.43337307580369,-0.0334224425123358,-0.102409482432477,0.228091624135874,0,0,0.000000000000000000433680868994202,0.908416471393504,0,0,0,0
DGB,0,0,0.0111652204471219,-0.0499846211760249,-0.417926943160135,-0.0910525098750651,0.223135581412238,-0.40947522717509,0.0568520648262597,0.266127870298574,-0.332163857999672,0,0.421875978832586,0,0,0,0,0
NEO,-0.587998489014098,0,-0.0899504507561094,-0.0247765768219833,0,-0.259246921047681,-0.159764917371964,0.134069162141561,0,0.0848228787187867,0.374856211418062,0.0533069266519601,0,0,0,0,0,0.0906564183173099
BV010082.INDEX,0,0,0,0,-0.0282602773154263,0,-0.00222602116434032,0,0.0235517782675214,0,0.0322264265145349,0,0,0,0,0,0,-0.039790713840815
CVIX.INDEX,0,-0.0735693621043508,0.0163653057649857,-0.22109568407288,0,-0.140660535770174,0,0.231634951447492,0,0.0122778085121866,0,0.0332493075706381,0.138194225670114,0,0,0,0,0.117927559038308
DXY.INDEX,0.00529977824720974,0.0286358238697566,0.000535724708020531,-0.0111373214299979,0,0.00189544241250715,-0.0114843754615439,0.00535062378862617,0.00641431706355322,-0.00880522890640454,0.0117354843963661,-0.000909055803717284,-0.0132832024069999,0,-0.00902367148321908,0,0,0.00790350013015631
SPX.INDEX,0,0.0126412100594853,0.00116632342287503,-0.0012483099572182,0,0,0,0,0.00364012969898575,0,-0.00837313483096244,0.00107486146760977,-0.00274989820395317,0,0,0,0,-0.0417311976927337
VIX.INDEX,-0.235803387000933,0.00000000000000000173472347597681,-0.0510256087950702,-0.309019152200121,-0.22038264526461,0.288207713316667,-0.0631498588731136,0,0.250156470569993,0,0,-0.094812046627207,-0.0957154994837649,-2.62895240579765,-0.730138215102145,0,-3.17183062783528,0
