,BTC,ETH,XRP,BCH,ADA,XEM,LTC,XLM,MIOTA,DASH,NEO,TRX,XMR,EOS,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0661086879055219,-0.0883201358291786,0,-0.0363661255803962,0,0.0440053445893185,0.13023085724433,0,0.124961449976992,0,0.233378528979749,0.0612216729457768,0,0,0,0,0,-0.092815102081028
ETH,0,0,0,0,0.0227011173098354,0.0375947645094128,0.148757049666021,0,0.0673386708178913,0.0157635675796564,0.173525840321348,0,0,0.0185040287245201,0.100108971297196,0,0,0,0,0
XRP,0,0,0,0,0.00557898241996253,0.127225266610134,0,0.287632966646773,0,0.157323467258857,0,0.0196606410953368,0,0.383138244795879,0.115513901279706,0,0,0,0,0
BCH,0,0,-0.104219535651223,0,0,0,0,0.0229592083046121,0,0.189312069142017,0.264930926004823,0.0209096014292591,0.0508562646903848,-2.16840434497101e-19,0.215444969122255,0,0,0,0,-0.130768035502233
ADA,0.0740639911196694,0.322050839015016,0.178393467142864,0,0,0.149846886304362,0,0.300832587429654,-0.0670758386362416,-0.11597320952472,0.0999748796229396,0.0360939171235116,0,0,0.155279210111684,0,0,0,0,0
XEM,0,0,0.219119151234474,0,0.0433809192958548,0,0,0,0.213522283549357,0.151533089895846,0.171370344682373,-0.0332976182090541,0,0.0853473453385871,0.0161826811946011,0,0,0,0,0
LTC,0.151508892312605,0.139172369070257,-0.00537264280353333,-0.0363040350348755,0,0,0,0,0.146260609827516,0,0,0.0237981867802904,0,0.100105890464083,0,0,0,0,0,0
XLM,0,0,0.12685978911567,-0.048445572055162,0.373880647502729,0,0.169836321441692,0,0.0471928457004872,-0.102522907417252,0.0841443217520286,-0.205246579711782,0.188816754014121,0.108182254433158,0,0,0,0,0,0
MIOTA,0.566849211109021,0,-0.10558667962422,0,0,8.67361737988404e-19,0,0.0414721045890297,0,0.0490590000868366,0.0860048380797703,-0.0953481254361397,0.335697053069649,0.303849110113882,0.0648617143338953,0,0,0,0,0
DASH,-0.0395864889998538,0,0.0624518600272956,0.108187544701744,0.0149887210107535,0,0.262620788682025,0,0.0173564914371793,0,0,-0.041634811394351,0.146145818852804,0.118283290429065,0.0316257640266154,0,0,0,0,0
NEO,0,0.729581947067589,0,0.00906144902951304,0.011876595957361,8.67361737988404e-19,0,0.151175674446051,-0.0463760496622262,0.0981336010160057,0,0.0588344821082162,0,0,-0.0989285489423361,0,0,0,0,0
TRX,1.06252826214533,0.94458915417702,0.0973430454661782,0.0824072245911973,0.362318063148238,-0.576287461493934,-0.637136237835204,-0.0106699265168868,0,0.200772793387518,-0.581620472261935,0,0,0.186844375830913,0,0,0,0,0,0
XMR,0.175744974646713,0,0,1.38777878078145e-17,0.0280307202829638,-0.0104222602584925,0.131980414276028,0.082992294387383,0.0773919704756309,0.0716786606517244,0.317817268771122,0.0683769258439137,0,0.024722524679428,0.0996722476978105,0,0,0,0,0
EOS,0,0.0565589528250952,0,0,-0.0433957901678484,0.124810308855048,0.117676355343539,0.285936638011776,0,0.0980664400060909,0,0.132807539129763,0,0,0.204530722245468,0,0,0,0,0
BTG,0,0,0.172782958838043,1.14919338544042,8.67361737988404e-19,0,0.515136229582471,0,0.145430459492312,-0.568518575194182,0.114009780062625,0.149135431027522,0,-0.700260188288119,0,0,0,0,0,0
BV010082.Index,-0.0234327615380124,0,-0.0171580793685643,-0.0351240356677866,-0.0069167809037869,0.00732637932628583,0.0121672098078817,0.0117384306900957,0.0130793759903116,0.0178607374208267,0,0,0.0127192811934131,0.00504079953259563,0,0,0,0,0,0
CVIX.Index,-0.0161570795495707,0,0.0239635988835052,-8.67361737988404e-19,0,0.0339914740367246,-0.0636563130249367,0.0106262473360246,0,0,-0.0588651695926541,-0.0167679970675447,0,-0.0102482109461723,-0.0016344290842844,0,0,0,0,0
DXY.Curncy,-0.0120356970227697,0,-0.013517437852637,0,0,0,0.00759107530501005,0,0,-0.0128451839708743,-0.00370227492283465,0.0127259840934372,0.0293602661309717,0,-0.00627838731205181,0,0,0,0,0.00178010477666785
SPX.Index,0,0.0158263788769573,0.00241202490659892,0.00158150063984268,0.00200110037319656,0.00212867011623093,-0.00151889083504959,-0.00256977448426094,0.00211293576438425,0,0,0,0,0,0,0,0,0,0,-0.0223361893308163
VIX.Index,0.271715481189411,0.0319632179353854,0.0450799572194875,-0.0593915793187765,0.0360181391492233,-0.0363489505722178,0,-0.111151520278788,0.0645758780252318,0,-0.160449378449225,-0.119202018448943,-0.120406147005857,0.217425304398214,-0.0146418010714545,-0.419036953958789,0,0,0,0
