,BTC,LTC,XRP,ETH,DOGE,DASH,XLM,XMR,DGB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.127451962340062,0.0291203638928391,0.0183679192662819,0,0.0220965690910803,0.109062559993982,0.347707315736741,0.0421964021901638,-0.0419993836520124,-0.11700089471129,0.114271154433462,0,-0.167596579007648,-0.10369030823848
LTC,0.694165075409102,0,0.180271627839331,-0.0346566525938838,0.0531291206022959,0,0.00120108769206647,0,-0.011264276878184,-0.0187029982850676,0.188866978452622,0.0579138563376941,0,0,0.072728021316574
XRP,1.28276595491582,-0.508853554239793,0,-0.0960241578980235,1.17638700547526,-0.00000000000000000173472347597681,0.557659104958407,-0.821729482605795,0.00336195013318982,-0.166905107842063,0,0,0,0,-0.149646404766129
ETH,0.35969686923559,-1.6870577287719,-0.303750271185536,0,0,-0.246058465733892,0.563670283973959,-0.00000000000000000173472347597681,-0.0712889026292987,-0.282463538451159,1.40724041866772,-1.05626959432625,0,0,0.653712310614733
DOGE,0.168248441315996,0.183909719243458,0.23491240006247,0.00796203136625052,0,0.0619311577620609,0.0218863558597049,0.151827058086751,0,-0.0418251959528912,0,-0.0483131097111694,-0.512706385054312,0.28566839939841,0.0861057720330021
DASH,0,0.277565231503576,-0.0171362159608387,-0.0520435152692346,0.598442039521922,0,-0.00861296400969568,-0.23736925733419,0.0460733899313281,0.100269277668948,0,0,-0.386408162478999,-1.89003523383932,-0.358891428073998
XLM,0,0.177262755796088,-0.293223424020324,0,0.377703355715652,0.168583669988236,0,-0.0246777373863738,-0.0269608854751789,-0.078519641562235,0,0,0,0,0
XMR,0.745724819340723,0,0,-0.149099612185183,-0.0911470749743608,-0.245479686269954,0.303193895368479,0,0.0135136720676677,-0.11369301737109,0.0000000000000000000271050543121376,-0.417345298102866,0,0,0.12380370217076
DGB,-1.8800938506798,0,0.383809667765688,0.620257611228634,0,0.577500851236272,1.39239221418555,1.17308041299479,0,0.595682951790719,-1.34749974103384,2.35347538131701,-7.88546557201357,0,-1.1630122078284
XEM,0,-0.554201120826622,0.0393917524783245,-0.345008955759473,1.31313654196003,0,0.792259119890608,-0.978282836691493,0.12194248233405,0,-0.122633853722518,0.727920685625752,0,0,-0.316449847098877
BV010082.INDEX,-0.583216226127348,0.666298844768792,0,0.103428961195426,-0.219616523478772,-0.508996995145225,0,-0.0777423817134921,-0.0448513521276393,0.159171852226446,0,0,0.732897665760514,1.75245148823744,0.291474447368864
CVIX.INDEX,-0.68014105873302,0.485869074333173,-0.0147868736859678,-0.0299006363538453,-0.161295603832798,0.231570809046393,-0.362195257751711,-0.0487026028427109,0,0,-0.073729220033974,0,2.65581650733543,0,0.165881114657238
DXY.INDEX,0,0.0325444513735624,-0.0275926569274327,0.0147834573716231,0,0,-0.0199558918313891,0.0363561028021309,-0.0210149734574832,0.0122019341387677,0.0438417191128115,0,0,0,-0.019282148949876
SPX.INDEX,0,0,-0.0682363239379949,0,0.0830354058408866,0,0.0270380744825851,0,0,-0.00698718975755433,0.101610366240584,-0.0972128497299876,0,0,-0.157435309936825
VIX.INDEX,0,-0.0053322368148538,-0.247971065759726,0.139461292056744,0.296217536268553,-0.455665510796934,0.315966139111802,0.144273168038664,0,0,0.528520381999324,-0.0657339713758949,0,-5.27403806174191,0
