,BTC,XRP,ETH,BCH,XLM,EOS,LTC,BSV,XMR,ADA,TRX,DASH,MIOTA,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.01612177447814,0,-0.0651440915453852,0.204495422203976,0.0432940084875435,0,2.16840434497101e-19,0.292108796754072,0,0,-0.0216613232087359,0.0888287049282827,0.0787162822180562,0.195337904024527,0,0,0,0,0.0080230682666163
XRP,0,0,0,0.167384018199415,0.469512230625813,0.111097764136411,0,0,0,0,0,0,-1.73472347597681e-18,0.374116584759435,0,0,0,0,0,0.0459892303222055
ETH,0,0.190706312555028,0,0.010937089785679,0.0686394541349043,0.0951500686503296,0.294071322046237,0,0.114186567716048,0.0148962702309145,0.0863394528016702,0.0686761499962591,0.0437849352759845,0.0287919187698887,0.116199084156631,0,0,0,0,0
BCH,0,0,0.72002200548595,0,0,0,0,0.0792767915667299,0,0.1213985620224,0.404935623126594,-0.497358704331092,1.0394451115004,0,0,0,0,0,0,-0.094395327416696
XLM,0.267360654849461,0.0175276920738972,0,0,0,0.122894739117174,0,-0.0654130550817289,0,0.570587016532019,0,0,0.137726919327803,0,0,0,0,0,0,0
EOS,0.303160311834861,0,0.316209728069104,0.187279942986828,0.325190841319729,0,0,0,-0.188177057074036,0,0.0931466982103582,0,0.0799679958136055,-0.239860683385168,0,0,0,0,0,0.00363240540625016
LTC,0,0,0.162742148551656,0.178300563039984,0.112418917804592,0,0,1.73472347597681e-18,0.0280553785905742,0,0.086765084467947,0.22412117124571,0.111898777008562,0.0195125944869991,0,0,0,0,0,0
BSV,2.19669870837055,0,0,1.27952526898053,-3.99754994041142,-1.36277634405051,-3.17731584868705,0,0,0,0,2.98462121163085,1.95760544265042,-0.317623897249457,0.421483129131636,0,0,0,0,-0.467628500290569
XMR,0.689430942870205,0,0.0769438849500054,0,0,0,0,-0.0148736213550309,0,0,0.0464716803712114,0.282114028897181,0,0,0.107845617657891,0,0,0,0,-0.0487335316616704
ADA,0,0.00751610981044448,0,0.0996456036579595,0.121261800753092,0,0,-0.0157958606736765,0.0248848674978026,0,0.367522141678398,0.134531829166248,0.199887263484272,0,0,0,0,0,0,4.33680868994202e-19
TRX,0,0,0.271083405537684,0.0665664514254871,0,0,0,0,0,0.17432652087095,0,0.0541061988861358,0.0541941481987483,0,0.271311708187915,0,0,0,0,-0.0919953235636114
DASH,0.00795874041749563,0,0.296792423517443,0.0550856443005582,0,0,-0.0973970509405226,0.0159879413295818,0.0431375135028836,0.486114023801803,-0.112730953737563,0,0.06165141851166,0,0.224909777401093,0,0.256414217918058,0,0,0
MIOTA,0,0.0576897722949626,0.0934021262384666,0.0612065317189103,0.158304965272879,0.106748889512961,0,0,0,0.129603317472835,0.227626821471934,0,0,0.0475340726259408,0,0,0,0,0,-0.0494363302095769
XEM,0,0,0,0,0.272476636056747,0,0,0,0,0.182760409093444,0.105410499362838,0.153549355415432,0.160932567309196,0,0,0,0,0,0,0.0213338280207338
BNB,0.163329283764307,0,0.18795498815117,0.0387247406702252,0,0.0776766171694575,0,0.010685495703705,0.0877808840531464,0,0.23869390726417,0.103947691642393,0,0.0982297328747276,0,0,0,0,0,0
BV010082.Index,0,-0.192849740955936,0.0926627170703946,-0.0586698948213443,0,0,0.079341832443177,0.00512369656303086,-0.130922574892555,0,0.035681927929757,0,0,0.0860608717144785,0.0556164140846479,0,-0.110266338940015,0,0.687224628824956,0.0246615702081044
CVIX.Index,0,0.0623998165678971,0,-0.147466696820928,-0.273777744085328,0,-0.0527289979253465,0.0238285584682743,-0.150943214746777,0,0.0798271514922148,0,0.253741761411476,-5.42101086242752e-20,0.266858662068029,0,0,0,0,0
DXY.Curncy,0.0233189827046049,0.0253303348989041,0,-0.0203233624231457,-0.0383091051452314,0,-0.073717993398117,0.0113598911815479,0,0,0,0,0.0442605401278405,-0.014933270674724,0.0442846391077582,0.078715251336052,0,0,0,0.00349621408399499
SPX.Index,0,-0.0295160009758816,-0.165049671239075,-0.00365512575734078,0.106368189717507,0,0,0.0108549065907999,0,0,0,0,0,0.0583544806752726,0,0.0654252047327569,0,0,0,-0.100325519710614
VIX.Index,0,0,-0.336795777358498,0.255097743205555,0,0,0,0,0,0,-0.356633844058257,0,0.150801599031193,0.278212575196283,0,0.554597462511807,1.55200538143525,0,-5.08264126826343,0
