,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.153597904015444,0.0357541690631531,-0.0811482615344828,0.215925928261113,0.354965807220285,0.251298231309779,0.214247039967894,-0.201291725913002,0.0775831787682329,0.214762824557197,-0.156612228294158,0.0243597992706684,0.0941158591789784,0.198539456057386,0,0,0
ETH,0.297556040267707,0,-0.010299104339182,-0.00882824044180184,0,0.224528119564493,-0.120710075595822,0.881893789198761,-0.285028466644903,0,0.146114393162431,0,0,0.0777113397829106,-0.490498542753103,0,0,0
XRP,-0.583888392837613,0,0,-0.0740929076116692,-0.248168392012097,0.150454524023846,-0.0272723557100894,0,0.018996897397064,0,1.33070753406749,0.213053856049509,-0.407321910933861,0.283141756191303,0,0,0,0
LTC,-0.136047435089734,-0.171250798267433,0,0,0.185218263192461,0.162850133823535,0.00352219839736729,0,0,0.349690503278923,0.183320387822319,-0.00180182079248755,0.0661475506012523,0.73603435320169,0,0,0,0
DASH,-0.320859805349936,0.0261384055138719,0,0.0404414175844371,0,0.137277182096085,0.0784022174815771,0,0.11641341984831,-0.165705318809788,-0.0788812865907068,0.0274386821544171,0.101795555844538,0.352366748172165,0.468990479028989,0,0,-0.0620006974688017
ETC,0,0.373542180608256,-0.0685308193388746,0.269565494553268,-0.204107754638382,0,0,0,0.291157699797073,0,-0.0335235128154732,-0.200689470496375,0.0279956397016607,-0.765414415152462,0.127623558815864,0,0,0.0742646621381181
XEM,0,0,0.044501242677008,0,0.271507706433503,0,0,0,0,0,0,0.200080435517258,0.358856583155639,0,0,0,0,-0.257121670518271
XMR,0.552851355545687,0.408325908625287,0.0139785100131561,-0.0466851481559203,-0.00416482127204196,-0.064122175126132,0.00000000000000000173472347597681,0,0.306033925047976,0,-0.0495139758509208,0,-0.0352402409708124,-0.681613709947386,-0.041778038854139,0,0,-0.217712501009853
ZEC,0,0.0603481037418955,0,-0.0314538967224287,0.203983733242974,0.0186183607708371,-0.0957670507293581,0.199399860325283,0,0.250589565015628,0,0,-0.0511459058313509,0,0.115924420442639,0,0,-0.00248642972311801
DOGE,0,0.192188245223476,-0.0705409182966505,0.314147426038721,0,-0.117569279841503,-0.0470532748321439,0,0.180520302840523,0,0.371627801190773,0.190646507212998,0.0552464324166672,0,0,0,0,0.470163052155648
XLM,0.204608734130227,0.122746128612927,0.318240720708657,0.275005183213515,0.0165733549237924,-0.00000000000000000693889390390723,-0.258783852254071,0.268573827703157,0.127502791398616,0.155477663839747,0,0.163301101939759,0.25480351277254,0.156967862340761,0,0,0,-0.235706873470377
NEO,-0.269084742923328,-0.0181383099805008,-0.0519181231531826,0,0.270430082026486,0,0.024751718784858,-0.500536096996602,0.37401051356871,0.360820255725713,0,0,0.18348277958559,0,-0.128377739468146,0,0,0
DGB,0.12216698056608,-0.00000000000000000346944695195361,-0.0793039225893754,-0.170944454832127,-0.289012798722324,0,0.0797508791802004,0,0.00857629614196195,-0.0392355359775175,0.317701381896079,0.239581605839252,0,0,0,0,0,-0.0366166544322013
BV010082.INDEX,0.160818742442336,0,0.00328839905046299,-0.0182377541512573,0.0616457985436425,-0.143818714892811,0,-0.105725416316773,-0.0286609894578942,0.0103227204209519,0,-0.065606604987387,0.00312595151841562,0,0,0,0,-0.100297090819454
CVIX.INDEX,0.201975383367771,-0.191715923362421,0.0121201742235732,0.164932371344597,0.0818865819254222,-0.283318740207757,-0.383719295054482,0.377261639584752,0.0834309939460675,-0.010101740755642,0,0.0992902581352725,0.121285819964214,-0.612483770328691,0,0,0,0
DXY.INDEX,0.0250219160305211,0.00867647251669299,-0.00120946561477414,0.00100282966801335,-0.00553158555052684,0,-0.00730592304518918,0,0,0,0.00645171219238548,-0.00124245547954353,-0.00282950379158147,0.0946690120844363,0,0,0,0.0280905867060689
SPX.INDEX,0.0138199694071913,0.0282052020415306,-0.00577996256754905,0.00698270007933794,-0.0227494332984494,-0.0142923130135166,-0.0108568964689152,0,-0.0102926015424171,-0.00827505865781239,0.0146291747270419,-0.00311182191512903,0.0158700849223534,0,0,0,0,-0.0398076297027512
VIX.INDEX,0,-0.0937608078008133,0,0,0.124955092518623,0.23513223502521,-0.454773248478002,0,0,0.330855769138461,-0.124881649930138,-0.325468851400878,0.43416567409418,-0.796429134309747,-0.819574446829876,0,-4.19107328386433,0
