,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0454339159614853,-0.0845304590700497,-0.0320920991746531,0.152841305941714,0.0971047585447933,0.072946080513257,0,0,0.0463115711864855,0.0309070744013517,0,0,0,-0.0601291619531344,0,0,-0.166881316581995
ETH,0.227126261416258,0,-0.0628553365720841,-0.120645699951798,0.106195701317202,0.0606396027205542,-0.0447090849693185,0.142727973285095,-0.174171252145615,0,0.137900041084903,0,0,0.0415662045220873,0.216054603529671,0,0,0,0.13599876303655
XRP,0,-0.255883573395859,0,-0.015777514282372,-0.504198594105282,0,0.553240912760215,0.143357890878008,0.0155708503871481,0.295907952285231,-0.202818975809324,-0.0189132125105353,0.220952094965336,0.141212612870058,0,0.748038692854705,0,0,-0.0319483748842964
XEM,0.489744492438827,-0.291875492636052,0,0,-0.554232258704184,0,0,0.0948253544832459,0.206550986795727,0.0550709394806952,0.0444140099734856,-0.0377672467793528,0.0844246981828003,0.436257249835599,0,0.380941499244491,0,0,-0.109013295156973
ETC,0,0.409646409657279,-0.133958455903958,0.0622800006976398,0,0.0609721800431173,0.171741658361935,0,0,0.0204250885680171,1.73472347597681e-18,-0.0265746923028242,0,0.0434310686483978,0,0,0,0,0
LTC,0.298626169881707,-0.0389210976178882,0,0.107027534344007,0,0,0.221793194764803,0.244177020514683,-0.0940074304063082,0,0.131375841121413,4.33680868994202e-19,0,0.26563935534879,0,0,0,0,0.0306352710902819
DASH,0.32653485287946,0,0.0709348420742531,0,0.106158057474038,0,0,0.218451242079648,0.194357431172931,0.0848645832153128,0.0749583723836235,-0.0945835585339131,0,-0.00385078236573911,0,0,0,0,0
XMR,0,0.244450775209489,-0.0840783237974742,0.181508996001118,-0.386661261566714,0.0963907814161147,0.361556967998523,0,0,0.113853908160044,-0.135846054263881,0.0302541080479885,0,0,0,0,0,0,0
ZEC,0,0.132823504200149,0.062760004363207,0.0232845371342517,0,0,0.249719022080946,0,0,-0.0728841180883934,0.223705878014711,-0.0218333256136631,0,0.0220065190551587,0,0,0,0,0
XLM,-0.394448538761222,-0.221301159864124,0.270551684810581,0,0,-0.68348679153428,0.599590468958728,0.701672517723869,-0.443671504902767,0,0.202126304072316,-0.061550380779327,0,0.315562863164952,0,0,0,0,0.0241848837553917
DOGE,0,0,-0.0673025144539186,0.183500671324451,0,0.247414659106853,0.168544804868072,-0.0574554694635493,0.230375630202314,0.224209923019897,0,0.0559005081869998,0.0870296732865025,0.143738818613977,0,0,0,0,0.228234904396318
DGB,0.286498125200978,-0.569422305462224,0.746289053055896,-0.0920048220963422,0,0,-0.338693464368926,0.6574031672867,-0.171130926520872,-0.453667640487603,0.471841980727461,0,0.376947875790957,0.255744074415447,0,0,0,0,-0.0960432702435656
BAT,-0.477361999752567,0,0.183150256652985,0.223672595468577,0.0775911369031977,0.117765106853399,-0.161372348491587,0.0429712433134536,-0.160061034884963,-0.0928850551577666,0,0,0,0,0,0,0,0,-0.152845133234216
NEO,0,0,0.300211953750709,0.0976874197982667,0.579151014667324,0.372113297928648,0.650050099555117,0.0339483989728495,0.10881156230557,-0.205243945052298,0.0479491883206202,0,0,0,2.39830842972626,0.0793013288375601,0,0,0
BV010082.Index,0,0,0.0247435982527987,-0.0440056234860381,0.0843160065093219,0.0133307939151455,-0.103988484486615,0.0166279341977586,0.0760762300984738,0.0438791342660485,-0.022277567941907,0,0.00723179564346547,0,0,0.105944796742346,0,0,-1.73472347597681e-18
CVIX.Index,0,0,0.000675469260663558,-0.466492166899987,-0.325455859509069,0,0.115951891548742,0.0941501997058956,0.117026703907064,0.00448733534529412,0.0234335904712109,0.0321642347871879,0,0.157934065844652,0,0,0,0,0
DXY.Curncy,0,0.0231689336748948,0.00541037203041602,-0.0163618035409263,0.00615408733234411,-0.00448259673090711,0,0.00630671680294452,0,0.00645286549279006,-0.00578640112697988,-0.00190961385554432,0,-0.00342696299098396,0,-0.0158939452570416,0,0,0.00518274298015546
SPX.Index,0,0.0128282642866232,0.000268777280287112,-0.00647054713263413,0,-0.000334880000995307,0,0.00437281025064992,-0.0189311425437005,0.00545596529992846,-0.00100727946921664,0.00485699879851413,0,0,0,0,0,0,-0.0318506325156101
VIX.Index,-0.46506800916774,0.0103305164776132,0,-0.259191776066961,0.352346549494686,0,0.125166102794398,-0.100350132932788,0,0.231101278994088,-0.00759408563696266,-0.062756462981377,0,-0.0321790503966049,-3.2267881112244,-0.714554684540253,0,0,0
