,BTC,ETH,XRP,ETC,LTC,XEM,DASH,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.189771273621686,0.00232436796804053,0.702111124688778,0.0635071729789926,0.178219576676585,0.151057153247164,0.0223938454258822,-0.0568316332313665,-0.0934545309811267,0.454482440055138,0.0950060471954529,0,0,0.0847095344403308
ETH,0,0,0.26186502009273,-0.0685225656847634,0,-0.0269747684517933,0.788285577446871,0.0918403405650829,-1.54700280456758,-0.193638505988854,0.300889169212667,0.906306125945008,-0.163670463344294,0,0,0.324485281046179
XRP,-0.20857243379643,0.00839484468582155,0,0,0.344205415516844,0.0591684724523595,0.138031513436944,0,-0.131603649084529,0,0,0,0.23808687287922,0,0,0.0656298310055758
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.837125267230392,-0.134379149629479,-0.230732035355596,0.0317811549185033,0,-0.141925034117494,0.269239171490115,0.237902385723475,0,0.293352108588313,0.0700412876081669,-0.40678027588548,0,0,0,0
XEM,1.21806129404074,0.166929293014404,-0.0684652641759257,0.0719432314071268,0,0,0,0,0,0.563462306012822,0.402575176632175,0.383507067926463,0.562993297422317,-0.764877390858849,-3.23959519699896,0
DASH,0,-0.0294792440570022,0.0110972436762974,0.00973977293206597,0.267511913201475,-0.00943574903355748,0,-0.191698042420182,-0.0756609223034805,0.159627822036925,0.0849794356148481,0,0.268499112450186,0,0,-0.0195960189593576
DOGE,0.350284247542412,0.0476944475632542,-0.2244081796756,0.0119423986647633,0.135926824796748,-0.0362984436396171,0,0,0.269993550957917,0.0514767974179754,0.0785889629929194,0,-0.224717850989471,0,0,0.0757648624313911
XMR,1.04456550783775,-0.168270872258692,0.277501299155956,0.00412265566584562,-0.330861946691362,-0.0927822905052184,0.0529419136657026,0.123685526185073,0,0,3.46944695195361e-18,0,-0.0942727398359308,0,0,0.0128399808145056
XLM,0,0.0822643908524318,0,-0.0328438702950143,0.026101365342563,0.251777573088125,0,0,0.439581005616577,0,-0.244387741899114,0.315793803274099,-0.515170123813474,0,0.0783879952779799,0.224403486222651
DGB,-0.874509342368959,0.35567767994059,0.078032025288598,0.038549505435354,0.775888370096539,0.0791147901259535,0.0255219106033736,-0.324601603751876,0.192344749698102,-0.154721548571147,0,0,0,0,-1.78448517091404,-0.0569135526862234
BV010082.Index,-0.330347114233624,0.0502444300441986,-0.278149532288163,0.0370550760233663,0,0.0631869645450538,0,0,0,0.0204715343307829,0,0,-0.00270175322956227,0.888383999109612,0.455853886796469,-0.110018859006759
CVIX.Index,0.226823996799627,-0.143189228437338,0.0423204032288041,0,-0.293179384027072,0,0.376296730126631,0.325484532571326,-0.0687039168018461,-0.0499395626416433,0.0707138979312755,0.483254741836468,0,0,0,0.199265954294201
DXY.Curncy,0,0.000238890173689479,0,0,0,0.0041445483702437,0.0393124825330542,0,-0.00777759017969894,-0.00513189048770334,0.00248308977464759,0.173364406446007,0.0365751272455893,0,0,0.00947493692560546
SPX.Index,0,0,0,0,0,-0.0161056841592959,0,0,0.00622597999125169,0.0418019760364185,0,1.0842021724855e-19,-0.0727452032124027,0,0,-0.0758444516300538
VIX.Index,0.368919051104395,0.213787001640783,-0.688894816344338,0.108792582403488,1.38777878078145e-17,-0.189660951079929,0,-0.870162472554694,0,0.578523347437163,-0.227335203870688,0,1.05287338790837,0,-2.34975708861143,0
