,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0943717427648651,-0.204031551835795,0.159023162192041,0,0.0739319823886757,0.233044465964434,0,0.199451888712455,0.0491916774543525,0,-0.00000000000000000693889390390723,0.070323531937007,0,0.029187696050351,0,0,0,0,0.0391657767007077
ETH,0.0818633011441436,0,0,0.119906963561132,0.0641955309024147,-0.0587731639506195,0.0484742610119662,0.13412028582347,0.0584613404893762,0,0,0.134581401919278,0.121783995114808,0.122588159587246,0.086653678781415,0,0,0,0,0.0353042388467001
XRP,0,0.199769003521776,0,0,0,0.121952161192265,0,0.0196619126698201,-0.0222120107973779,0.208448282503025,0.109856963052244,0.169148626646964,0,0.00323272162519101,0.203985946654441,0,0,0,0,0.100676731716649
BCH,0,0.277999449875738,0,0,0.00000000000000000173472347597681,-0.0638666092950199,0.260726947188559,0.129209013505395,0.0861718896619332,0,0.340897978058899,0.0384462150480883,0.0160490710465717,-0.00330727954325255,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0853509246410603,0.654709215590439,0,0,0.0000000000000000138777878078145,0.182636922067826,-0.11060059504373,0.355812354779146,0.220152197793856,0,0,0,0,0,0
XLM,0.293486605561145,-0.263776339720631,0,0,-0.179515708751512,0,0,0.356178448958597,0.28620037319593,0,0.0346232947454312,0,0,0.401707157499727,0.00141028839136857,0,-0.0837704962108138,0,0,0
LTC,0.0405089063757017,0,0,0.371837790470842,0.422986949152653,0.0304363183017989,0,0.0492704618074322,0.0657429283008674,0.0757310827651384,0,0.111114968926759,0,-0.200165340075878,0,0,0,0,0,0.117186885600752
ADA,0,0,0,0.418961190580277,0,0.261616564238464,0,0,0,0,0.0412666336835002,0,0.155165845677614,0,0.107549007468677,0,0,0,0,-0.0811552341103144
XMR,0.497981008474122,0,0,0.0723173800036186,0,0.104099321810653,0.582597566711074,-0.00000000000000000173472347597681,0,0.0212722801206876,-0.111170512146898,0,0,0.13107068687171,-0.0386962347645433,0,0,0,0,-0.000000000000000000867361737988404
MIOTA,0.328996964221291,0,0.207478423062169,0,0,0.227807746062133,0,-0.317197519763023,0,0,0,-0.165219073460905,0.269935703537091,0.722237722025282,0,0,-0.171577580102511,0,0,0
TRX,0,0.434062378879151,0,0,0.301900259814822,0,0,0.0493301195940782,0,0,0,-0.14406788529887,0.176545493485222,0.0678603712533777,0.200805939443247,0,0,0,0,-0.0198965119774167
ETC,0.462148045119939,0.618251132139316,0,0,0.00000000000000000173472347597681,0.117430228334446,0,-0.187346190388706,0.0730875774615692,0.505925426561674,-0.317457864120476,0,-0.144926528485954,-0.125149015715885,0.0838629869813981,0,0,0,0,-0.0449932320412276
DASH,0,0.334627450649426,-0.0641503873861,0,0,0,0,0.145787282849535,0,0,0.395407201139072,0,0,0,0.124654052002813,0,0,0,0,-0.0173765433278433
NEO,0,0.444774073254054,0,0,0.00000000000000000346944695195361,0,0,0.142904295289764,-0.0368256554688937,0.384680155595502,0.266208851925669,-0.148940276134334,0,0,0.0492182459310168,0,0,0,0,0.0484949259501231
BNB,0,0.514245075624185,0,0,0,-0.0630416880645018,0,0.0977409538817645,-0.00619036809271548,0.191558736803871,-0.0171202253861743,0,0,0.0460473879115303,0,0,0,0,0,-0.169204029458394
BV010082.INDEX,0,0,0,-0.0600644543676833,0,0.0526765486946533,-0.0354675310477464,0,0.0271635689689409,0,0,0,0.0872633775225874,0,0,0,-0.0611853589107582,0,0,-0.0455718893850743
CVIX.INDEX,0,0,0.149423827599676,0,0,0.0437661850335806,0,0.00996010585015755,0.0140110907273224,0.0830417756229132,-0.164629671679572,0.0792192961831986,0.0217156095798665,0.00957421420181498,0,-0.398694006059583,0,0.977454626676161,0,0.117078684553568
DXY.INDEX,0,-0.0746681286813374,0.023946557266193,-0.0156590827181477,0.00189642612047681,0.00785764146930723,-0.00000000000000000173472347597681,-0.0198864018471573,0.0376685655101876,0,0,0.0309975674184397,-0.0103316854120994,0.0139191665982062,0,0,0.165991719610359,0,0,-0.00444866641610421
SPX.INDEX,0,-0.00442515780158112,0,0.000823765338008023,-0.0174969263142688,0,0,0.0124018159600284,0,-0.00764117724741891,0,0,0,0,-0.000384697053358891,0,0.0389926467691189,-0.0816096692043161,0,-0.0698077671920187
VIX.INDEX,0.148631732215801,0,0,0,0,0.0203936711790958,-0.133686385391039,0,-0.211868336811708,-0.157851140353601,0.0750600701392845,0.143297293911865,-0.261253289717559,0,0,0,0.33440400737577,0,-5.54170909076183,0
