,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.243595288978639,0,-0.0644249932877877,0.050335980740005,0.230631703485076,0.279177955148454,0.116330412851677,-0.171332225187121,0,0.17205250376527,-0.361004207545702,0.073806090447457,0,0,0,0,0
ETH,0.348775291108323,0,0.00552950823582881,-0.0340006836858436,-0.0776264785024187,0.909078255886747,0.262885270078517,-0.114572191705069,-0.248457226551597,0,0.0990130870169577,-0.0866415422554418,0,0,0,0,0,0
XRP,-0.14815462472902,0.00870376620469696,0,0,-0.334111325370353,0,0.121033946602518,-0.070723633963388,0,-0.239594338599118,1.32577043888749,0.315717856588091,-0.637532821617177,0,0.766840273998436,0,0,0
LTC,-0.32617864195717,0,-0.0588756811989947,0,0.126316467573588,0,0.136574092707143,0,0,0.452541141233801,0.175829691243911,-0.088972338692287,0,0,0,0,0,0
DASH,-0.219622586623861,0.0523552733582017,-0.0910740218118882,0.0447894226921885,0,0,0,0.0945891931088424,0.0859210160063495,-0.0421725737381801,0,0,0.016134629358748,0,0.765846519513931,0,0,-0.282732871614601
XMR,0.190473367358961,0.552102487370815,0.178610918727442,0.0905664371713788,-0.153935238815359,0,-0.00419265051704433,0.136724477702394,0.236773800588122,-0.442736785908409,-0.059212120012979,0,0.162454620197965,0,-0.644003823297343,0,0,0
ETC,0.229022999665799,0.141230134645653,-0.0116352026854867,0.458322377938188,0.120927504141589,0.272994982113282,0,0.0634905224969674,0.158158800210982,0.0548149093961553,0,-0.0748510182006673,0,-0.50952708727084,0,0,0,0.162830381258025
XEM,0,0.353105543154618,-0.0512616601347711,0,0.118683723757067,0.303076724952576,-0.522563856107442,0,0,-0.290674816631159,-0.0207428852563879,0.091575284896141,0.388273015981958,0,0,0,0,-0.198492899518302
ZEC,0.0787492311954209,0,0.0176513880634327,-0.0412377343673566,0.244627216980867,0,0,0,0,0.34535274021096,-0.122589063564827,-0.061140077751241,-0.122299784210228,-0.25831804770013,0.213407056589263,-2.64810414896936,0,0.0920152248255496
DOGE,0.184408001480572,0.250354454002304,-0.148563822429593,0.31984625640868,-0.0157714052258345,-0.0838652866431514,-0.39407947081263,-0.0927292178323881,0.404055411150571,0,0.598153402224105,0.0718480942686851,0.0785199293451266,-0.323290676986458,0,0,0,0.396753654658129
XLM,0,0.0999493130949903,0.291126452273843,0,0.128035985121797,0,0,-0.142249664860389,0,0,0,0.151796017146153,0,0,0,0,0,-0.474063428675644
NEO,-0.264616843077612,-0.238156997955281,-0.108443285079804,-0.394839932248238,0.00510747685039569,-0.112855290449766,0.224857859384934,0.0798831700569,0.168760468092349,0.266256071450649,0.224611981139526,0,0.153215857419241,-0.336106726015924,-0.25394911816773,0,0,0.465436186953849
DGB,0,0.176621718976526,-0.0630703751532444,0,0,-0.268222291995933,-0.0656475331441069,0.208807540206927,0,0.23655012828654,0,0.0232309929800548,0,0,0.101909974289875,0,0,-0.635416941903857
BV010082.INDEX,0.0502500719511496,-0.0007040272753969,0,0,0.0384541242869419,-0.0301015486992111,-0.0859779174556096,-0.083284775770728,0,0.0270754140423918,0,0,0.141107432228306,0,0.236106512008164,0,0,0
CVIX.INDEX,0,0,-0.00726666279854871,0.0695488100456406,-0.0698633531497697,0,0,-0.0485530703592036,0.176106859133905,0.058983874426645,0,0,0.112974804702397,0,0,0,0,0.394202532410848
DXY.INDEX,0.019141439090518,0,0.00119706524821376,0.00547102016058458,-0.00695956285558666,0,0.0124990299005048,0,0,0,0,-0.0121371957926584,0.000782290489191975,0.12201673753163,0.0260145010818947,0,0,0.0182804545534238
SPX.INDEX,0.0168949479843165,0.00132125812186508,-0.0143410737661556,0,-0.00976984231258089,0,0,-0.000716046225855641,0,0,0.0243506487638151,-0.0397836690668517,0,0,0,0,0,-0.0285205884736139
VIX.INDEX,0.0287220645085151,0.288746986785297,0.0716453809198602,-0.0587576305033848,0,-0.383899396399973,-0.276293556320927,0,0.053610924728526,0.00606937436227949,-0.117073036814934,0.131304689183313,-0.00585773318978285,-0.52767659103833,0.417793296546165,0,0,0
