,BTC,ETH,XRP,BCH,BSV,LTC,INNBCL,EOS,BNB,STO,XTZ,LEO,TAGZ5,XLM,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.15313240913119,0.115929346868444,0,0.00249888813412878,0.187162565970857,0.137362924453956,0,0.164783624945379,0,0,0,0.0344627894259739,0,0,0,0,0
ETH,0,0,0,0.100618694444649,0.0779105229143669,0.245553703998148,0.00512006860675601,-4.33680868994202e-19,0.0753353129537381,0,0.21990312484961,0,0,0.0547454086842844,0.237105555827931,0,0,0,0,0
XRP,0,0.124585381450812,0,0.0869442912640872,0,0.195782667522363,0.000287121137192248,0.0381630607162797,0.018051522597273,-0.0026815535378245,0.0950448550757296,0,0.0218779944028437,0.0235101827071335,0.141641393287947,0,0,0,0,0.0135268065640024
BCH,0.207416567646198,0,0,0,0.271674303289328,0.247261441080079,-5.56092011878585e-05,0,0.214095101666269,0.0186500259502456,0.00984553922290691,0,0.0424263075025455,0,0.0802458713749132,0,0,0,0,0
BSV,0,0.0666520743631883,0,0.07193520050546,0,0,-0.0216333901883518,0.31626279925002,0.403442241594667,0.0210240289852462,0.146106170874676,0,0,-0.217248597044061,0.0651571534496172,0,0,0,0,-0.0839487050058124
LTC,0,0,0,0.0851579301040922,0.0223596514651014,0,0,0.551688104669375,0,-0.00165537772101324,0.0252397407821826,0,0,0,0.237461182218556,0,0,0,0,-0.0069217587055971
INNBCL,0,0,15.3298072210766,12.1702072517596,-20.9329911559064,0,0,-1.09429508170445,0,0,-2.22044604925031e-16,0,0,0,-5.62250043170613,-5.16848199379777,-0.0243204803222746,0,0,-4.4596043135078
EOS,0,3.46944695195361e-18,0.196461694244673,0.0340965625299208,0.132625034905757,0.426266712267554,0.006619251562121,0,8.67361737988404e-19,0.022341518465809,-0.105704240140623,0,0,0,0.320027328898347,0,-1.73472347597681e-18,0,0,-0.0585785886736711
BNB,0.316322146561482,0.353691597761605,0,0.247998820409321,0.0253877481079773,0,-0.0030306858705501,8.67361737988404e-19,0,-0.00642261756722051,0.0417795760216335,0,0,0,0,0,0,0,0,0.0343506760071921
STO,0,0,0,0.542337311557183,0,0,0.0236512822886718,0,0,0,0.14132581492773,-1.05043813958262,-1.54066384312701,0.747922487766226,0,0,0,0,-3.63694449317194,0
XTZ,0.539558729077008,0.496441573175047,0,0,0,-0.016797298114444,0.00217095091134455,0,0,-0.0172403117318962,0,0.17405463612652,0.0713887002498206,0.0406251454349849,0,-0.344669681517042,0.0267662899575168,0,0,-0.00181087901532418
LEO,-0.198542352535186,0,0,0.159331027945728,-0.161291712511571,-0.141555551761304,0.00495999705989358,0,0.35989851253367,-0.0171234401205386,-0.00674750994190642,0,-0.0553867753769437,0,0,-0.0277266563418969,0,0,0,0.0406535410682529
TAGZ5,0,0,0,0,-0.129036073060335,0.0956520311182354,0.0024171023733787,0,0,0.0180782969989159,0,0,0,0,0.901420533047843,0,0,0,0,0
XLM,0.16291795047295,0.00831379742699638,0,0.191379360239778,0,0,0,0,0.200284912397492,0.00653593189539601,0.00644250703609742,0,0.0116900980074619,0,0.143316047667523,0,0,0,0,0
TRX,0,0.0839574813624712,0.227750601131453,0.168928947791535,0,0.117108533291882,0,0.360455824096994,0,0.0151054703060807,0.0473233112896854,0,0.0191847426057053,0,0,0,0,0,0,0.00685727647838875
BV010082.Index,0,0.624889441237908,0,0,0.633288487580043,0,-0.0142775159077287,0,-1.08040392716482,0.0154051211900308,-0.461622977336309,0,0.288926731302418,0,0,0,0.0202898182941237,0,0,-0.127876448833312
CVIX.Index,0,0,0.097761540964496,0,0,0.183281267931185,0.00453703982827422,0,0,-0.0649335710142667,0,0,-0.43892315652709,0,0,0.342124374389404,0,0,-1.0248681283741,0.0854790773756765
DXY.Curncy,-0.013810374015382,0,0,0,0.0136061654645253,-0.00420596862679577,-3.91630871439734e-05,0,0,0.00398668552920103,0,0,0,0,0,0.0357028693617828,-0.0409276505330619,0,0,-0.00709926803884972
SPX.Index,0,0,-0.0244727813173316,-0.0310874916342665,0,0.0355179813896319,-0.00276125988661529,0.0176607441380461,0.0235840835131885,-0.0243652664138036,0,0,0,0,0,0,-0.0167228528947545,0,0,-0.21124191925879
VIX.Index,0,0,-0.0470251117463712,-0.222662248164696,0,0,-0.0123882573481349,0,0,0.0345968766709699,0.10597749970804,0,0.195015303039766,0,0,-0.0856255816002904,-0.0368355349367376,0,-2.97186942567225,0
