,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0185116991943611,0.125142127517552,0,0.108547730071489,0.112721842159146,0.0779380102255289,0.0336390208280799,-0.0239706457498722,0,0,0,0,-0.0328055174848088
XRP,0.846484794302722,0,0.00755109448603414,0.339474653244905,8.67361737988404e-19,0.032054571160416,-0.224407915304704,-0.148681808148781,0.0832740047587547,0,-0.149573422477928,0,-0.699036439900411,0
LTC,0.655104023838228,0.205556724005274,0,-0.300727729994033,0.102587220596924,-0.0138455122326354,-0.0752854889507561,0,0,0,0,0,0,0
XLM,1.42490110357303,0.412235885781945,0,0,0,-0.187154240980781,-0.45218553351037,-0.0662900126008496,-0.207431313783092,1.11902488567666,-0.119063015525295,1.20310286804185,-3.09769702646029,-0.581269901577155
DOGE,0,-0.00558604554302036,0.213673800352444,0.377726023694324,0,0,0.161480818783985,0.209320505752328,0.107964738025642,0,0.470923268615369,0,0,0
DASH,0.880579442388162,-1.73472347597681e-18,0.324342155062794,0.27070542415034,-0.0393924664043468,0,-0.222628641274216,0.0153188582995388,-0.272293028136675,1.26249955487853,0.292146736235197,0,0,0.0873877917168598
XMR,1.83384493707475,0,0.12600557193487,0.0251304192140523,0.0944444761121089,-0.718450306956024,0,0,0.167765191695302,0.805527455358237,-0.212648793306632,2.37646942008743,-6.28156700707915,-0.844866281383967
XEM,0,0.0515968537419279,0,0.758017366880864,1.17185438897627,0.312283642117737,-0.750346648342462,0,0,0,-0.446001429515117,0,0,-0.0779849656894717
DGB,0,0,0.420034902289926,-0.00595412934084392,0,0.33217187630392,0.411908482605068,0.139014485578934,0,2.82164410092336,-0.138398615268107,0,0,0.424007889916349
BV010082.Index,0,-0.0360925940947761,0,0.108968088931319,-0.125049551903537,0.0259096462868746,0.0618534217928337,0.00748711937759604,0.0561684804698831,0,0,0.224884968661746,0,0.0651051875443341
CVIX.Index,1.12227679152903,-0.0417538113436623,0,-0.193167171336077,0,-0.199149852284036,-0.127326733479206,-0.0962220642056857,0.301132199402994,0.157833596038957,0,1.29491802825364,0,-0.0219045060648985
DXY.Curncy,0,0,-0.0244857077338464,0.0199848617806772,0,0.0326824056613095,-0.00466792070469065,-0.0236813924215641,-0.017201421312118,0.18008276720074,0.0566776077578091,0,0,-0.0109428516190611
SPX.Index,0,0,-0.0150725060597864,0.0199085042560786,0.0159994417688484,-0.00389620730840343,-0.0119304054850555,-0.0052787768559271,0.00352017849745384,0,0.00364859849072845,0,0,-0.096476239362099
VIX.Index,0,0,-0.0661699322527787,0,0.21491732423881,-0.0241043318148671,-0.210062127781615,-0.0956833534756165,0.0532355906616296,0,0,0,-9.20010815474072,0
