,BTC,ETH,BCH,XRP,DASH,LTC,BTG,MIOTA,ADA,XMR,ETC,XEM,NEO,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0982655175349543,-0.106198514104306,-0.0548877606468688,0.315223884350584,0.0152523857105577,-0.107019390892887,0.168640225345604,0,-0.0152483263261055,-0.390393080923724,0.109232380257621,0.128265406385478,-0.0468741564656435,0,0,0,0,0
ETH,0,0,-0.031690494104199,0.196355402359132,-0.103931768581954,0,0.0690289647912659,0,-0.0378070395613025,0.164442222068893,-0.077229148646694,0.135128395085574,0.0764828438003076,0,-0.00907576434293693,0,0,0,0,0.00662801485466673
BCH,0,0,0,-0.0263981582885991,0,-1.49334424389941,0.21525042320586,0,-0.0528303918246449,0,0.441024416606581,0,0.664029497137394,0.170955487753697,0,0,0,0,0,0
XRP,-0.144781401098287,0.415662623223523,-0.004624875603283,0,-0.17670556264099,0.166266088484647,-0.0457186314217909,0.14776009628728,-0.0425824526966127,0.338245476802119,0.0274871706347411,6.93889390390723e-18,0,0.0948602033049245,8.67361737988404e-19,-0.101770107016099,0,0,0,-0.211856390581697
DASH,-0.609576284040027,0,0.0358833387679282,0,0,0.0747280856907169,0.0718888464347229,0.157247992226541,0.08554088789401,0.117031788174851,-0.302848052414118,-0.208564738058363,0.0746075304877128,0.0653828703013432,0,0,0,0,0,0
LTC,-6.93889390390723e-18,-0.0298348454966219,-0.0739086893971804,0.275180510450915,0,0,0,0.0262417069687608,-0.0444616191478025,0.0937001289218696,0.0613858560603288,0.267370864163823,-0.0352610158803869,0.0810732331749909,-0.0437439365524528,0,0.245005019369388,0,0,0
BTG,1.82872318796054,0,0,0,-0.31367201967424,-1.11677492432695,0,0,-0.0300081686423794,0,0.736008636880024,-1.85429297979969,-0.188826163523562,-0.944991087519463,0.257688124761699,0,0,0,0,-1.11587382099846
MIOTA,0,0,-0.146966056829297,0.24302408435759,0.198585362654582,-0.43948926989113,-0.017117539185695,0,0.203138779098521,0,0,0.525716369885793,0.0866192071416273,0.128409365731937,0.085701071415019,0,0,0,0,0
ADA,0,0,-0.00416885461416433,0,0.209709755867452,0.794604397747651,-1.0842021724855e-19,0.169160305247779,0,0,0,0.492140270340964,0.511036975707209,0,-0.0491428211345085,0,0,0,0,0.621369692028917
XMR,0,0.00319981930750623,-0.0311782219031676,0.0858084676961429,0.117981178422597,0.119038406926623,0,6.93889390390723e-18,0.132219297218394,0,0.142349744067944,0.301413235348056,0.0779263978094577,0,0,0,0,0,0,0
ETC,0,0,0.267939076196661,0.359631679998477,-0.385359862827538,0,0,0.0776050716679224,0.10009139841271,0.256719201224794,0,0,0,0.00920414266031857,0.0516325473222208,0,0,0,0,0
XEM,0,0.377209938633803,-0.0212261772202153,-0.06552239153698,0,0.141005831800818,-0.0433959730423224,0.175803018267966,0.0478731018726481,0.0789137750315421,0.0365519928357141,0,0.0543148815482361,-0.0380391139384193,0.0553340414928925,0,0,0,0,-0.00777439607160148
NEO,-0.150899149694428,0.578787287578587,0.101636493536931,-0.393040794865374,0,0,-0.106375825385156,-0.105670806736038,-8.67361737988404e-19,0.286654390848789,0.160022935081976,0,0,0.0572002362136943,0.15053043389229,0,0,0,0,0
EOS,0.499771381075241,0.530429585525856,0,0.284217284663563,0.185363353419114,0,-0.0755545598989167,-0.0750633622913646,0.0135914278739419,-0.563517447211768,0,0,0.0826416762329146,0,0.11072279184207,0,0,0,0,0
XLM,0,0,0.264811840739292,0.340604693328997,0,0,-0.0868611259480591,0.372946489271054,0.282339828302309,0,0,0,0,0.336821659295679,0,0,0,0,0,-0.119721427435771
BV010082.Index,0,0,-0.0397423936600363,0.0369403623736521,0.0191375971204058,-0.0725742019760034,0.00527910626547269,0.0262118817437838,-0.0135420895966794,0,0,0,0.0411232737701534,0.00842622919514396,0.00279132143462001,0,0,0,0,0
CVIX.Index,0,0,0.00450983173810786,-0.0730840621975429,0,0,-0.0063254378190968,0.0118764229758775,5.42101086242752e-20,0,0.0348632259821984,0.0747192810717593,0,0,0.0199265157161401,0,0,0,0,0.0674481000209083
DXY.Curncy,-0.00212041559660132,-0.0364366188789087,-0.00796113755816552,-0.00641821984532151,0.00778871935851036,-0.0231412038502414,-0.00683478616973594,-0.00980427545088919,0,0,0.025313384318086,0,0,-0.00282982695610823,0.003693193054123,0,-0.0651651655862622,0,0,-0.00569641035469508
SPX.Index,0,0,0.000493840957598859,0,0,0,0,0.00253401347847828,-0.000905199217194588,0,0,0,-0.00431482982840839,-0.00881236922266144,0.00252187407207558,0,-0.081783514344476,0,0,-0.0186726418519446
VIX.Index,-0.370661538100308,0.247785031709507,-0.431509336064606,0.179547613524465,0.194426033588264,0,0,0.294655100357166,-0.086046415092303,-0.32279132780662,0,0,0.201087888822218,0.00368048263878661,0.0192278223013017,0,0,0,0,0
