,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.127030353372933,0,0.140191456246179,0,0.0348008062478352,-0.138029686354169,0.0449240740810456,0.184474766970425,0,0,-0.00628620182293892,0.11635257614545,0.0235398161715694,0.0752012060876946,0,0,0,0,0.178578448871017
ETH,0,0,0,0,0.178514877037367,0.0731010740958027,0,0.0419791145952341,0,0,0.0551537014040068,0,0.0296515200144503,-1.0842021724855e-19,0.216289000971397,0,0,0,0,0
XRP,0,-0.167969667426548,0,0.1643669453614,-0.296149087317239,0.278993459327372,0.0205609352709189,0,0.0588691110871742,0,0.137088206867224,-0.0465268925215018,0,0.390227234759504,0,0,0,0,0,0
LTC,0.498306949499337,0,-0.159589445809264,0,0,-0.0453799528189228,0.119997384559243,-0.0705702395701828,0.350347464807777,0.105236834691836,-0.184949257348323,0.22203010114803,0.161641607969375,-0.254805557046694,0,0,0,0,0,0.0447243691581023
ETC,0,0.257240086794755,-0.224047026037084,0.266811163606741,0,0.133205763503842,0,-0.0556460684752403,0,0,0.0347774311838112,0.0202467471876015,0,0.127643220832032,-0.0484927917249778,0,0,0,0,0.079528198759071
DASH,0,0.27060064135984,0.100108619538025,0.126420462967354,0.0768578216880382,0,0,-0.16085192794838,0.310436546996169,0,0,0.0187974271683547,0,0.0401317525298501,0.0270520729558923,0,0,0,0,0.0578916467373451
XEM,0,0,0,0.318928732719905,0.0759775268636535,-0.00200304346886273,0,-0.120543885771833,0,0.145035029634836,0,0.00213759495963605,0.264302427934858,0.160243281640508,0,0,0,0,0,0.258524861368733
MIOTA,0,0.165572109138969,0,0,0,0.257840287281332,0,0,0,0.0386598648833097,0.403128324261034,0,0.00863271617093027,0.632776034555835,-0.727008697113409,0,0,0,0,0
XMR,0.118247146671988,0,0,0.388998559295678,-0.168782496183328,0.447605954838109,0.00101380230821391,0,0,0,0,-0.17787438092879,0.150762331117423,0.149118122764407,0,0,0,0,0,0
EOS,0,0.237710132807456,0.155226568160357,-0.321181398711426,0,-0.186744371091381,0,0,0,0,0.244405736923724,0.14547948013823,0,0.178265538728637,0,0,0,0,0,0
ZEC,0,0.352923815319149,0,-0.0111247379193546,0,0,0,0.0815736045742849,0.323070629789834,0.0279183801953008,0,0.0279309232452809,0.151864433116002,0.0207626737320779,0,0,0,0,0,-0.0311550161187698
NEO,-1.09663571096791,0.734322335857165,0,0.757304529158839,0.964721883704021,0,0.147775950721393,-0.593185768445038,0,0.0303891966050502,0,0,-0.636681385420715,0.590735347918626,-0.0113043943703774,0,-1.82858863957505,0,0,0.299946043862254
DOGE,0.210944000815823,0,-0.00675289219020021,0,0.190897679811756,0,0.328531888001778,-0.234753735514178,0.00683442884057719,-0.039461322630902,0.301977464921412,0.0446275381874214,0,0.165283095899789,0.00232517535723387,0,0,0,0,0
XLM,0,0.0894374094397234,0.861195474047385,-0.393077104686222,0.203811825888834,0,0,0.0435064696804512,0.533865974967091,0.13351840866771,-0.18189236793412,0.0801956140902043,0,0,0,0,0,0,0,0
BAT,0,0.0104991188231904,0,-0.144790790071631,-1.73472347597681e-18,0.0660150352744194,0.202965471762253,0,0.020663340194667,0,0,0.0429160593386219,0.179885802857791,0,0,0,0,0,0,-0.0607507758163225
BV010082.Index,0,0,0,-0.0215430904587818,0,0,-0.0323433780226196,0,0,0,0,0.00584162280620107,0,0.0249213402303241,0,0,0,0,0,0
CVIX.Index,0,0.0983256049248984,0.0141493426717973,-0.0526605535107471,0,0,0.0960689067304453,-0.141180901245786,0.0773190744679202,0.00690124293267599,-0.118828705252128,0.0372324699241614,-2.16840434497101e-19,0.0665373225004287,-0.0726672249572847,-0.164034433964483,0,0,0,0.035327439393578
DXY.Curncy,0,0,0.00292552188829878,-0.00834936122585423,0.0216447829256562,0.0160307834720754,0.0188570193004564,0,-0.0224029964693333,0.00134354911252212,0.00588317491031199,-0.00858989481505088,-0.0239287542673276,0,0,0,-0.0131284341645515,0,0,-0.0216997720874592
SPX.Index,0,0.00591774475364385,0.00577989424817003,-0.00549863650079721,0.00913647740539833,0,0,-0.00121146298346275,-0.000150846206299223,0.00179315515485719,0.00358874884179604,-0.00259679740643156,-0.00330841990346111,-4.26494629616927e-05,-0.00167831927815198,0,0,0,0,-0.0518798652683732
VIX.Index,0,-0.0162943235866233,0.222172443065958,-0.114198776516913,0.346755683617865,0.32930558983346,0.471253263524212,-0.155305196705615,-0.0697412130710775,0,-0.120067162926175,-0.148617099132347,-0.523685634009349,-0.115618558922635,0.0778876856802748,0,0.84098166721785,0,0,0
