,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.22719569404581,0.0192914227800813,0,0,0,0.175518706943891,0.0426335968570354,-8.67361737988404e-19,0,0.247191384751382,0.0204016427077654,0,0,0,0,0,0
ETH,0,0,0.177045455628587,0.314106001742306,0.135645304983996,0,0.0529437425598088,0,-0.138774912722459,-0.0466786219176681,0.103624981699101,0.0597155725050283,0.178285293125207,0,0,-0.106151471791532,-0.0695506803108655,0,0,0.0330232791509686
XRP,0,0.214326222988623,0,0,-6.93889390390723e-18,0.133938409704976,0,0.239193544186208,0,0.115269030100724,0,0.0500106228931865,0,0,0.0420734092889766,0,0,0,0,-0.0889362422240653
BCH,0,0.495211903442223,0,0,0.195449977587195,0,0,0.281897842445108,3.46944695195361e-18,0,0,0,0,0.106772543247499,0,0,0,0,0,0
LTC,0,0.208074124616562,0,0.286133905705929,0,0,0,3.46944695195361e-18,0.180148245772507,0,0,0.0669739551567007,0.140485382665341,0,0,0,0,0,0,0.00712275049643174
EOS,0.269050950087316,0,0.0919271270238187,0,0.251887408529975,0,-0.115933992509099,-0.0684315453249645,0,0,0.0980948786188576,0,0.0867324107500419,0,0.183546568358679,0,0,0,0,-0.124522166940361
ADA,0,0.540710118601116,0,-0.218950422049733,-0.00177265383161178,0.143507544988153,0,0,0.262405913104991,0.104617794252159,0.130772913384352,0.176433335311876,0,-0.0536888890872324,0.0492064987487463,0,0,0,0,-0.0218105633521099
XLM,0,0,0,0.14980493522034,0,0,0.201873914263677,0,0.20472127290811,0.137916790573169,0,0.103733033458796,0.116795988184774,0.0523261347362923,0,0,0,0,0,-0.00923269771519421
MIOTA,0.129737462583854,0,0.0154577738887309,0,0,0.0840848559215795,0.0758550440850149,0.0147943489810324,0,0.354343845510927,0.0630829265114254,0.140812834547838,0,0.0724175592929741,0,0,0,0,0,0
NEO,0,0,0,0,0.0186794262975687,0.0140465548317828,0.0875349679428302,0,0.13186698079703,0,0.190608148170511,0,0,1.38777878078145e-17,0.349192040181794,0,-0.415162327893303,0,0,0
XMR,0.875530172240545,0.0540848998726822,0,0,0.301088327335786,0,0,0.267792510878825,0.0736514553574273,0.0895328094874893,0,-0.333020504511061,0.0359176384056213,0.0731186212833957,-0.126778619908187,0,0,0,0,0
XEM,0,0.465340417128355,-0.0968540322744154,-0.440803295793618,0,-0.0919536539267054,0.307762299212909,0.338928377163218,-0.0329391342146731,0.111169094070806,0,0,0,0.244638590586977,0.113842509886181,0,0,0,0,0.0223490838611307
DASH,0.37870022212647,0.157235944550374,0,0.0351439545938183,0,0,0.0864814860691675,0,0.101033667724423,0,0.0331220193719593,0.0408703685487015,0,0.0649246103291965,0,0,0,0,0,0.0685242982797574
TRX,0,0,0,0.319608343379429,0,0.144822592265983,-0.654454500877569,-0.181965115361335,0.123821701107751,0,0,0,0.960968363539641,0,0,0,0,0,0,-0.0404431557916219
ETC,0,0,0.760654818583439,0,-0.0179926954714374,0.0643353966685795,0.0204814225478904,0,0,0.136107894445992,-0.178611023457693,0.143672374615581,0,0.0621385052622565,0,0,0,0,0,-0.0282896748143342
BV010082.Index,0,-0.0142911320542322,0,0,0,0.00232232428423501,0,0.104561084049018,-8.67361737988404e-19,0,-0.018123796228151,-0.0727719700483236,0.103821986366395,-0.00687395439436711,-0.0240681819620156,0,0,0,0,-0.0743619862509646
CVIX.Index,-0.0769764840003119,-0.0113105635613136,0,-0.125573954180518,0.0400324036478919,-0.106415767267094,0.114139486187715,0.0823302062993984,0,0,-0.10102421080229,-0.238571676511592,0.313625710209464,0.0527525792126536,-0.0228040272583205,0,0,0,0,-0.00895733242967484
DXY.Curncy,0,0,0.0169538953204492,-0.0193557262979714,0,-0.00832600914429429,0.0148033466087291,-0.00622205476783851,0,0.0188822656893318,-0.0332881841395296,0,0.0211588424943395,-0.0107425512698481,0,0.0235917875563894,0,0,0,0.00548831355509905
SPX.Index,-0.101649574122049,0,0,0,0.0411249963583419,0.0495436630733857,-0.0475531057368768,0.0258283170955089,0,0,0.0153452841093835,0,-0.00157717267669402,-0.0231496726711184,0.00855734028850392,0.0583753887643119,0.00922823339847339,0,0,-0.0902454030351429
VIX.Index,-0.449523198821324,0,0,0,-0.457495509046458,0,0,0.137910853103569,-0.239404312695497,0.575584490567427,0,0.264732956205542,0,0.200812249936359,3.46944695195361e-18,-1.34797531311381,0,0,-3.04240267581018,0
