,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,NEO,DOGE,XLM,DGB,BAT,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0.186291931111524,0,0,0.0964213365687821,0,0.10014706164365,0,0,0,0,0.0580545520796587,0,0,0,0,0,0
ETH,0,0,0,0,0.21105415520909,0.00020626892119583,0,0.0623329905516157,0.0481023435092639,0.0507867622010434,0,0.0455970332608897,0,0.0186075111776748,0.202016591524454,0,0,0,0,0
XRP,0,-0.381071627818808,0,-0.00150253086378701,-0.164236542808889,0.157960420011901,0.577766635020254,0,0.0164864457421639,0.102022854382519,-0.0163174751238483,-0.319366550312022,0.387160305722727,0,0.0890021982247491,0,0.332068152839445,0,0,-0.16317755173044
LTC,0.660746004497884,-0.0412776929137443,-0.107461565720238,0,0,0.163585014248786,0,0,0.14455577618531,-0.0509349292272473,0.217793780874682,0.0738947347709937,0,0.0499060027668681,0,0,0,0,0,0.142140001260051
ETC,0,0.252486439349333,-0.110120068467477,0.149573052930598,0,0,0.113270262987007,0,0.14254201064175,0.0168843100621463,0.0342723200941265,0,0.0280793463251331,-0.0422899910078012,0,0,0,0,0,-0.000000000000000000216840434497101
XEM,0.415985062010274,-0.0760509108201621,0.218570805206928,0.0504056693987564,-0.0150572357292508,0,0.275806668013939,0,0.00000000000000000173472347597681,0,0.0374571262983475,0.229594777276752,-0.0336274909831373,-0.040690259363974,0.0132719667331017,0,0,0,0,0
DASH,0,0.0651406993143337,0.0608652089077079,0,0.0243501505350839,0,0,0,0.385249893260633,0,0.0783126472102065,0.0417372998641478,0.0607242236855571,0,0,0,0,0,0,0
MIOTA,0.29438969073817,0.0528720368658136,0.0149933243894068,0,0.118505461765873,0.144737921537819,0.136915846188596,0,0,0.091551839152811,0,0,0.0828168833351189,0.100976900291925,-0.552977617972993,0,0,0,0,0
XMR,0,-0.146911537926679,-0.145164190569083,0.24322633921068,-0.166676980674462,0.256890128064397,0.608131502007934,0,0,0.100797647944835,-0.154900348893635,-0.127134478319508,0.103519884171446,0.0721671341409976,0,0,0,0,0,0
ZEC,0,0.302491815057557,0,-0.0560742604973869,0.0064266422447226,-0.00000000000000000010842021724855,0,0,0.309048689976081,0,0.0716175669714296,0.136345844345588,-0.0289386494224178,0.00508078405057886,0.0277110469804876,0,0,0,0,0
NEO,-0.791519634836321,0.819232364714746,0,0.895781485183811,0.443764044829826,0.0278944872720804,0.490891154626159,-0.532564719692789,-0.109996665823599,0.588632274428964,0,-0.565233305527146,0.230639129545819,0.260218732265869,0,0,-2.29290186666077,0,0,0.669811460506382
DOGE,0,0,0,0.0473143041545637,0.228863952162837,0.231663646644234,0,0,0,0.190046598434116,0.0535271760839898,0,0.159554925124228,0.04434294448891,0,0,0,0,0,0
XLM,0,-0.250882089285449,0.0507068337936613,-0.685796366403583,0,-0.289602095901311,0.34267717552789,0.108917343413228,0.840957320812728,-0.473241457571488,0.110755373862849,0.661832446587398,0,-0.055337551378693,0.296429798671,0,0,0,0,0.242516401131264
DGB,0,-0.556161048441543,0.66065982402622,0,0.183608413551644,-0.458702179357758,0,0.161075273161563,0.50397685586035,-0.210728261728639,0.0687843677058667,0.871201942422561,-0.327669412667342,0,0.394392859300164,0,1.45201272696193,0,0,0.00152971562194725
BAT,0,0,0.144706379490703,-0.0878019205658966,-0.0124975794076055,0.11973329134842,0,0,0,0.00000000000000000693889390390723,0.0383877886661533,0.162460302885283,0.0361178786937644,0.0718991752744153,0,0,0,0,0,0
BV010082.INDEX,0,0.0154121419335843,0.0114153155846589,-0.0311559255654816,0,-0.0294914026349012,-0.0444225355236319,-0.000956998387052595,0.0342691955706228,0.0329162162171115,0.0126250578382647,0,0.0202952165234425,0.00443603976029454,0,0,0,0,0,-0.00919540682538985
CVIX.INDEX,0,-0.0741724841258022,0.0466633222876435,-0.0715239715224414,-0.00396975398862463,0,0,-0.0508775229120548,0.0742226125808191,0,0.0291390746038514,0.12041175435183,-0.0135933432192623,-0.0334145181730916,-0.157619775486147,-0.107615228745222,0,0,0,0
DXY.INDEX,0,0,0.00258196046751686,-0.00539681933738749,0.0192766039533521,0.00563768538981787,0,0,-0.0133076831439455,0.00855164446402089,-0.00507339049282364,-0.0120694293507807,0,-0.000897565150081144,0,0,-0.00162692967017181,0,0,-0.0091480427651708
SPX.INDEX,0,0,0.00587472707160594,-0.00570578584372996,0.0115715922927834,0,0.00332689686101392,-0.00612021178304367,0,0.00357223125625845,-0.00304502316162079,-0.0044365842193926,0,0.0000000000000000000271050543121376,0.00203778147349243,0,0,0,0,-0.0527716895101714
VIX.INDEX,0,0.102061403247618,0.234122039682938,0,0.0502520154576077,0,0.352175094252245,0,-0.0708291395055892,-0.129656832852105,-0.0125385461839899,0,-0.0506516248675155,-0.193412562959228,0.139035585880644,0,0,0,0,0
