,BTC,XRP,LTC,DOGE,XLM,DASH,XMR,DGB,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.107206712095666,0.167272384828797,0.390178055820122,0,0.183972341891746,0.0949059645805288,0.0404568471866844,0,-0.0532452883903296,0,0,-0.133831444781037
XRP,0.38522852033576,0,0.313848980701793,-1.04661572201571,0.687820955772017,0.447244462383928,0.296866942551273,-0.0518228348370761,-0.417414503456074,-0.787680733295849,0,0,0.235074319642846
LTC,0,0.464317934658958,0,0.225830515941284,-0.166047932262025,0.459071627051322,0.0158277667689397,0.142033285601826,0,0.744001088326731,1.68285578210715,6.4384722248054,0.547543963339188
DOGE,0.0861869358278403,-0.158351223096724,0.069721271319695,0,0.140128261906201,0.266412845463721,0.131952565343214,0.069661982013459,0,0.155896690999822,0,0,0
XLM,0.806853267477686,0.423681778593024,0,-0.331467784722328,0,0.119987193911378,-0.26625604460521,0,0,-0.109801117032021,0,0,0.174766945966049
DASH,0.82751678646612,0.160004477025325,0,0.320916167418479,-0.0843345335137996,0,-0.147578051345685,0.0405564380228097,0.154970033419406,0.101260057033724,0,0,0.0750637008614205
XMR,0.555084987258153,0,0.236914682483114,0,0,0,0,0.147672349406628,0,0,0,0,-0.219332320207721
DGB,0,-0.257190763553412,0.648829208135409,2.2467546865111,0.286725096316778,-1.02083253500201,-0.439172464890214,0,0,0.288626558781886,0,-9.23691828924601,-0.757207024522945
BV010082.INDEX,-0.0874426312946935,-0.0957642644326639,0.0327445610464747,0,0.0647086939570561,0.0256988617595366,0.0651062781233669,-0.033902599183581,0,-0.0284988217663582,0,0,-0.0497122797960138
CVIX.INDEX,0.188169603333328,-0.0578961634484946,0.0362694313500812,-0.281828953631221,0.0788506652585852,0,0.10462870572364,0.0532058340587804,-0.133761164267698,0,0,0,0.0185004412854641
DXY.INDEX,0.074487168009562,-0.0177786094553115,0.0239506822325691,0,0,-0.0483902197139389,-0.00951388054623798,-0.00823233997069511,0,0.0179822666459794,0,0,-0.00593807791170609
SPX.INDEX,0,-0.040894488711801,-0.00112223402960154,0.0443994540952659,0.013023831734924,0.0116209341010979,-0.0270784443142839,-0.0110123983446408,0,0,0,0,-0.100993696379745
VIX.INDEX,0.360732317043722,0,0.0269195662763095,0,-0.12123012702358,0.110036846890609,-0.291897830783744,-0.0676606069303444,-0.06883866604286,0.149584463005621,0,-5.41941043486086,0
