,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00576853885526749,-0.0241759085628485,-0.127186892028709,0.0884106573792362,0.0917959410420988,0.155794167242532,0,-0.0172217116103027,0.0563816105896098,0.0445580177097025,0.0215955913410164,0,-0.290799531316011,0,0,0
ETH,0,0,0,-0.0729813575448773,0.213079337839866,-0.032013158370196,-0.047412642179519,0.137917241129115,0,0.0483836283526543,0,0,0.0520614002149738,0,0,0,0,0
XRP,0,0,0,-0.502341681594081,0,0,0,0.447509739524949,0,0.595544177164171,0.249908913423761,-0.792903901945558,-0.0968544527758481,0,0,0,0,0
XEM,0.640005311212215,-0.207500044289992,-0.0653225948913548,0,-0.330731488106637,0.0827128642304178,0.182928390000811,0,0.133634519528533,0.167727274786351,-0.126198672465236,-0.0553718521705802,0.297163331490913,-0.913484590945507,1.13851072053434,-7.39476667404093,0,0
ETC,-0.375223972995466,0.142844747614108,-0.087232059915972,0,0,0.195450205896811,0.163545194158385,0,0.12346834738516,0.0240217445234199,-0.0161795363491244,-0.0528243544823806,0.1159062564179,0,0,0,0,0
LTC,0.497646527268454,-0.117710531169951,0.0909028416882025,0.192270109310855,0.170340333053266,0,0.440606376326294,0.239827436046909,-0.14519666958008,0.0215756299146978,0.099813894674304,0,0.153800690701925,0,0,0,0,0
DASH,0,0.210548003209617,-0.0702995835936035,0.0859125051799515,0.084325262742113,0,0,0.271728563240131,0.433080178142711,0.0877238855815222,-0.0663962487693075,0,0,0,0,0,0,0
XMR,0.0299936516223863,0.444899383384003,1.0842021724855e-19,0.157407768995115,-0.151851155146461,-0.0213970077226071,0.0727486633576254,0,0.160503033300536,0.159017940788786,-0.071167954588999,-0.0658741618790783,-0.113432974465399,0,0,0,0,0
ZEC,0.337170810132081,0.141672846591532,0.00165204867778981,0,0.0163423807821236,-0.135390200362957,0.372852122943821,0,0,-0.0398664180872656,0.251511916438256,0,-3.46944695195361e-18,0,0,0,0,0
XLM,-0.678189464005357,0,0.24189083368159,0,0,0,0.605213170823607,0.371650242026448,-0.396105455088685,0,0.436005885348071,0.123935566585218,0.231516468627942,0,0,0,0,-1.38777878078145e-17
DOGE,0,0.187607331637221,0,0.0937212474147998,0.0400289109572504,0.297260542323588,0,0,0.311735659394,0.239187214137239,0,0.0382604840120409,0,0,0,0,0,0.325784823909525
DGB,0,-0.378355125185699,0,-0.301677758842347,-0.362092796035759,0,3.46944695195361e-18,0.642971744205798,-0.1880754779581,-0.0355514329131235,0.272617771659022,0,0.390925556210979,0,0.638887834299848,0,0,0.036685744237612
NEO,0.308902105520444,0,0.185673080925765,0.216020014454662,0.573524032119222,0.187756764217755,0.638983924526676,0,0.115917739783877,-0.145057086777819,0,0.0444661743991514,0,2.04689278794449,0.14720007026692,0,0,-0.113820601302635
BV010082.Index,0,0,0,0,0.0126878266664354,-0.0344963945196883,-0.00350695392900338,0,0,0.0196003535759316,0,0.0106780774050649,0,0,0,0,0,-0.0424264225364065
CVIX.Index,0,-0.103450386005196,0,-0.413965630669631,-0.397092505257241,0,0.0692739315111171,0.141799776171214,0,0.0139468690104797,0.000423471234891875,0.022360588198453,0.296679026526564,0,0,0,0,0.10586967834426
DXY.Curncy,0.0122426272607935,0.0135717724292774,0.00229062788541511,-0.0199783356374665,0.012086702378236,0,-0.0030715532694146,0,0.000578801122605414,0.00905138942044897,-0.0124835933350044,-0.00363022924348468,0,0.0687677132006034,-0.00938362094789255,0,0,0.0176824438294516
SPX.Index,0,0.0129155586792799,0.00016541228986725,-0.00623468174480568,0,-0.000724869585835934,0,0.00452868503723307,-0.0183516681679411,0.00557813170677459,-0.00120944163563171,0.00492372426854188,0,0,0,0,0,-0.0319485684080869
VIX.Index,-0.00329790284175742,-0.0527171105144402,0,-0.257661849555054,0.325553168839616,-0.227371904807738,0,1.73472347597681e-18,0,0.243513337029266,-0.03287633877225,-0.107320045361763,0.0131231735294191,-3.31952249417245,-0.719130903850137,0,0,0
