,BTC,ETH,XRP,BCH,LTC,BSV,EOS,INNBCL,BNB,XTZ,LEO,LINK,XLM,ADA,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.11468244740594,0,0,0.170167837564496,0.00370332891647038,0.210121412433833,0.148666154502609,0,0.087644388672104,0,0.0552115136395734,0,0,0,0,0,0
ETH,0,0,0,0.258172417937598,0.0211883281008628,0.00529153101168865,0.147285780369933,0.00318587920147847,0,0.222317332561132,0,0,0.0655325037347195,0,0.264061727631159,0,0,0,0,0
XRP,0,0.186382726538146,0,0.0544295940195841,0.169344907452939,0.012991856500187,0.0424805908183816,0,0.00622193030238135,0.0773173487609566,0,0,0.0277645025582424,0,0.167282032056728,0,0,0,0,0
BCH,0,0,0,0,0.262225662597545,0.232285612523329,0,-0.00161003667605711,0.19388154286804,0,0,0.0616385693976083,0.162307691337004,0.128859681083411,0.0306909259796204,0,0,0,0,0.0588032203807715
LTC,0,0.183980562353391,0,0.0845490090917182,0,0.0220939354819572,0.322799884276635,0.000330869768448341,0,-1.73472347597681e-18,-0.0384340695698526,0,0,0.219257135795336,0.185808644240732,0,0.0227427195382088,0,0,8.67361737988404e-19
BSV,0,0.18473310968511,0,0.995160134463726,0,0,0.539434846956433,-0.014299392933758,-0.300069615371929,0.389132282341932,0,0,-0.816033141898089,0,-0.317426863766734,0,0.234473805740238,0,0,-0.0307310348756253
EOS,0.0671232965482444,0.0381555967801796,0.311308051996346,0,0.166401222787435,0.125639638078109,0,0.0036461066444743,0.0977632956920892,-0.174830277667624,0,0,0,0.110390046444442,0.289944526214865,-0.135709692346136,0,0,0,0
INNBCL,0,4.44089209850063e-16,32.3879354043779,11.6382670630729,5.2999856637159,-7.34915703247391,-12.5859118831493,0,4.86457622280428,-0.709521955541347,0,0,1.64641908665032,-31.8674407459405,0,0,-6.68965355293984,0,0,-0.431693155061502
BNB,0.173154359264472,0.386244783732473,0,0.31585537512554,0,-0.0452967582977324,0,-0.00469489189595078,0,0.0249647377326846,0,0.0856192285001574,0,0,0.00957852448773451,0,0,0,0,0.0296447650569221
XTZ,0.477023008442867,0.134461583630473,0,-0.0386331530131981,0,-8.67361737988404e-19,0,-0.00446228694929689,0,0,-0.0647867356275411,0.424565550014242,0,-0.0801531538179134,0.120768117724054,0,0,0,0,-0.0249348461151006
LEO,-0.281317868758219,0,-0.00173063755136864,0.0312994305028166,-0.182006277804854,-0.0385172583500216,0,0.00474975957826872,0.33698946849244,-0.107283320103323,0,0.129313637532514,-0.258682080929693,0.521261388511305,-0.146371647265496,-0.0789062400093408,-0.049799096614436,0,0,-0.05021678058402
LINK,0.037204409442789,0,0,0.157574640800207,0,0,0,0.004333088896576,0.401584726589032,0.128736372279336,0,0,0,0.0887608738798551,0.240865414082762,0,0,0,0,0
XLM,0,0,0.105894397405115,0,0,0,0,0.00166276377420036,0.351705026040514,0,0,0.0474304753345203,0,0.118931075500855,0.112262393740199,0,0.0627818680049108,0,0,0
ADA,0,0,0,0.0316463626089694,0.360033342172975,0,0.0635322911912282,0.00432582667310121,0.102139795278605,0.128900609899945,0,0.0498096604823892,0,0,0.193924720592347,0,0,0,0,0
TRX,0,0.147839572032799,0.0408639602550794,0.147295071937597,0.190610717175584,0,0.131331201012912,-0.00269057861517512,0,0.043668626429565,0,0,0,0.275797653066438,0,0,0,0,0,0
BV010082.Index,0,1.11507918408926,-0.47257123131108,0,0.0598614993904871,0.0323801631371773,0,-0.0104840930456908,-1.70401512217909,-0.774293603532774,0,0.542746187665428,1.20740576107488,0,0,0,0.0951389302348874,0,-0.0367465394219199,-0.0725292039531708
CVIX.Index,0,0,0,-0.0953107091124149,0.541684024176276,0.132190473095254,-0.765564273545752,-0.0143466421162241,-0.15072785565478,-0.405935283764226,0,0.276036328518599,0.23448803796616,0.235068129073921,0,0.0803916813191357,0,0,-0.885485609168949,0.0431676020199123
DXY.Curncy,0,0,-0.0314937557541782,0.010786849212255,-0.0191963508253303,0.00149139458960845,0,-0.000189401125152234,0,-0.00903320661168115,0,-0.0118132982003662,0.045249058633733,0,0.00792621505575373,0.0471204935516486,-0.0238563907804034,0,0,-0.000473999983559128
SPX.Index,0,0,-0.0170982363896448,0,0.0190253041632408,0.0141919434995082,0,6.14164130223938e-05,0,0,0,0,0,0,0,0.0398649883480245,-0.105768374903247,0,0,-0.166570286251069
VIX.Index,0,0.0776492386858029,0,-0.326524092219728,0,0.126156515811581,0,-0.00961298600494476,0.185851519336774,0.109974484148893,0,0,-0.255129460054505,0,0,-0.156719171032004,-0.0218937863483061,0,-3.34985401760196,0
