,BTC,ETH,XRP,BCH,LTC,EOS,XLM,ADA,NEO,MIOTA,XMR,DASH,TRX,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.213463623305144,0,0.0722317306604201,0,0,0.075930737580537,0.061436096812928,0,0.0922087906919009,0.0201403445570319,3.46944695195361e-18,0.115614346471915,0,0,0,0,0.0116561358451196
ETH,0,0,0.220882589779628,0.107639203705505,0.210040206395539,0,0.0122467237615146,0,0,0,0,0.17093000611448,0.157786289868849,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0.270476981117944,0.0853863079494103,0,0.0670849022571148,0,0.195058995271011,0,-0.00330308896992793,0.250698406255955,0,0,0,0,0,-0.0989792928250854
BCH,0,0.410064289723822,0,0,0.133964910210727,0,0,0,0.314862559303532,0,0.0525299975400949,0,-0.0131470184751531,6.93889390390723e-18,0.184779529266016,0,0,0,0,-0.0891884555062968
LTC,0.231728481465316,0.102910874952918,0,0.244027398357462,0,0,0,0.122393598385699,0.0061513624409926,0.0725467628421137,0,0,0,0,0.0177795354948185,0,0,0,0,0.00689921474290497
EOS,0,0.374546266557244,0.148683121797908,0,0.0306047477259768,0,-6.93889390390723e-18,0,0.128736870137932,0,0.147195825051171,0,-0.0422129368489514,0.101159750204404,0.185292445757904,0,-0.168764289403474,0,0,-0.0426944448975132
XLM,0,0.275636331889373,0.037950051471815,0.0726734286814097,0,0,0,0,0.214773107510494,0.0832969253782751,0,0,0.151448079920753,0.040565193401879,0.119700893006981,0,0,0,0,-0.0421648989789051
ADA,0,0.251968715818181,0.167761435697135,-0.100580228758943,0.0612857129104984,0.497674453381205,-0.109929232864048,0,0.0878817757721874,0.0368955647991694,0.0957899259115272,0,0,0.0795781553029507,0,0,0,0,0,-0.0552810961388546
NEO,0,0.648776650449557,0,0.238191252889523,0.0506801137150004,0,0.104140213662043,0,0,0,0,0,0,0,0.0862542861462756,0,0,0,0,0
MIOTA,0.119563456466154,0,0.167173940505763,0.19579100394042,0.016197957128288,0.0511283772828432,0,0,0.122658579000374,0,0.179977822068064,0,0,0.0666537229640425,0.0534741429173604,0,0,0,0,0
XMR,0.47215183309823,0,0,0,0.340216645281912,0,0.143638595570185,0.126322733621844,0,0.049094748191178,0,0,0.0234364088076321,-0.243517396316224,0.105689290859927,0,0,0,0,0.0406754484575133
DASH,0.427696504826446,0.109903135988987,0,0.0887980712100183,0,0,0.0299627185273657,0.0662343237055662,8.67361737988404e-19,0.0954501020341224,0.0947447143089172,0,0.00432604380437207,0.0901522606919078,0,0,0.175630029749441,0,0,0.0569261653711884
TRX,0,0,0,0.222533741987094,0.0319851252198116,0.185261478620333,0,0,0,0.153734976627633,-0.344156953705137,0.836813173691142,0,0,0,0,0,0,0,0.116772701256943
XEM,0,0,-0.021950897775067,-0.136261497968815,0,-0.191620452604738,0.349391663557501,0.490769233379555,0.23881451439203,-0.00804526852604017,0,0,0.106977589041143,0,0.0757854132899213,0,0,0,0,0.0901208368163689
BNB,0,0,0,0.0842511864852152,0,-0.098186684968587,0,-0.0317107150229983,0.35370921436889,0,0.148268553347373,0.0559649900159411,0.132103547047519,0.149237940160937,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0397679246384828,0,0.0589604196916119,0,0,0,-0.0439654637453677,0.146140534440707,-0.0407025627621858,-0.0747186526303583,0,0,0,0,0,-0.0325860337452627
CVIX.Index,0,-0.133968665063289,0.148935528937089,-0.184667383021611,0.0768798520852124,0,0.0382486229499144,-0.00328538722511685,0.0227392932702292,0.0139487388395141,0,0.195140928946097,0.041566052113334,-0.0978667942426156,-0.106317609816616,0,0,0,0,0.0512225211866793
DXY.Curncy,0,0.039721300467645,0.0354924340235021,-0.0173027746137489,-0.0139605394178805,-0.0217663577319123,-0.0214013055504123,0.00995707784495782,0.0128561942821879,0.00658557201635629,-0.0252080114110691,0.0298913229928827,-0.0153181412103695,-0.00287345960452311,-0.0131533842397549,0,0,0,0,0.00957811383035984
SPX.Index,0,-0.024886214541493,-0.0309151361025499,0.0083904102157319,0,0,0,0,0,0,0.0258164724264819,0,-0.0419117805960995,0.0342717926023976,0,0,0,0,0,-0.0822171618749683
VIX.Index,-0.403030759719378,-0.156895733891826,3.46944695195361e-18,0.024099502779034,0,0.239888177126244,0.11679530576252,-0.0838810346523053,0,0,0,0,0.150024128245465,0.0516881075870257,-0.164524795836232,-0.997059276859408,0,0,-5.35125886688954,0
