,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0176610608929315,0.0330043907770543,0.920483130262838,-0.0980961110849928,0.0667548086981167,0,0.209508078560703,-0.012425079987772,0.039288841174166,0.0307885238421607,-0.13963706617164,0,0,0.0728887630442186
XRP,0.276056581832284,0,-0.0946204270307637,0,0.0906912995976406,-0.066207145720143,0.689943171609695,-0.593879485725612,0,6.93889390390723e-18,-0.768315069571739,0,0,2.30339922475508,0.220399848066731
ETH,0,-0.0613673352788846,0,0,-0.126602345413258,0,-0.114878042010178,0,-0.00174460392092844,0.0937038832115185,0,0,0,0,0.170070947514529
LTC,0.785408751044253,0,0.0185864150242884,0,0.0891533441903881,-0.0566203387568269,-0.0384302053433177,-0.0397499940903624,-0.00752444859401074,-0.0321163559007787,0.177006549943783,0,0,0,-0.0229871557137276
DOGE,0,-0.19449760917916,0,1.13312242100349,0,0,0.802589428231147,0.464060494113049,-0.14057542968235,-0.109631250501703,0,0.425525741118358,0,0,-0.106294756142551
DASH,1.04268497808668,0.184703340196721,-0.455570304140942,-0.593677121612768,0.0649256793763802,0,-0.367745190408598,-0.455192280948818,-0.0760880360958335,0.0397542824994969,0.578600467817155,0.744823521623503,0,0,-0.0796328269970612
XLM,0,0,0.127395261532637,-0.214595946775034,0.366582138151069,-0.0139384256218692,0,-0.020919534697623,0.148361500910111,0.121481124296969,-0.721313224893504,1.1740688705054,0,0,-0.274107395649021
XMR,0.737288409994918,0,-0.174245212681992,0,0.0866341508650265,-0.0796490067753515,0.0728005002588432,0,-0.109242988174953,-0.0194548358657254,1.21341231566021,0,0,0,0.00878954488456329
XEM,0,0.464786514657705,0.213506177832835,0,0.0380901355584477,0,0.15176209289304,-0.266449686108433,0,0.19717537632203,0,-3.38796796720904,0,0,3.46944695195361e-18
DGB,0.807546200443183,0,-0.0608358783943377,0,-0.100437704724095,-0.0862940549599287,0.242429429636023,0,0.16851087781152,0,-1.45027188955739,0,0,0,0.2236955953341
BV010082.Index,0.0566980830618108,0,0.0185490526101582,0,0.0156826645879029,0.0132105875441178,0.0621856087756444,-0.000509200289192713,0.0195121244333547,-0.0571485800054364,0,-0.401769119795595,0,0.193945945656351,0.011371258082963
CVIX.Index,0.088136366752185,-0.129865719149849,-0.0594985152931013,0.0395278297169933,0.0246320291020842,-0.0632660969474624,-0.0481155607738632,-0.0432454833774661,-0.0237989392331916,-0.0406784482748035,-0.0794677888063141,0,0.739698693248828,0,0.125807724787721
DXY.Curncy,0,0.00409908257991726,0,-0.0236103673404747,0.00958903989987161,0,-0.0535894611376852,0.0357101295548626,0.00420535515562529,0,0,0.113961738367138,0,0,-0.0422154961369664
SPX.Index,0,0.0408389454532422,-0.0468967186703475,0,-0.0127572409752135,2.16840434497101e-19,-1.73472347597681e-18,0,0,0.00388261273232758,0.0282030269102132,0,0,0,-0.119937767656546
VIX.Index,0,0.152419719976294,0.0590289150916981,-0.0783456503837843,-0.194996408195128,0.069051433771497,0.365783957056038,-0.0778793668827379,-0.143576397639201,0.237963765297475,0,0,0,-4.97234256650063,0
