,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,EOS,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.239622268892096,0,0,0.165565315484226,0,-0.0341695688256947,0,0.0387718832402827,0.139690869328481,-0.322836901246922,0.115134677427715,0,0.191714182852521,0,0,0,0,0,-0.0201447053448993
ETH,0,0,0,0.163952488503442,0.155867044048623,0.0945987256392697,0.0348656785448839,0,0.13610648276285,0.146494103450167,0.0996963170073508,0,0.0780638479225075,0.0184761107484784,0,0,0,0,0,-0.00380776316996134
BCH,0.0372135381496276,0,0,-0.0568496403256341,0,-0.435075202766802,0.0696894948714919,0,0.587769167156369,0.429639570496484,0,-0.210870878105467,-0.014707537464109,0.264388755298877,0.0445275835454915,0,0.498377449611207,0,0,0
XRP,-0.15116714315772,0.583675178323806,-0.072827574578353,0,0.0384456007637355,0,0,-0.154978598361815,0.552781648712629,-0.0470050512445474,0,0,-0.0352773353864871,0.150925943440484,0.0377379492303679,0,0,0,0,0
LTC,0.484601380938159,0,0,0.306755095821641,0,0,-0.060216131465152,0.263958822613361,0,0.25258329371939,0,0,-0.0567359474061826,0,0.0179634282173435,0,0,0,0,0
DASH,0,0.183883588140094,0.0438036368814786,0,0.153069678510241,0,0.0309177241005736,0.123525451437432,0,0.016786591575618,0,0,0,0.115042627986252,0.0132420631530409,0,0,0,0,0
NEO,0,0.336582669471745,0,0,0.109314976062471,0.0889174721589113,0,0,0.297785304948373,0,0,0.169563134143793,0,0.114067646091916,0.18010755736658,0,0,0,0,-0.323114895553502
XEM,0,0,0.00907546743018373,0,0.151654809547235,0.272886438445054,0.102870685366576,0,0.258553516802369,0.102762420110179,0.115653522491808,0.0771735784995197,0.0484051971084036,-0.0511705104010925,0,0,0,0,0,0
XMR,0.222376491572001,0.0781191786345304,0,0.143756626549534,0,0,0.0915812269738827,0,0,0.260295253771254,-0.0363546689881384,0.157639476782286,0.0653609588053948,0.00000000000000000173472347597681,0,0,0,0,0,0
ETC,0,0.690263701009955,0,0,0.593181101782794,0,0.0153629441478412,-0.23908015667266,0,0,0.0651369158060093,0.0302167177058299,-0.0326764740542898,0,0.100431046580557,0,-0.150697322095889,0,0,0
MIOTA,-0.472460541753431,0,0,0,0,0,-0.205198685742067,0.553510428911338,0,0.0823512853681048,0,0.414954083842744,0.073315027513693,0.391973640967649,0.0657629559803746,0,0,0,0,-0.0000000000000000138777878078145
ZEC,0,0,0.0422489829725395,0,0,0.130672044933653,-0.0846072834710913,0.257001518512417,0,0.355893983312626,0,0,0.0305402278337974,0.152262406864806,0.0535559811566892,0,0,0,0,0.179725770193151
ADA,0.540650606800554,0,-0.207696641757192,0,-0.127371194849655,0.12680146617444,0.169484386038174,0.454529596028904,-0.39754582232726,0,0.0603703996472963,0,0,-0.244766772399088,-0.166994879941312,0,2.56952240959052,0,0,0.123619599314161
EOS,0,0.34504255684065,0,0,0,0.143000188823624,0.193232890768718,-0.237046872024148,0.278726934755146,0,0.366688727908511,0.219861851736403,-0.198750589260442,0,0.0816809741771933,0,0,0,0,0
XLM,0.0676572592534099,0,0.589316723261915,0.758425339176768,-0.488158853150977,0,0.316611514632754,-0.0319818700064522,0,0,0.775303116664383,0,-0.00000000000000000346944695195361,0,0,0,0,0,0,0
BV010082.INDEX,0.103873387517297,0.019666697224193,-0.0229798158716358,0,-0.0258218090579463,0,0.0247836991623422,0,-0.121640942668579,0,0,-0.00387728302073407,-0.0277335320223945,0.0335182907063994,0.00853447381687708,0,0,0,0,-0.0696863030872832
CVIX.INDEX,-0.0651198095624492,0,0.0592745268537025,-0.030063592598216,0,-0.220882314383166,-0.0153055068888854,0.0502961395482678,0,0.0351720717581371,0.0208719340822425,0,0.0524298228017769,-0.0100292856018316,0,0,0,0,0,0.101412333331351
DXY.INDEX,0.000000000000000000216840434497101,0,0.0103555242414515,-0.00109525014195385,0,-0.0324732673059499,0.00608909643442421,-0.00231051547805187,0,-0.000000000000000000216840434497101,0,0.0177054158550092,-0.00506035224313208,-0.00583016399774925,0,0.0639090559043218,0,0,0,-0.0019857245043993
SPX.INDEX,-0.00112142086194897,0,0.00313448341008505,0,0,0.00824074040677437,0.00148685783873921,0.00437519838144265,-0.00279095413652056,0,0.0067758616910889,-0.0296194784859581,0.0014484652047774,0,0.00158008886374774,0.0200609709277033,-0.0224838893935249,0,0,-0.0325576697189998
VIX.INDEX,0,0,-0.274169565384079,0,0,0,0.00918528043296949,0,0,0,0,0.498423900274301,0,-0.197277995684547,0.071771475677776,0,1.38040468066708,0,0,0
