,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.16846754231371,0,0.0167141995528326,0.0692049905287031,0.0923247572504547,0.0343271359529238,0.0736641601455807,0.01432842188514,0,0,0,0.0193050105194514,0.0530760651883442,0,0,0,0,0,0
ETH,0,0,0,0.286361237337389,0.101065442088995,0.0664716915469056,0,0.145131330922136,0.15312668999772,0,0,0,0,0.196394676105047,0,0,0,0,0,0
XRP,0,0.00610120960736588,0,0.0997800729658779,0.068623853521416,0.158613823038505,0,0.145617831160842,0,0.0676793807137819,0,0,0.0653598691714802,0,0.0271518091044083,0,0.0367675436415397,0,0,0
LTC,0,0.317506958232046,0,0,0.184333979297241,0.146881406622142,0.0638669809097424,0,0.179543589614437,0.0641020413050276,0,0,-0.205555206989779,0.319155399217202,-0.182577579041498,0,0,0,0,0
EOS,0,0,-0.046946946041382,0.347587350736206,0,0.20730242558848,0.037814233666137,0,0,0,0,0,0.0995936180681873,0.219145892350652,0.268628127667485,0,0,0,0,-0.0333606969813895
BCH,0.334721648289679,0.232037288097564,0.348490285854635,0,0.264463869905252,0,-0.0781315989324567,0.0906767122102517,0,0.190406391957217,0.0499934977727534,-0.159178159279616,0,0,-0.0335691547711809,0,0,0,0,0
BNB,0,0,-0.138537757900133,0.591734734591512,0.0584067231681565,0.0163023852013443,0,0,-0.0505143537417458,0.253056244057445,-0.0607762589331124,0,0,-0.298840606806555,0.0674907884601622,0,-0.243940565922227,0,0,-0.077398339280459
XLM,0,0,0.157593983220315,0.202633248749367,0.0177006439263151,0.0899512063924998,-0.0610841739614588,0,0,0,0.0340785305755503,0,0.255935523846323,0.0643593977614904,-0.0252704333545532,0,0.0812757248793162,0,0,0
ADA,0,0.156900306530298,0,0.157587435710929,0,0.192927117902243,0,0.040877871550229,0,0,0.118819056584951,0,-0.113717962876537,0.398382111973911,0.0967740139536347,0,-0.0936645525323314,0,0,-0.0460577543277826
TRX,0,0.151545335515311,0,0.0349487526556548,0.0356238011983334,0.250695850417764,-0.102533041160388,0,0,0,0.0525648737281329,0,0,0,0.0253141269053628,0.421920312580395,0.07072625632072,0,0,0.21421651937195
BSV,0,0.0598889169333304,0.480772357438368,0.0518236407950418,-0.0000000000000000138777878078145,0.0858620548202975,-0.0933160574008883,0,0.0357930954830725,0.0659339767852783,0,0,0.219208805962475,0,0.123334169237575,0,0,0,0,0
XMR,0,0,0,0,0,0.131104212786911,0,0.169417927448189,0.0352141715733225,0.207958662841069,0.13207223504807,0,0.144883554108898,0,0,-0.0689884910752719,0.00343277216475786,0,0,-0.083232063632255
DASH,0,0.124767960745562,0,0.0806451461815654,0,0,0.0490890194159436,0.156721388204089,0.0881202260901159,0,-0.0643043974201718,0.285543090268915,0,0,-0.0121911083634824,0,0,0,0,0.0386466455535053
MIOTA,0,0.348284526802013,0,0.093924067885451,0,-0.0239062995418482,0,0.0678753619110297,0.172313890501299,0,0,0,0.0588149156026405,0,0,0,-0.0607896734612567,0,0,-0.0347167475410238
MKR,0,0.189992744168669,-0.462881312321541,0.0306951993335078,0.364306127887975,0.0192211117830855,-0.110358925046274,-0.531724906112508,0,-0.0198168771014232,0.56750593038579,0.326062421302377,0,0,0,0.0538327114638636,0,0,0,0
BV010082.INDEX,0,0,0.17870264231235,-0.122245583855097,-0.103593714587052,0,0.0669131069308286,0,-0.2346320642082,0,0.115744274715452,0.307733160233229,0,0,0.148967475391051,0,-0.265063367015703,0,0,0.0335367905494648
CVIX.INDEX,0,0.0576532525705515,0.0505946585156017,0.135206474009619,0.105277350012915,-0.326383998954523,-0.0173811828617609,0,-0.155471173429182,0,-0.0891869642660992,0,0,-0.00000000000000000346944695195361,0.0948990710861452,-0.789746936435373,0,2.37560834366687,-0.431366610569184,-0.0548078118675772
DXY.INDEX,0,0,0,0,-0.00526511419761289,-0.00286405743751,0.0147234242954692,0,-0.0104776364337136,0.0370920229966791,0.0149992289160566,0,0.0188614970100159,-0.0440685204793335,0,0.00630454880525461,0.0115831495721321,0,0,0.0052302794668747
SPX.INDEX,-0.0466356603081939,-0.0310899981811309,0,-0.0277289163140554,0,0.0425753178698863,0.0115870988665368,0,-0.0292236133755711,-0.00941318654068782,0.0355542612311347,0.0636345651435333,-0.0185133987009572,0,0.0206113257158331,-0.0574736322864258,-0.00608463058482791,0,0,-0.089771538135152
VIX.INDEX,0,0.185941273315276,0.372134286599918,0,-0.407525223508239,0.0607067586043334,0.0390011360896194,0,0,0,0,0,0,0.00581062585965765,0.027105693814764,-0.568783760287567,0,0,-4.59092588544467,0
