,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.177087754101741,0,0.072597718954561,0,0,0,0.118156767386491,0.0327393408646309,0.0096105470778372,0.0200479600304731,0,0,0.0793510529771127,0.128091051288354,0,0,0,0,0.111774989241896
ETH,0,0,0.109395843982019,0.148717345792786,0,0.406882510356198,0.0218924523612798,0,0,0,0,0,0,0.11490661421123,0.0353496606968727,0,0,0,0,0
XRP,0,0.173592529923617,0,0,0.146287166866167,0,0,0.0302881335125129,0,-0.0723521875642192,0,0,0.394759496095793,0.173906571594412,0,0,0,0,0,-0.09243395254128
BCH,0,0.28623720440342,0,0,-0.13233604294459,0.239776484478017,0,0.257753522023398,0.137301463407065,0,0,0,0.132761529858769,0,0,0,0,0,0,0
EOS,0,-0.533810427422431,0,0.661545605740358,0,0,0.137524859945997,-0.183914890969366,0,-0.348275661879855,0.704054482306517,0,0.262594846347548,0,0,0,0,0,0,0.0311227835366588
LTC,0,0.464043052403252,0,0.14327880110905,0,0,0,0.147933256799418,0.016202967276223,0,0.0902238779358823,0.00903870190292642,0,0.0306973287715248,0,0,0,0,0,0
ADA,0,0,0.0481485565525493,0,0,0,0,0,0.0790979066796017,-0.0000850819548434327,0.328158410774114,0,0.112032208955458,0.321799298533983,0.0229900922388078,0,0,0,0,-0.0191899854874301
XLM,0,0,0,0.0775092420930377,0,0,0.185454307659575,0,0.107593655699745,0.0626987398732576,0.174974559479848,0,0,0.217883433513014,0.0860578784049738,0,0,0,0,0
MIOTA,0,0,0.196414154012615,0.106128540068743,-0.072799622906478,0,0.107290470417758,0.255030506183912,0,0.0663725908911763,0,0,0,0,0.30445127830766,0,0,0,0,0.195737013656152
TRX,0,-0.479065532555323,0,0.625909451160468,0.202277986681705,0,-0.581307303007107,-0.271797372626406,0.255714415489676,0,0,0.760035589167171,-0.396188216090498,0.364070480011992,0,0,0,0,0,0
NEO,0,0,0,0,0.1044625731766,0.216312322240405,0.0445481276433101,0.181218256330223,0.190599627390227,0.0308105110140856,0,0,0,0.0411723227922989,0.176897911104115,0,0,0,0,0.0837084624886283
DASH,0,0.0539567334156046,0,0.1504758106088,0,0,0,0.148473986465961,0.106266767260412,0,0.150899821330472,0,0.116067813563447,0.0417077801841126,0.0436688260948336,0,0,0,0,0.111694331319998
XMR,0,0,0,0.131272934287928,0,0,0,0.0870846999165579,0,0.0923254271567462,-0.0159710427690925,0.280261969618893,0,-0.0088661620144011,0.202176407008357,0,0,0,0,0
XEM,0,0.613217804910429,0,-0.245252717377538,-0.0437857814710947,0,0.0712671163575397,0.615482971986689,-0.116622607531653,0.135744223081817,0,0,0,0,0.11858798741024,0,0,0,0,-0.00867476707113917
ETC,0,0.111817307507774,0.137958796031806,0,0.0561893050262293,0.371567959315229,0.0773989855628313,0.11650867775364,0.0335509544569319,0,0.0699428099816407,0.0362117277139193,0.0435067630406513,0,0,0,0,0,0,0
BV010082.INDEX,-0.0252146247043076,0,0.0485173235667193,-0.0256356285761788,0.000000000000000000433680868994202,0,0.0195734197620986,0.0466222953439386,0,-0.00750438312602832,0,0.138700666901507,-0.0301154306472735,-0.181473280095837,0,0,0.0385092762733515,0,0,-0.0731847352411748
CVIX.INDEX,0,0,0,0,0.0174271254742001,0,-0.0670046703560754,0,0.106706798483984,-0.0216299415591134,0,0,0.0359506560047973,-0.213063406817076,0.174947872133842,0,0,0,0,-0.0162814803911059
DXY.INDEX,0,0.0360314057220327,0,0,0.00188439995835304,0.00323433329935343,0.013807469952306,0,0,-0.00279369855778419,0,0,-0.00383381305361131,-0.0300056194029937,-0.0133384332913731,0,0.0261953685784948,0,0,-0.00610693102124396
SPX.INDEX,0,0,0,0.0595269109202604,0.00986121981350925,0,0,0.0104136492207983,-0.044254961694118,-0.0246398547556038,0,-0.0238383503442179,0,0.000000000000000000433680868994202,0,0,0,0,0,-0.126111385829876
VIX.INDEX,0.62186210243824,-0.188120834026254,0,0.0662019549422168,-0.0575672627946685,0,0.0238567489731297,0,-0.26396887210295,0,0.0251240805086903,0.0953293829165767,0,-0.0640053519983254,0,-0.73342066069554,0,0,-3.89057362959141,0
