,BTC,ETH,XRP,BCH,ADA,XLM,LTC,EOS,NEO,XEM,MIOTA,DASH,XMR,TRX,BTG,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,-0.103480134012907,0,0.0976321463721458,0.0258631269698566,0.155255742546049,0.113502306448459,-0.0196007696268422,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.055258238009395
ETH,-0.0336891301798141,0,0,0,0.0268274321925879,0,0.310588290830513,0,0.054750804950449,-0.00810589295908756,0.0368344748954704,0.0169168805655742,0,0,0.242562711065027,0,0,0,0,0
XRP,-0.178280847736094,-0.0214591399084914,0,0,0,0.319248030136427,0,0.323876354239087,0,0.168034704507728,0,0.246264290839871,0,0.0605760619481575,0.103261707440182,0,0,0,0,0.190473923758251
BCH,0,0,-0.0488792129808904,0,0,0.0143212270767829,0,0,0.283102892483891,0,0,0.156969164495766,0.196980918590814,0.0468530321207681,0.158559857782816,0,0,0,0,0
ADA,0,0,0.212154536244101,0.00846805038541581,0,0.276216383920769,0.0565586294339953,0,0.323926979379541,0.109231603246789,0,0,0,0.0447206003418891,0.0301400205508333,0,0,0,0,0
XLM,0,0,0.279895499311233,0,0.207734360328927,0,0.0679665414345334,0,0.154837157465328,0.0198679973095008,0.0759379691879869,0,0.261335984696823,-0.174844867773785,0,0,0,0,0,0
LTC,0.153517254379007,0.175120221754289,0,0,0,-0.000000000000000000867361737988404,0,0.0459868860252548,0,0,0.172585905702683,0,-0.0066242675666608,0.0411004432231862,0,0,0,0,0,0
EOS,0,0.0190264191722797,0,0.057341365187302,-0.0461209609619818,0.292915887683469,0.319043980141168,0,-0.027969503047583,0.0724242728908492,-0.0213708628888088,0,0,0.12574959790818,0.250663791484976,0,0,0,0,0
NEO,0.0015733956828977,0.570281119217537,0,0,0.0102325681941189,0.201229175714644,0.00819332662778027,0,0,0,-0.0902744322729443,0.215074379796094,0,0.0464931168606327,0,0,0,0,0,0
XEM,0,0,0.159817168717011,0.0611325910694341,0,0,0,0.053929587805356,0.208221533255381,0,0.18563474353611,0,0,-0.035577126815286,0.140349465790145,0,0,0,0,0
MIOTA,0.00520473863602441,0,-0.280623881879927,0,0.045193001476095,0.311439589607658,0,0.456035495672627,0.00193480471753178,0.0285450589341274,0,0.0380716783229221,0.139195712859482,-0.119722827543015,0.206142682197432,0,0,0,0,0
DASH,0,0.0428331287026868,0.031612929243747,0.00846216451538432,0.0295076207394353,0,0.28637657172995,0.14307703351754,0,0.00181346153077262,0.0358951711247713,0,0.0658398508985913,-0.0366555554193173,0.0962791294459427,0,0,0,0,0
XMR,0.137226760177047,0,0,0.0321933295812322,0,0.0925825588395779,0.141027010959407,0,0.305879343189617,-0.0184243601054879,0.0700845721661562,0.0339352251806048,0,0.0699991989362413,0.167818448140176,0,0,0,0,0
TRX,1.66373136003634,0,0.0481080981748601,0,0.346668293134238,0,-0.510441311944628,0,0,-0.703979672655362,-0.00000000000000000346944695195361,0,0,0,0.261279273681403,0,0,0,0,0
BTG,0,0.22501567959633,0.065947747413579,0.417422901593313,0,0.0386736555585911,0,0.1870985948399,-0.0631394972717989,0.0554167287410968,0.0191721869440408,0,0,0,0,0,0,0,0,0
BV010082.INDEX,-0.0480123964918365,0,-0.00102491562397838,0,-0.0187476572954871,0,0.0236259711020932,-0.00854759082994877,-0.0354967793147101,-0.00231671433372548,0.0264977409933198,0,0.0382380583739187,0.00406659972417713,0.000291845565623692,0,0,0,0,0
CVIX.INDEX,0,0,0.0195160174865504,0,0.0192090521867187,0,-0.0281690274187572,0.0295576809200593,-0.0183746676555276,0.0230635841182774,0,-0.00901843064056706,-0.0516789585489162,-0.0207322590716243,-0.0296339325282416,0,0,0,0,-0.0200012881066782
DXY.INDEX,-0.0101252179971396,0,0.00396751171623697,0.0000000000000000000135525271560688,0.00168649951330275,-0.0184637410167844,0,-0.00466452852033755,0,0,0.00844417508411661,-0.0121772317479349,0.0261582939328553,0.00138495864339334,-0.0112203999263866,0,-0.0454830262558175,0,0,-0.0298700994866951
SPX.INDEX,0,0.0103484852484513,0.000484832937697086,0,0.00373549137073682,-0.00294528168017814,0,0.00140905513797782,0.00233286405087313,0.000685174652023918,0,0.00273212241603373,0,-0.0024509391965463,0,0,0,0,0,-0.0366448471426903
VIX.INDEX,0,-0.106353305610118,0.0340323512478087,-0.0678472020828068,-0.0284989297213268,-0.146727769042865,-0.0755497976999379,-0.109550069931575,0,-0.024319043429524,0.0602752303817533,0.0126695102368784,0.221229840897496,-0.0775172014833143,0.14450920206357,0,0,0,0,0
