,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0849529434696439,0,0.146033233831178,-0.0673006972460672,0,0.0689638119457822,0.0865188313112152,0.137626340900864,0.0631607709647925,0,0,0.0662970749776305,0.00368066742228021,0.0470115883361925,0,0,0,0,0.0420811366254018
ETH,0,0,0,0,0,0.218420965589839,0.006374039585888,0.0728644404064905,0.0684343034388707,0.0728380806980296,0.122313120921356,1.35525271560688e-20,0.211085554690556,-0.0265394027606085,0.00580586134614899,0,0,0,0,0.0883753994183673
XRP,0,-0.20806091496373,0,-0.0967388757627777,0,-0.249953700821074,0.441068685007727,0,0.227092361892545,0.0708781162748178,0.00576121776918815,-0.01103131445591,0,0.260536785981549,-0.0522511180354823,0,0,0,0,0
LTC,0.661811992888003,-0.042597283349597,-0.105374133248194,0,0.171725658561225,0,0,0,0.156167032070075,0.115087934109542,-0.0588548905846337,0.218371355215255,0.0832935616840677,0,0.0382965963069518,0,0,0,0,0.125611373865355
XEM,0.397977427128042,-0.118038723441551,0.202274327654732,0.0420546083365204,0,0,0.33046605278141,0,0,0.140131275670969,0,0.0261477032990637,0.228757435692521,-0.0324411399001101,-0.0374682958955081,0,0,0,0,0.0522368893557824
ETC,0,0.252486439349333,-0.110120068467477,0.149573052930598,0,0,0.113270262987007,0,0.142542010641751,0,0.0168843100621465,0.0342723200941263,0,0.0280793463251331,-0.0422899910078013,0,0,0,0,0
DASH,0,0.0651406993143337,0.060865208907708,0,0,0.0243501505350839,0,0,0.385249893260633,0.0864175371956689,0,0.0783126472102065,0.0417372998641477,0.0607242236855571,0,0,0,0,0,0
MIOTA,0,0,0,0,0.119967453021733,0.128398782777236,0,0,0,0,0,0.038297409925526,0,0.068020043383202,0.0669897797905094,0,0,0,0,0
XMR,0,-0.146911537926679,-0.145164190569083,0.24322633921068,0.256890128064397,-0.166676980674462,0.608131502007935,0,0,-0.0386414257056094,0.100797647944834,-0.154900348893635,-0.127134478319508,0.103519884171446,0.0721671341409976,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.317792332556934,0.00204149076276011,-0.0574608432572127,0,0,0,0,0.327350414943796,0.0451225987908607,0,0.077701238003766,0.123080922257131,-0.0285121629943602,0.00237671789792967,0,0,0,0,0
NEO,-1.07795147957422,0.743295143021377,0,0.864801011326229,0.198874197685313,0,0.611224941463331,-0.543115003917167,0,0.0407156554012371,0.570561527014321,0,-0.334049876203662,0.112133923387748,0.319176393612103,0,-3.00621078812728,0,0,0.651959059814494
DOGE,0.238768953538971,0,-0.0475382107617455,0.0202387524182977,0.314230773249414,0.0862225235139098,0,0,0,-0.0423560703986806,0.345019193018351,0.0355026341882628,0,0.18544740443992,0.046289757060481,0,0,0,0,0
XLM,0,-0.180346941642786,0.0960177655968303,-0.531387201471597,-0.241084086252231,0,0.114510456551486,0,0.784098923764466,0.227707417250039,-0.324585411315587,0.186582557473683,0.522244652000479,0,6.93889390390723e-18,0,0,0,0,0.29861143889378
DGB,0,-0.656413810727412,0,0,-0.235807183042374,0,0,0,0.606922893091547,0.29201509831915,-0.310778215434317,0.205651318284568,0.802621825996895,-0.0844894925873472,0,0,0,0,0,0
BV010082.Index,0,0,0.00778998738774276,-0.0266940740867862,-0.0255901243941442,0,0,0,0,0,0.0242067652395941,0.00475512382844242,0,0.0217912143856398,0.00598669900984523,0,0,0,0,-0.00988827786772742
CVIX.Index,0,-0.0783883338836186,0.0549630552859694,-0.0668334705939634,-0.00599243291611048,0,0,-0.0774206824897301,0.137781442468597,0.0458027050701354,-0.171758848554515,0.0577373472122891,0.154335025020346,-0.0340306897955436,-0.0153054373594548,0,0,0,0,0.0943361231147555
DXY.Curncy,0,0,0,0,0,0.0108840110144491,0,0,0,0,0.00674054879263487,-0.00305511741428147,-0.0149843973462185,0,-0.000637935421928866,0,0,0,0,-0.00462612677487245
SPX.Index,0,0,0.00661834378874495,0,0,0.00596102901243881,0,0,0,0,0.00475343970974951,-0.00357860494058413,0,0,-0.000202680592297421,0,0,0,0,-0.047995386085139
VIX.Index,0.0236357501633763,0.138255432753874,0.201034326954339,-0.141996068617616,0.108909513685618,0.110601725561072,0.148572689934532,0.0355768885145093,-1.73472347597681e-18,0.0479546199518796,-0.198797486641707,-0.0333837664548777,0,-0.0991397097692594,-0.14658909734274,0,0.539860066280269,0,-8.03958130430429,0
