,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,XEM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.278173992992085,0,0,-0.00000000000000000173472347597681,0,0,0.0680319361061159,0.0613610106269513,0.111388806155291,0,0,0,0.0996283645909548,0,0,0,0,0,0
ETH,0,0,0.365886116865533,0.00681677447997421,0.0971578051725495,0.100807672595963,0,0.0658798005103942,0.0274363748956854,0.0911686570321429,0,0,-0.0335962443847542,0.181584830386207,0.0457688134193825,0,0,0,0,0.0215969152746179
XRP,0,0,0,0,0,0,0.111648850856898,0.028404886626458,0.116841900272877,0,0.116848500591205,0,0.201134019490476,0,0.21835024615241,0,0,0,0,0
BCH,0,0.312822526631714,0.552931064838285,0,0.0511794204400357,0,0,0.103381460550549,0.122619672151598,-0.26129321021206,0,0,0,0.0941555118788959,0,0,-0.240130011349865,0,0,0.0767775334719164
EOS,0,-0.0660208166884232,1.08677571142614,0,0,-0.196135649834704,0,0.323020130018211,-0.564064258836704,-0.26727036399203,1.20939605311982,-0.21561270665744,0,0.363197931666625,0,0,0,0,0,0
LTC,0.0968894221451412,0,0.222910277106528,0.00000000000000000173472347597681,-0.00377568681192539,0,0,0,0.021460020601554,-0.0265442626233917,0.140034837499266,0.135474947362766,0,0.0788513479106318,0.141817803928664,0,0,0,0,0
XLM,0,0.200265294368425,0,0,0.0217430971293298,0,0,0.373833786018637,0,0,0.110533298622828,0,0.174103366748455,0,-0.00000000000000000346944695195361,0,0,0,0,0
ADA,0,0.0203188763280326,0.307203389980553,0,0.126766470648546,0,0,0,0.0728283932187714,0.150244878847104,0.0963852890091968,0,0.136156533433474,0.0347190138528211,0,0,0,0,0,0.0246492131093326
MIOTA,0,0,0,0.0215222965089086,0,0,0.498399264896779,0.403415469498649,0,0.00000000000000000693889390390723,0,0,-0.0228418853923498,0,0,0,0,0,0,0.139539455354653
TRX,0,0,0.219305020343805,0.159170428327623,0.205983840251641,0,0.113021337122086,0,-0.140658080512753,0,0,0.140938758541477,0.0476408540737885,0,0.316421644364482,0,0,0,0,0
NEO,0,0.00000000000000000173472347597681,0.134192883552942,0.0294505545240514,0.0736508753603041,0,0.00739391304714951,0,0.0637080711692515,0.0530786428633212,0,0.209472069370391,0,0.0788801995524955,0.309414957514449,0,0,0,0,0
DASH,0,0.00746171202379318,0.109810710525466,0.135643472059708,0,0.106379081173596,0,0,0.0855275498566568,0,0.178487610487087,0,0.0610872462230853,0.0971348018036559,0,0,0,0,0,-0.0279512929854419
XMR,0,0,0.285500273533885,0.142203877668216,0.0102634475201887,0,0,0.037703434454089,0,0.14362630400527,-0.0861662883889457,0.22492293650436,0,0.0241934907140071,0.177421145572771,0,-0.121205932432559,0,0,0.0789879252422521
BNB,0,0.278487003511522,0.00000000000000000010842021724855,0,-0.110648258632268,0,0.0782387550120011,0.400479849940151,0,0.010104272447872,0,0.00000000000000000693889390390723,0.045041073976222,0,0,0,0,0,0,0.0697926870624321
XEM,0,0,0.180608076315532,0,0,0.257134252402789,0.290984501492579,0,-0.102748054115215,0.213695596086709,0.0365457117479203,0,0,0.167640885819612,0,0,0,0,0,0
BV010082.INDEX,0.20830395924746,0.107065096121689,0,0,-0.111027464787455,0,0,0,0,0,0,0,0.236842267613676,-0.0280065686185735,-0.317448435567988,0,0,0,0,-0.237448121508497
CVIX.INDEX,0,0,-0.0216946883014629,0.0564633384092061,0,0.131669070242427,-0.0984628952819031,-0.126384412702415,0.139650548837338,0.121310105818895,0.0755157860914673,-0.27534556406367,-0.0159988066874544,0,0.0478633892664543,0.133081006425015,0,0,0,0.090898132611871
DXY.INDEX,0,-0.00858377301493632,0.026287688037432,0.0151019588979097,0.0069221813881174,0,-0.0120372667020156,0,-0.013145836323497,0.0061617456669192,0,-0.00367505128597259,0,0,0,-0.0707057926763604,0.00258622834664105,0,0,0
SPX.INDEX,0,-0.00223216689940213,0.0188829158654087,0,-0.0193976567324441,-0.00804973336013588,-0.00209116225283387,-0.00847124667349622,-0.0205720678398798,0.0142876323013809,0.0231321167168587,0,0.00988991392107601,0.00675732559944196,0,0,0,0,0,-0.0883125021951845
VIX.INDEX,0,0.0843878570803902,0,-0.0356250647000539,-0.22565831263924,0,-0.411614138021819,0,0.266343736390241,0.000000000000000000433680868994202,0.542536947171469,0,-0.075605267047949,-0.243847082038274,0,-1.24500647065892,-0.474003273452516,0,-0.843691613259317,0
