,BTC,ETH,XRP,BCH,ADA,LTC,XLM,XEM,EOS,NEO,MIOTA,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.103480134012907,0,0.0258631269698566,0.0976321463721458,-0.0196007696268422,0.155255742546049,0.113502306448459,0.0339902368203947,0,0.261627020169094,-0.0350622004686371,0,0,0,0,0,-0.0552582380093951
ETH,0,0,0,0,0.022249212634919,0.30505585271225,0,0,0,0.0512848151475795,0.0210659042791072,0.0203003494954416,0,0,0.245784128405579,0,0,0,0,0
XRP,-0.0623074975599912,-0.0379350085464744,0,0.0268276084747133,-1.73472347597681e-18,0,0.332375153191675,0.137742700819182,0.276680895415644,0,0,0.263831242112949,0,0.0438234582294729,0.116326625790006,0,0,0,0,0.173747497908169
BCH,0,0,-0.0488792129808904,0,0,0,0.0143212270767829,0,0,0.283102892483891,0,0.156969164495766,0.196980918590814,0.046853032120768,0.158559857782816,0,0,0,0,0
ADA,0,0,0.217240373777582,0.00594614963652732,0,0.0572114788575666,0.284390682875464,0.0840967310585416,0,0.322769491650215,1.73472347597681e-18,0,0,0.0437430798553978,0.0349867510473274,0,0,0,0,0
LTC,0.137336073606263,0.166239870398747,0,0,0,0,0,0,0.0451769436945915,0,0.171741473953405,0,0,0.0491294245071556,0,0,0,0,0,0
XLM,0,0,0.220212762406905,0,0.268822681017334,0.0995437517975887,0,0.00946112841890682,0.032026010258586,0.12157451701711,0.0828965776035921,0,0.298998501431801,-0.184811438110948,0,0,0,0,0,0
XEM,0.189693769462268,0,0.183145583146621,0.0805552128599217,0.119379741476859,-0.0714017055858559,0,0,0.0171689797468304,0.110766488288207,0.213553910843393,0,0,-0.114596788439691,0.214299242470562,0,0,0,0,0
EOS,0,0.0224207122905743,-8.67361737988404e-19,0.0599197118617731,-0.0470867394552537,0.325335802257833,0.294201510647335,0.0677374842973546,0,-0.0298790412589967,-0.0200994522410823,0,0,0.123483902439303,0.247635080413288,0,0,0,0,0
NEO,0,0.571529010215493,0,0,0.0101257059663182,0.00552090389040337,0.203208995550288,0.000989776927312252,0,0,-0.0917368448034247,0.216967084799006,0,0.0473404938431529,0,0,0,0,0,0
MIOTA,0,0,-0.244547976529681,0,0.021461660250787,-2.16840434497101e-19,0.361812094837754,0,0.452165782469706,0.0387957424441992,0,0.154981976466846,0.165179396673896,-0.119708102178751,0.0612450714410743,0,0,0,0,0
DASH,-0.0301401461377134,0.0353800242836973,0.047048022012761,0.0585049919860063,0.012751224015327,0.242338279631159,0,-0.000112432155911354,0.117543543234919,0,0.0593489015623656,0,0.0966720793487018,-0.0333990465082486,0.102133019521744,0,0,0,0,0
XMR,0.137226760177047,0,0,0.0321933295812319,0,0.141027010959406,0.092582558839578,-0.0184243601054878,0,0.305879343189617,0.0700845721661564,0.0339352251806048,0,0.0699991989362415,0.167818448140175,0,0,0,0,0
TRX,1.21183507822419,0,0.151410954363113,0.124304481019559,0.208348149833537,-0.875277851701138,-0.0601084737861984,-0.75870548542448,0,-0.117133716085221,0.442953001553271,0.214271350529633,0,0,0.348241099489023,0,0,0,0,0
BTG,0.0775206861396581,0.263494152716406,0.117678238181788,0.304985398867475,0,0,0,0.113377327300148,0.210137330893322,-0.0663231446453196,0,0,-0.00505069882930268,-0.0625076961496113,0,0,0,0,0,0.50289563257348
BV010082.Index,-0.0246486264848373,0,-0.0171193530608643,-0.0374608863485449,-0.008002225270663,0.00907972563357927,0.0106033397920736,0.00787574248099662,0,0,0.0122542369838166,0.0312077783652334,0.0212695788088881,-0.00466771719033709,0,0,0,0,0,0
CVIX.Index,0,0,0.0372298282903754,0.020397989518461,0.0123553783587944,-0.0193731230005478,-0.00651307130076574,0.0183350165548762,0.0183219400857153,-0.0128456628094466,0,0,-0.0435209783430741,-0.0216275870496447,-0.0821063866131343,0,0,0,0,-0.0405179160222422
DXY.Curncy,0,0,0,0.00120827024508639,0,0,-0.00905768799925308,-0.0019748702480844,-0.00494703335620554,-0.00483103902189057,0.0144330618052523,-0.0132455622134482,0.00911768959037024,0.00447809458919072,-0.0107501800716684,0,0,0,0,-0.0276138755042358
SPX.Index,0,0.00826217035247791,5.39682867035118e-05,0,0.00492399371348918,0.00129505610567677,-0.00444190249517038,0,0.00188701782749358,0.00147389237257314,-0.000707674946344826,0.00362965502568549,0,-0.00277376144794615,0,0,0,0,0,-0.0414514101711354
VIX.Index,0,-0.474172030378359,0.0686807036197071,-0.0194957972429803,0,0,-0.0811849661126132,-0.0471065311491632,-0.0185176579463147,0.0292582294562079,0.0647069015631781,-0.057068524725284,0.0894853529411305,-0.054918599204058,0.24396469439693,-0.344625234498363,0,0,0,0
