,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,XLM,TRX,ADA,ATOM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.363977734495457,0,0.151049493588507,0,0,0.0727239856346186,0,0,-0.0362407292356553,0,0.00994690848648417,0.192810563862208,0.219064122588204,-0.125556280310079,0,0,0,0
ETH,0,0,0,0.166304989534018,0.274069201114173,0.0296741880092517,0.223800779808983,0,0,0.0482302135483489,0,0.16900660979966,0.00869556275760733,0,0,0,0,0,0,0
XRP,0,0,0,0.250814228380277,0.350766231633684,0,0,0.110498817296518,0.0861973689615433,0,0,0.233053509732211,-0.0850352760803165,0,0.0316698452632338,0,0,0,0,0.218228942537064
BCH,0,0,0.287259750375143,0,0,0,0.285775221376808,0.109317161003851,-0.0125211678374787,-0.115259505920548,0.262811397270964,0,0.104971683818636,0,0.0341686822969111,0,0,0,0,0
LTC,0.148784445487023,0.192568104776017,0.0428617900999458,0,0,0.509383272907869,0,0,0,0,0.00000000000000000346944695195361,0,0.0589081473533826,0,0,0,0,0,0,0
EOS,0,0,0,0,0.768763777135953,0,0.0244772973707259,0.0973036389890694,0.0437573942571911,0.110972524650351,0,0,0.020724081080518,0,0,0,0,0,0,0
BNB,0,0,0.170135876027386,0.295649895321127,0,0.297426065217974,0,0,0,0,0.0660523550474702,0,0.0128613104619722,0,0,0,0,0,0,-0.0384979313008337
BSV,0,0,0,0.469089109879079,0,0,0,0,0.0820742126832633,0.227524716422957,0,0.260308219859911,0,-0.119244153154466,0,0.253806660162984,0.331639173236788,0,0,-0.0541014276207063
XTZ,0,0,0.31990709177879,-0.0694399832619872,-0.766129863553229,0,1.06584843021102,0,0,0,-0.528335331507475,0.533494354095791,0,0,0,0,0.2444172422161,0,0,-0.244245468895871
XLM,-0.471402521479418,0,0.0197424466743804,0,-0.0658346984854037,0,0.419492308523415,0,-0.141392683969925,0,0.129186749373033,0,0.380526694579588,0.141566114714405,0.0322898710405261,-0.118589325032721,0.369555574786891,0,0,0
TRX,0,0.851129371254317,0,0,0,0,0,0.00000000000000000346944695195361,-0.190554162095981,0.0645399661352807,0,0.269957446831388,0,0.119863304347555,0.290603101942082,0.16366631929768,-0.285692423321037,0,0,-0.124499818628787
ADA,0,0.449395992884294,0.161821501543193,-0.321790508270567,0,-0.00000000000000000173472347597681,0,0.0498852110520282,0,0.120608682736826,0.190758269119809,0,0.145024702535897,0,0.0545107877975009,0,0,0,0,0.0469640779288275
ATOM,0,0,0,0.252807984797952,0.0464425929459262,0.0926574034599906,0,0.131012722143393,0.29538714013358,0.258932865287193,0,0.362671960525903,0,0,0,0,0,0,0,0.121903147078227
LEO,0.552639577206718,0,0,-0.0492014004965006,0.452846181244124,-0.619453941640743,-0.0837432986377277,0,0.0320360047294083,0.22320504438838,0.0243932188066495,0.218250394562364,-0.107083029651299,0,-0.209039970440171,0,0,0,0,0
XMR,0,0.18251956669407,0.165870035598573,0,0.346994133958073,0,0.336682354098005,0,0.0664708063541291,-0.184694884628629,0,-0.162946955437127,0.032654021467035,0,0,0,0.0581441090238175,0,0,0
BV010082.INDEX,0,0.172261080472384,0.103095947627941,0.373046422536725,0,0,-0.222520632279913,-0.152132083546573,0.0953470309942707,-0.23538885934656,0.169007098002812,0,-0.21910278690718,-0.0210074334962926,-0.15538898622655,0,0.171536388823542,0.760308315830904,0,-0.199516482883341
CVIX.INDEX,0.798783535541749,0,-0.186679833162931,0.111738280876001,0,-0.202176256026982,0,0,0.112771762648622,0.235999030916645,-0.269830010603416,-0.240660851941452,-0.150924409174201,0,0.0755890517632182,0.219163223356611,0,0,0,0.128435538750355
DXY.INDEX,0,0.0127625943363597,0,0,-0.0402319861572684,0.0214440668599972,-0.0398337531808344,0,-0.00386341359948559,0.0484768443253493,0.00484553155568208,0,-0.00848674081310892,-0.0455622854021434,0.00596520955427559,0.0513432618779222,-0.01579369047936,0,0,-0.0055434697819626
SPX.INDEX,0.00668083197573235,0.024466854683881,-0.00655233396196411,0,-0.0139584954030571,0.0208642452309701,0,0,-0.00734608406240013,0.0113794340818299,0,0,-0.0198005223373266,0,0,0.0893046723269602,-0.000000000000000000867361737988404,0,0,-0.0465385650439614
VIX.INDEX,0,0.222255659732277,-0.413290832934506,0,0,0,0,-0.145117346746406,-0.00254781727011707,0,0,0.256633384528576,-0.426104459326115,0,0.259747580818868,0,0.552365470676204,0,-7.6876763865876,0
